"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/12 1:58:16 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","PHP Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 1:59:05 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/12 2:00:26 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 2:03:04 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 2:04:13 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/12 2:08:59 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 2:22:11 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 2:30:17 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 2:30:39 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","PHP Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/12 2:31:17 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","PHP Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 2:32:12 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 2:38:11 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/12 2:39:51 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 2:39:51 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/12 2:40:54 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","SQLSaturday 2016","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/12 2:43:13 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 2:43:58 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 2:45:57 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить","Мега-синьор (10+ лет опыта)"
"2016/12/12 2:47:21 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 2:51:54 ПП GMT+2","Отмена седьмой волны мобилизации","Да","Dev Challenge 10","uaMobiTech 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/12 2:55:25 ПП GMT+2","Отмена седьмой волны мобилизации","Да","Black Sea Summit 2016","uaMobiTech 2016","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/12 2:56:57 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 3:03:54 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Black Sea Summit 2016","Build Stuff Ukraine Kyiv","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/12 3:09:39 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 3:11:42 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 3:11:43 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 3:16:24 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/12 3:20:20 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","JavaScript Frameworks Day","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 3:22:23 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Outsource People 2016 Kyiv","uaMobiTech 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/12 3:29:20 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/12 3:34:11 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/12 3:37:01 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","JavaDay Kyiv 2016","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 3:39:06 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Black Sea Summit 2016","uaMobiTech 2016","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/12 3:41:02 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 3:45:48 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 3:48:17 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Нормальный год, все как обычно","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/12 3:51:09 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","Black Sea Summit 2016","GDG DevFest","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 3:54:24 ПП GMT+2","Появление ""Неприличное.ит""","Да","Games Gathering 2016","SQLSaturday 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 4:00:22 ПП GMT+2","Появление ""Неприличное.ит""","Да","QA Fest 2016","HackIT Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/12 4:00:37 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","JavaDay Kyiv 2016","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 4:01:38 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/12 4:03:59 ПП GMT+2","Отмена седьмой волны мобилизации","Да","JEEConf","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/12 4:08:06 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/12 4:08:30 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 4:10:58 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 4:11:29 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/12 4:13:12 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 4:13:32 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 4:18:58 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 4:25:41 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Outsource People 2016 Kyiv","GDG DevFest","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 4:26:19 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/12 4:31:31 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/12 4:32:25 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 4:32:57 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 4:34:02 ПП GMT+2","Появление ""Неприличное.ит""","Да","IT Форум (Киев, 3.12)","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 4:36:39 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 4:38:48 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения",""
"2016/12/12 4:40:13 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 4:41:59 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","RubyC-2016","Один из лучших в моей жизни","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/12 4:42:37 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","IT Weekend Ukraine","Build Stuff Ukraine Kyiv","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/12 4:45:03 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Black Sea Summit 2016","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 4:52:31 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 5:01:28 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","JavaDay Kyiv 2016","IoT Conf UA","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/12 5:06:09 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 5:12:57 ПП GMT+2","Отмена седьмой волны мобилизации","Да","JEEConf","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 5:13:48 ПП GMT+2","Появление ""Неприличное.ит""","Да","JEEConf","IoT Conf UA","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 5:19:33 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 5:22:41 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 5:27:31 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 5:29:12 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 5:33:26 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 5:34:45 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","Black Sea Summit 2016","Build Stuff Ukraine Kyiv","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 5:41:18 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 5:51:23 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","Software Engineering 2016","JavaScript Frameworks Day","Трудный год, но в целом все хорошо","Все плохо, пора валить",""
"2016/12/12 6:01:50 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/12 6:02:10 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/12 6:09:43 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 6:22:26 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","AI Ukraine’16","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 6:23:05 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 6:40:52 ПП GMT+2","Отмена седьмой волны мобилизации","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/12 6:41:48 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/12 6:42:24 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","ITEM-2016","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/12 6:47:15 ПП GMT+2","Появление ""Неприличное.ит""","Да","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 6:50:01 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","WebCamp 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/12 6:57:35 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","","Нормальный год, все как обычно","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/12 7:22:58 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 7:31:20 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 7:48:26 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Software Engineering 2016","PHP Frameworks Day","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/12 8:16:05 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 8:39:25 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 8:45:29 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/12 8:55:07 ПП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/12 9:15:27 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 9:16:19 ПП GMT+2","Появление ""Неприличное.ит""","Да","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 9:19:25 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 9:58:32 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","UISGCON12","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/12 10:02:59 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/12 10:19:14 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","iForum2016","IoT Conf UA","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/12 10:20:45 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/12 10:26:50 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 10:28:31 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Outsource People 2016 Kyiv","ITEM-2016","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/12 10:32:42 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 10:35:46 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/12 10:36:17 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/12 10:40:12 ПП GMT+2","Появление ""Неприличное.ит""","Да","Outsource People 2016 Kyiv","Odessa Dribbble Meetup 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/12 10:53:30 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/12 10:54:22 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 11:07:18 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 11:14:20 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/12 11:19:31 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить",""
"2016/12/12 11:20:41 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","KharkivJS#7","Неудачный год, все плохо","Все плохо, пора валить",""
"2016/12/12 11:30:38 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/12 11:31:26 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/12 11:33:00 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Неудачный год, все плохо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/13 12:22:18 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/13 12:48:22 ДП GMT+2","Появление ""Неприличное.ит""","Да","Games Gathering 2016","SQLSaturday 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/13 1:14:30 ДП GMT+2","Отмена седьмой волны мобилизации","Да","Lviv IT Arena 2016","GDG DevFest","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 1:18:38 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 1:31:10 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/13 3:32:06 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/13 4:12:04 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Software Engineering 2016","PyCon Ukraine 2016","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/13 4:19:11 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Outsource People 2016 Kyiv","KharkivCSS","Трудный год, но в целом все хорошо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/13 4:58:36 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/13 7:28:44 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/13 7:32:28 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","iForum2016","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/13 8:13:31 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/13 8:15:42 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Неудачный год, все плохо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/13 8:27:18 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/13 8:30:32 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить",""
"2016/12/13 8:31:17 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 9:04:00 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","4С: Kyiv","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 9:06:15 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","WebCamp 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/13 9:18:07 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 9:21:54 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/13 9:36:23 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/13 9:36:42 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 9:40:57 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Неудачный год, все плохо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 9:56:23 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","iForum2016","WebCamp 2016","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/13 9:58:00 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Мега-синьор (10+ лет опыта)"
