"Timestamp","В каком вузе учились?","На каком факультете?","По какой специальности?","В каком году закончили вуз?","Как вы оцениваете полученное образование?","Что полезного для себя приобрели за время учебы?","Сталкивались ли вы с коррупцией в вашем вузе?","Сильные стороны вашего вуза:","Слабые стороны вашего вуза:","Если бы была возможность выбрать другой вуз/специальность, что бы вы выбрали?","Если бы была возможность, вы:","Пригодился ли вам диплом?","Учились очно или заочно?","Ваш пол:","Кем работаете?","Ваш доход:"
"2015/06/03 7:33:56 AM GMT+3","ОНПУ","ИКС","Компьютерные науки","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Сильные преподаватели;Сотрудничество с работодателями","Слабые студенты","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/03 7:45:24 AM GMT+3","НАУ","","Другое - инженерная специальность","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Научились общаться и работать в команд","Только по непрофильным предметам","Уровень студентов;Культурная жизнь в вузе","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Часть курсов очно, часть заочно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/03 7:45:59 AM GMT+3","НТУУ «КПИ»","","Другое - инженерная специальность","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Научились эффективно планировать свое время","Только по непрофильным предметам","Уровень студентов;Сотрудничество с работодателями;Престижность и котируемость диплома","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 7:55:20 AM GMT+3","НТУУ «КПИ»","ФИВТ","Системная инженерия","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Научились преодолевать проблемы;Научились общаться и работать в команд","Да, иногда","Сотрудничество с работодателями","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","Заняться самообучением","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/03 7:57:39 AM GMT+3","НТУУ «КПИ»","факультет прикладной математики","Компьютерная инженерия","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Престижность и котируемость диплома","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","Stanford university","Поступил на заочку и шел работать","Нет, не пригодился","Заочно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 8:02:27 AM GMT+3","ДонНТУ","Прикладная математика","Программная инженерия","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения","Устаревшая программа обучения;Нет современного оборудования","","","Нет, не пригодился","Часть курсов очно, часть заочно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/03 8:10:56 AM GMT+3","ДНУ им. Гончара","","Системная инженерия","до 1999","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы","Нет","Изучаемые предметы, программа обучения","Слабые преподаватели;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","ТОП-менеджер","Средний по отрасли"
"2015/06/03 8:15:22 AM GMT+3","ОНАС им. Попова","Информационные системы","Другое - инженерная специальность","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Получили полезные знания по специальности;Подучили английский язык","Да, иногда","Изучаемые предметы, программа обучения;Сильные преподаватели","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","ОНПУ","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/03 8:16:17 AM GMT+3","ВНУ им. Даля","","Компьютерные науки","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией","Да, часто","Сильные преподаватели","Устаревшая программа обучения;Слабые студенты","НТУУ «КПИ»","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/03 8:19:07 AM GMT+3","НТУУ «КПИ»","теплоенергетичний","автоматизація технологічних процесів та виробництв","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Научились преодолевать проблемы;Получили полезные знания по специальности;Завели полезные знакомства среди преподавателей","Только по непрофильным предметам","Сотрудничество с работодателями;Современное техническое оборудование;Престижность и котируемость диплома","Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Сисадмин","Выше среднего по отрасли"
"2015/06/03 8:21:27 AM GMT+3","СевНТУ","АВТ","Системная инженерия","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Получили полезные знания по специальности;Подучили английский язык","Да, иногда","Изучаемые предметы, программа обучения;Сильные преподаватели","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 8:22:15 AM GMT+3","КА ""Шаг""","","Программная инженерия","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Получили полезные знания по специальности;Завели полезные знакомства среди преподавателей","Нет","Сотрудничество с работодателями;Современное техническое оборудование","Слабые преподаватели;Диплом вуза не котируется работодателями","","","Да, у меня диплом бакалавра","Заочно","Мужчина","Сисадмин","Ниже среднего по отрасли"
"2015/06/03 8:25:04 AM GMT+3","ОНПУ","","Другое - инженерная специальность","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Да, иногда","Престижность и котируемость диплома;Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","ИКС","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Сисадмин","Ниже среднего по отрасли"
"2015/06/03 8:28:02 AM GMT+3","ХНЭУ","","Компьютерные науки","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Уровень студентов;Современное техническое оборудование","Слабые преподаватели;Диплом вуза не котируется работодателями;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/03 8:29:32 AM GMT+3","НТУУ «КПИ»","ФИВТ","Компьютерные науки","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Сильные преподаватели;Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 8:29:40 AM GMT+3","НТУУ «КПИ»","","Компьютерная инженерия","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Престижность и котируемость диплома","Устаревшая программа обучения;Слабые преподаватели;Нет современного оборудования","","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/03 8:31:52 AM GMT+3","НТУУ «КПИ»","ФИВТ","Системная инженерия","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Сильные преподаватели;Сотрудничество с работодателями","Устаревшая программа обучения","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Часть курсов очно, часть заочно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/03 8:35:43 AM GMT+3","ХНУ им. Каразина","","Компьютерные науки","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Только по непрофильным предметам","Престижность и котируемость диплома","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","ХНУРЭ","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 8:37:37 AM GMT+3","ДНУ им. Гончара","","Прикладная математика","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Получили полезные знания по специальности","Да, иногда","Изучаемые предметы, программа обучения;Престижность и котируемость диплома","Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Тестировщик","Средний по отрасли"
"2015/06/03 8:47:00 AM GMT+3","НАУ","","Компьютерная инженерия","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Нет современного оборудования","КНУ им. Шевченко","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/03 8:50:11 AM GMT+3","НУВГП","Прикладная математика","Прикладная математика","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, часто","Уровень студентов","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","Ничего","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 8:51:23 AM GMT+3","ЖГТУ","","Системная инженерия","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией","Да, иногда","Сильные преподаватели","Устаревшая программа обучения;Нет сотрудничества с работодателями;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Заочно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 8:54:46 AM GMT+3","НТУ «ХПИ»","Автоматика и приборостроение","Системная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности;Подучили английский язык","Только по непрофильным предметам","Сильные преподаватели;Культурная жизнь в вузе","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Сисадмин","Ниже среднего по отрасли"
"2015/06/03 8:57:06 AM GMT+3","НАУ","Компьютерных систем","Компьютерная инженерия","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Ничего","Да, иногда","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Нет современного оборудования","Любой не в Украине","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/03 8:59:19 AM GMT+3","НТУ «ХПИ»","Автоматика и приборостроение","Прикладная физика","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Научились преодолевать проблемы;Научились эффективно планировать свое время","Нет","Сильные преподаватели","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования"," Программную инженерию или компьютерные науки","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/03 9:03:32 AM GMT+3","ДНУЖТ им. Лазаряна","","Компьютерная инженерия","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников","Только по непрофильным предметам","Сильные преподаватели","Устаревшая программа обучения","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/03 9:06:38 AM GMT+3","ХНУРЭ","ПММ","Информатика","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Научились преодолевать проблемы;Завели полезные знакомства среди преподавателей","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Сотрудничество с работодателями","Слабые преподаватели;Слабые студенты;Нет современного оборудования","","","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:07:26 AM GMT+3","ЖГТУ","","Другое - инженерная специальность","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Нашли друзей и единомышленников;Завели полезные знакомства среди преподавателей","Только по непрофильным предметам","Изучаемые предметы, программа обучения","Устаревшая программа обучения;Слабые студенты;Нет современного оборудования","","","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:11:11 AM GMT+3","НГУ (Днепропетровск)","ИТ","Безопасность информационных и коммуникационных систем","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились общаться и работать в команд","Да, иногда","Сильные преподаватели;Сотрудничество с работодателями","Устаревшая программа обучения;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/03 9:19:27 AM GMT+3","ХНУРЭ","","Системный анализ","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Научились общаться и работать в команд","Да, иногда","Современное техническое оборудование","Слабые преподаватели","","Поступил на заочку и шел работать","Нет, не пригодился","Заочно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/03 9:22:21 AM GMT+3","НАУ","Компьютерные системы","Системная инженерия","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Сильные преподаватели;Сотрудничество с работодателями;Культурная жизнь в вузе","Устаревшая программа обучения","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:28:17 AM GMT+3","НАУ","","Прикладная математика","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Ничего","Да, иногда","Изучаемые предметы, программа обучения","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:32:15 AM GMT+3","ДонНУ","Математический","Прикладная математика","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Сильные преподаватели","Устаревшая программа обучения;Нет сотрудничества с работодателями","КПИ","","Да, у меня диплом специалиста/магистра","Очно","Женщина","Разработчик","Средний по отрасли"
"2015/06/03 9:32:29 AM GMT+3","НаУКМА","информатики","Компьютерные науки","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:32:45 AM GMT+3","НАУ","","Системная инженерия","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников;Подучили английский язык","Да, часто","Сильные преподаватели","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:33:22 AM GMT+3","ХАИ им. Жуковского","5","Компьютерная инженерия","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Современное техническое оборудование;Культурная жизнь в вузе","Нет сотрудничества с работодателями","","","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/03 9:33:31 AM GMT+3","ХНУ Хмельницкий","Системное програмирование","Компьютерная инженерия","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией","Да, иногда","Сильные преподаватели;Уровень студентов","Устаревшая программа обучения;Диплом вуза не котируется работодателями;Вуз не мотивирует учиться","","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:33:44 AM GMT+3","КНУБА","Инженерный","Другое - инженерная специальность","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности;Научились общаться и работать в команд","Только по непрофильным предметам","Сильные преподаватели;Престижность и котируемость диплома","Нет сотрудничества с работодателями;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/03 9:33:44 AM GMT+3","ВНТУ","","Другое - инженерная специальность","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Уровень студентов;Сотрудничество с работодателями","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:37:48 AM GMT+3","ДонНТУ","КИТА","Другое - инженерная специальность","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились преодолевать проблемы;Нашли друзей и единомышленников;Научились общаться и работать в команд","Только по непрофильным предметам","Уровень студентов;Сотрудничество с работодателями;Престижность и котируемость диплома","Устаревшая программа обучения;Нет современного оборудования","Программная инженерия","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Часть курсов очно, часть заочно","Мужчина","Тестировщик","Ниже среднего по отрасли"
"2015/06/03 9:38:27 AM GMT+3","КГПУ им. Винниченка","физ-мат","математика и информатика","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Завели полезные знакомства среди преподавателей","Да, иногда","Изучаемые предметы, программа обучения;Современное техническое оборудование;Престижность и котируемость диплома","Нет сотрудничества с работодателями;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:43:05 AM GMT+3","ХАИ им. Жуковского","СУЛА","Компьютерные науки","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, часто","Изучаемые предметы, программа обучения;Сильные преподаватели","Слабые студенты;Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Тестировщик","Ниже среднего по отрасли"
"2015/06/03 9:48:55 AM GMT+3","НТУУ «КПИ»","Прикладна математика","Прикладная математика","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Получили полезные знания по специальности","Нет","Уровень студентов;Сотрудничество с работодателями;Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/03 9:49:57 AM GMT+3","ВНУ им. Даля","математики и информатики","Прикладная математика","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Только по непрофильным предметам","Изучаемые предметы, программа обучения","Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/03 9:51:43 AM GMT+3","Черниговский Государственный технологический университет","Электронных и информационных технологий","Компьютерные системы и сети","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели","Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/03 9:52:35 AM GMT+3","НаУКМА","ФІ","Прикладная математика","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Подучили английский язык","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Сотрудничество с работодателями","Устаревшая программа обучения;Слабые преподаватели","КНУ безпека інформації","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
