Timestamp,FirstLanguage ,e1,NowLanguage,AdditionalLanguages,NextLanguage,PetProjectsLanguages,Choosing,Change,otherFirst,otherNow,Experience,inUA,Comment,n
,(другой),,Scala,"Java, C/C++, PHP, JavaScript, groovy, ",Scala,"Java, C/C++, Scala, m4",заказчиком,Нет,,,10 и больше
11/16/2010 13:42:45,Lisp,,Lisp,Haskell,Lisp,"Lisp, Haskell, Scala",исполнителем,Нет,,,10 и больше,нет
11/16/2010 13:45:43,1C,,C/C++,"C/C++, C#, Python, Tcl",Python,,совместным решением,Нет,,,3,нет
11/16/2010 13:48:29,Pascal/Delphi,,C#,"C/C++, Basic ",C#,,совместным решением,Нет,,,10 и больше,да
11/16/2010 13:49:21,Pascal/Delphi,,C/C++,"C/C++, Objective-C, Pascal/Delphi, T-SQL",Pascal/Delphi,,совместным решением,Нет,,,10 и больше,да
11/16/2010 14:03:31,Java,,C#,"Basic , JavaScript",Java,"Java, C#, Pascal/Delphi",моя организация разрабатывает только на этом языке,Нет,,,7,да
11/16/2010 14:05:40,Pascal/Delphi,,C#,"PHP, C#",C#,"PHP, C#",зависит от проекта,Нет,,,6,да
11/16/2010 14:17:03,другой,,Java,"Python, JavaScript, ActionScript, XSL",Python,"Java, Python, ActionScript",моя организация разрабатывает только на этом языке,Нет,,,6,да
11/16/2010 14:20:36,PHP,,Java,"C/C++, Python, Perl",Java,Java,исполнителем,Нет,,,2,да
11/16/2010 14:24:19,PHP,,PHP,"PHP, C#, JavaScript",C#,,исполнителем,Да,,,3,да
11/16/2010 14:28:00,C/C++,,PHP,"C/C++, PHP, Python, Perl, Ruby, JavaScript, Asm",Python,"PHP, Python, Perl, Ruby",зависит от проекта,Да,,,6,да
11/16/2010 14:29:15,Basic,,C/C++,"C/C++, PHP, Basic , JavaScript",C/C++,"C/C++, PHP",заказчиком,Нет,,,10 и больше,да
11/16/2010 14:33:57,(выберите из списка),,(выберите из списка),"C#, Scala",C#,"C#, Scala",заказчиком,Нет,,,5,да
11/16/2010 14:34:06,C/C++,,Java,"Objective-C, JavaScript",Java,Objective-C,совместным решением,Нет,,,5,да
11/16/2010 14:35:23,C#,,C#,"C#, Scala",C#,"C#, Scala",заказчиком,Нет,,,5,да
11/16/2010 14:40:27,PHP,,Java,JavaScript,Scala,"Java, JavaScript, Scala",зависит от проекта,Нет,,,4,да
11/16/2010 14:50:46,другой,,PHP,JavaScript,Java,"Java, C/C++, PHP, C#, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,2,да
11/16/2010 14:51:35,C/C++,,PHP,"C/C++, Python",Python,"C/C++, PHP, Python",совместным решением,Да,,,6,да
11/16/2010 14:53:27,Pascal/Delphi,,Java,"Java, JavaScript",Java,"Java, Pascal/Delphi",исполнителем,Нет,,,5,да
11/16/2010 14:55:17,PHP,,Python,"Python, JavaScript",Python,Python,зависит от проекта,Нет,,,6,да
11/16/2010 15:08:46,C/C++,,Java,"C/C++, Scala",Scala,"Java, Scala",зависит от проекта,Нет,,,8,да
11/16/2010 15:08:48,C/C++,,C/C++,Perl,C/C++,,совместным решением,Нет,,,10 и больше,да
11/16/2010 15:12:39,PHP,,PHP,"C/C++, C#",PHP,,исполнителем,Нет,,,5,да
11/16/2010 15:14:28,PHP,,PHP,"PHP, JavaScript",PHP,"PHP, JavaScript",зависит от проекта,Нет,,,6,да
11/16/2010 15:16:24,C/C++,,C#,"C/C++, C#, Objective-C",C#,,совместным решением,Нет,,,3,да
11/16/2010 15:17:04,C/C++,,Java,"Java, Python, JavaScript",Java,"Java, Python",зависит от проекта,Нет,,,6,нет
11/16/2010 15:17:37,Java,,C/C++,"Java, C/C++",Scala,"Java, C/C++, Scala",совместным решением,Да,,,2,нет
11/16/2010 15:21:15,C#,,Ruby,"Python, Scala",Ruby,"Ruby, Scala",исполнителем,Нет,,,5,нет,проживал до недавнего времени :)
11/16/2010 15:29:05,C#,,C#,Python,C#,C#,зависит от проекта,Нет,,,1,да
11/16/2010 15:43:48,Python,,Python,"Python, JavaScript",JavaScript,"Python, JavaScript",зависит от проекта,Нет,,,6,да
11/16/2010 15:45:50,C/C++,,Java,"Java, C/C++, PHP, C#, JavaScript, Lisp, Asm",C#,,исполнителем,Да,,,0,да
11/16/2010 16:03:06,C/C++,,другой,"PHP, JavaScript, ActionScript",Python,ActionScript,зависит от проекта,Нет,,,8,нет
11/16/2010 16:05:37,C/C++,,C/C++,"C#, Pascal/Delphi",C#,,зависит от проекта,Нет,,,4,да
11/16/2010 16:06:34,Pascal/Delphi,,C#,"PHP, Pascal/Delphi",C#,,зависит от проекта,Нет,,,5,нет
11/16/2010 16:19:16,PHP,,Java,"PHP, Perl",C#,,совместным решением,Да,,,10 и больше,да
11/16/2010 16:23:48,C/C++,,C#,,C#,,исполнителем,Нет,,,7,да
11/16/2010 16:25:54,Java,,Java,"Java, Ruby, JavaScript",Ruby,Ruby,заказчиком,Нет,,,4,да
11/16/2010 16:31:58,C/C++,,C#,"JavaScript, DBase-подобные",C#,C#,зависит от проекта,Нет,,,6,да
11/16/2010 16:33:58,Asm,,C#,"Java, C/C++, Haskell",Haskell,Haskell,моя организация разрабатывает только на этом языке,Да,,,10 и больше,нет
11/16/2010 16:46:40,PHP,,Ruby,JavaScript,Ruby,"Ruby, JavaScript",совместным решением,Нет,,,3,да
11/16/2010 16:52:26,C/C++,,Java,"C#, Python",C#,C#,исполнителем,Нет,,,5,да
11/16/2010 16:58:58,Java,,Java,JavaScript,Java,,зависит от проекта,Нет,,,4,да
11/16/2010 17:03:38,Pascal/Delphi,,Java,"Java, Android Java",Java,"Java, Android Java",заказчиком,Нет,,,5,да
11/16/2010 17:05:35,C/C++,,C#,Basic ,C#,,зависит от проекта,Нет,,,2,да
11/16/2010 17:06:38,C#,,C#,JavaScript,C#,,моя организация разрабатывает только на этом языке,Нет,,,3,да
11/16/2010 17:14:57,Pascal/Delphi,,PHP,"PHP, JavaScript",PHP,PHP,моя организация разрабатывает только на этом языке,Да,,,6,да
11/16/2010 17:19:09,C#,,PHP,"C#, JavaScript",PHP,PHP,исполнителем,Нет,,,2,нет
11/16/2010 17:20:32,C/C++,,C/C++,"C#, JavaScript",C/C++,"PHP, Objective-C",исполнителем,Нет,,,1,да
11/16/2010 17:25:22,Fortran,,C#,,C#,C#,заказчиком,Нет,,,10 и больше,да
11/16/2010 17:25:35,C/C++,,C/C++,C#,C#,C#,исполнителем,Да,,,1,да
11/16/2010 17:27:01,PHP,,PHP,"Java, C/C++, PHP, JavaScript",PHP,,зависит от проекта,Нет,,,2,нет
11/16/2010 17:41:28,C/C++,,Objective-C,PHP,Objective-C,"Objective-C, Ruby",зависит от проекта,Нет,,,5,да
11/16/2010 17:52:23,C/C++,,C#,JavaScript,C#,C#,зависит от проекта,Нет,,,10 и больше,да
11/16/2010 17:54:11,C#,,C#,C#,Java,C#,заказчиком,Нет,,,4,да
11/16/2010 17:59:16,другой,,PHP,"C/C++, PHP, JavaScript",(выберите из списка),,исполнителем,Нет,,,3,да
11/16/2010 18:09:28,C#,,C#,"C/C++, JavaScript",C#,,зависит от проекта,Нет,,,2,да
11/16/2010 18:16:23,Java,,Objective-C,"Java, C/C++, PHP, JavaScript",Objective-C,,зависит от проекта,Нет,,,5,да
11/16/2010 18:21:33,другой,,C/C++,"Java, Python, JavaScript",Python,"Java, Python",зависит от проекта,Да,,,2,да
11/16/2010 18:32:58,Java,,Java,"Java, JavaScript, groovy",Java,"Java, JavaScript, groovy",исполнителем,Нет,,,10 и больше,да
11/16/2010 18:37:31,другой,,Python,"Python, JavaScript, DBase-подобные",Python,"C#, DBase-подобные",совместным решением,Нет,,,1,да
11/16/2010 18:37:32,C/C++,,Java,"Java, C/C++, Python, Objective-C",Python,"Java, C/C++",заказчиком,Нет,,,6,да
11/16/2010 18:47:35,DBase-подобные ,,1С,"Python, Pascal/Delphi, 1C",Python,"Python, 1С",моя организация разрабатывает только на этом языке,Нет,,,10 и больше,да
11/16/2010 18:53:57,Basic,,PHP,"C/C++, Python, Ruby",Python,,зависит от проекта,Да,,,10 и больше,да
11/16/2010 19:10:22,C/C++,,Java,"Java, C/C++",Java,,исполнителем,Нет,,,1,да
11/16/2010 19:24:53,PHP,,C#,JavaScript,C#,PHP,совместным решением,Нет,,,8,да
11/16/2010 19:50:04,(выберите из списка),,(выберите из списка),C/C++,Haskell,,зависит от проекта,Нет,,,2,да
11/16/2010 19:57:36,Pascal/Delphi,,Java,,Java,Java,исполнителем,Да,,,4,да
11/16/2010 20:07:38,PHP,,PHP,JavaScript,PHP,PHP,заказчиком,Да,,,4,да
11/16/2010 20:10:08,C/C++,,C/C++,"Java, JavaScript, Asm",C/C++,"Java, C/C++",зависит от проекта,Да,,,3,да
11/16/2010 20:12:33,C/C++,,C#,,C#,,зависит от проекта,Нет,,,0,да
11/16/2010 20:14:32,Pascal/Delphi,,PHP,"C/C++, C#",Java,PHP,совместным решением,Нет,,,3,да
11/16/2010 20:28:57,PHP,,1С,JavaScript,PHP,PHP,моя организация разрабатывает только на этом языке,Нет,,,4,да
11/16/2010 20:34:45,C/C++,,C#,"C#, JavaScript",C#,"C/C++, C#, JavaScript, Windows Batch, WSH",моя организация разрабатывает только на этом языке,Нет,,,7,да
11/16/2010 20:36:39,C/C++,,Basic ,C#,C/C++,,заказчиком,Да,,,7,да
11/16/2010 20:38:49,C#,,C#,C#,C#,,заказчиком,Да,,,0,да
11/16/2010 20:47:36,C/C++,,C/C++,"Java, C/C++",Python,C/C++,заказчиком,Да,,,2,нет
11/16/2010 20:49:05,PHP,,PHP,"PHP, JavaScript",PHP,,моя организация разрабатывает только на этом языке,Нет,,,1,да
11/16/2010 21:00:50,PHP,,Java,"Java, PHP, JavaScript",Java,"Java, PHP, JavaScript",исполнителем,Да,,,5,да
11/16/2010 21:01:30,PHP,,Python,"Java, PHP, Python, Objective-C, JavaScript",Python,,совместным решением,Да,,,6,да
11/16/2010 21:02:31,PHP,,PHP,"Python, JavaScript",Python,"PHP, Python, JavaScript",заказчиком,Да,,,5,да
11/16/2010 21:02:50,C#,,C#,,C#,,зависит от проекта,Нет,,,4,да
11/16/2010 21:11:48,Java,,Java,,Java,,зависит от проекта,Нет,,,0,да
11/16/2010 21:16:30,Pascal/Delphi,,Java,"Java, PHP, JavaScript",Java,"Java, PHP",совместным решением,Нет,,,7,да
11/16/2010 21:26:36,C#,,C#,"C/C++, C#",C#,,моя организация разрабатывает только на этом языке,Нет,,,2,да
11/16/2010 21:27:21,Java,,Java,Java,Java,Java,совместным решением,Нет,,,10 и больше,да,[eq
11/16/2010 21:27:25,Pascal/Delphi,,PHP,"PHP, JavaScript",Python,,зависит от проекта,Да,,,8,да
11/16/2010 21:30:39,C#,,C#,,C#,,совместным решением,Нет,,,4,да
11/16/2010 21:33:09,C/C++,,Java,"Java, C/C++, PHP, C#",Java,"Java, PHP",зависит от проекта,Нет,,,1,да
11/16/2010 21:35:57,C/C++,,Java,JavaScript,Java,,совместным решением,Нет,,,5,да
11/16/2010 21:36:04,Pascal/Delphi,,Java,"Objective-C, Ruby, Lisp, Haskell",Haskell,Objective-C,совместным решением,Да,,,5,да
11/16/2010 21:42:36,PHP,,JavaScript,Java,Ruby,"Java, PHP, Ruby, JavaScript",совместным решением,Да,,,10 и больше,да
11/16/2010 21:43:09,(выберите из списка),,(выберите из списка),Brainfuck,(выберите из списка),Brainfuck,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,нет
11/16/2010 21:48:36,PHP,,C/C++,,C/C++,,моя организация разрабатывает только на этом языке,Нет,,,7,да
11/16/2010 21:56:46,Pascal/Delphi,,C#,JavaScript,C#,C#,заказчиком,Нет,,,9,да
11/16/2010 22:05:34,Objective-C,,Java,"Java, C/C++, PHP, C#, Objective-C, Perl, JavaScript",Java,"Java, Objective-C",совместным решением,Нет,,,6,да
11/16/2010 22:13:09,C/C++,,Java,"PHP, JavaScript",Java,,моя организация разрабатывает только на этом языке,Нет,,,1,да
11/16/2010 22:24:19,C#,,C#,"JavaScript, DBase-подобные",C#,"C#, JavaScript, DBase-подобные",моя организация разрабатывает только на этом языке,Нет,,,5,нет
11/16/2010 22:39:06,PHP,,Python,"Java, C/C++, PHP, Python, JavaScript",Python,,совместным решением,Нет,,,10 и больше,да
11/16/2010 22:41:36,другой,,Pascal/Delphi,Java,C/C++,,зависит от проекта,Нет,,,0,да
11/16/2010 22:49:07,Java,,Java,"Java, C/C++",Java,,заказчиком,Нет,,,5,да
11/16/2010 23:01:14,C/C++,,C/C++,Python,Python,"C#, Python",зависит от проекта,Нет,,,5,да
11/16/2010 23:03:16,C#,,Java,"Java, C#",C#,,зависит от проекта,Да,,,4,да
11/16/2010 23:10:44,PHP,,Java,,Java,Java,заказчиком,Нет,,,4,да
11/16/2010 23:15:34,C/C++,,PHP,"C/C++, PHP",C#,"PHP, C#",моя организация разрабатывает только на этом языке,Нет,,,1,да
11/16/2010 23:19:40,Pascal/Delphi,,C#,,C#,,исполнителем,Нет,,,2,да
11/16/2010 23:20:43,C/C++,,C/C++,"C/C++, Asm",C/C++,,исполнителем,Нет,,,1,да
11/16/2010 23:24:10,Pascal/Delphi,,JavaScript,Python,Pascal/Delphi,JavaScript,моя организация разрабатывает только на этом языке,Нет,,,5,да
11/16/2010 23:26:39,Pascal/Delphi,,PHP,"C/C++, PHP, JavaScript, 1C",PHP,,моя организация разрабатывает только на этом языке,Нет,,,2,да
11/16/2010 23:40:49,Java,,Java,"Java, JavaScript",Java,Pascal/Delphi,зависит от проекта,Нет,,,4,да
11/16/2010 23:43:58,C/C++,,C#,"Java, JavaScript",C#,"Java, C/C++, C#",зависит от проекта,Нет,,,10 и больше,да
11/17/2010 0:02:29,C/C++,,PHP,Python,Scala,,зависит от проекта,Да,,,7,да
11/17/2010 0:03:38,Basic,,C#,"Basic , VB.NET",C#,C#,зависит от проекта,Нет,,,5,да
11/17/2010 0:10:53,C/C++,,C/C++,,C#,C#,заказчиком,Да,,,3,да
11/17/2010 0:24:46,C/C++,,C/C++,,C/C++,,совместным решением,Нет,,,5,да
11/17/2010 0:36:13,(выберите из списка),,(выберите из списка),,(выберите из списка),,заказчиком,Да,,,0,да
11/17/2010 1:21:32,другой,,Java,"C#, Ruby, JavaScript",C#,"Java, C#, Ruby",совместным решением,Нет,,,7,да
11/17/2010 1:23:13,PHP,,Python,"Python, JavaScript",Python,,исполнителем,Нет,,,5,нет,"Задачи определяют используемый язык. Заказчик и разработчик либо соглашаются с этим, либо нет и тогда одной проблемой становится больше."
11/17/2010 1:23:43,Pascal/Delphi,,C#,C/C++,C#,Pascal/Delphi,зависит от проекта,Нет,,,5,да
11/17/2010 2:26:11,Pascal/Delphi,,Java,"JavaScript, Haskell",Scala,"Java, C/C++, Python, Basic, JavaScript, Pascal/Delphi, Haskell, Scala",зависит от проекта,Нет,,,10 и больше,да
11/17/2010 5:39:49,PHP,,C#,"C#, JavaScript",C#,C#,заказчиком,Да,,,6,нет
11/17/2010 7:34:10,другой,,C/C++,Lua,(выберите из списка),C/C++,зависит от проекта,Да,,,5,да
11/17/2010 8:19:20,C/C++,,C/C++,"C/C++, C#, Objective-C, Asm, DBase-подобные",C/C++,,заказчиком,Нет,,,6,да
11/17/2010 8:33:42,Pascal/Delphi,,C/C++,"C/C++, PHP",Java,PHP,исполнителем,Нет,,,3,да
11/17/2010 8:55:59,Asm,,C/C++,"C/C++, PHP, C#, Asm",C#,C/C++,совместным решением,Да,,,10 и больше,да
11/17/2010 9:00:14,Java,,Java,JavaScript,Java,,заказчиком,Нет,,,4,да
11/17/2010 9:08:46,DBase-подобные ,,Pascal/Delphi,"Java, C/C++, Basic , JavaScript, Pascal/Delphi, Asm",Java,"Java, Pascal/Delphi",зависит от проекта,Да,,,7,да
11/17/2010 9:25:06,C/C++,,PHP,"C/C++, Perl",PHP,,заказчиком,Нет,,,10 и больше,да
11/17/2010 9:25:36,C/C++,,Perl,,C/C++,Perl,исполнителем,Да,,,2,нет
11/17/2010 9:31:42,Pascal/Delphi,,C#,"C/C++, JavaScript, Pascal/Delphi",Pascal/Delphi,"C#, Pascal/Delphi",совместным решением,Нет,,,10 и больше,да
11/17/2010 9:31:45,C/C++,,C#,"PHP, C#, Objective-C, JavaScript",C#,,совместным решением,Нет,,,10 и больше,да
11/17/2010 9:32:30,C/C++,,Objective-C,Objective-C,Haskell,"Lisp, Haskell",зависит от проекта,Да,,,2,нет
11/17/2010 9:32:34,Basic,,C#,"C/C++, PHP, C#, Pascal/Delphi",C#,,зависит от проекта,Нет,,,2,нет
11/17/2010 9:35:49,Java,,Java,"Java, JavaScript, DBase-подобные",Java,,совместным решением,Нет,,,2,да
11/17/2010 9:39:36,C/C++,,Python,"Java, C/C++, JavaScript",другой,"C/C++, Python, JavaScript",зависит от проекта,Нет,,,8,да
11/17/2010 9:53:08,PHP,,PHP,"JavaScript, actionscript",PHP,"PHP, JavaScript, actionscript",заказчиком,Нет,,,4,да
11/17/2010 10:01:10,C/C++,,C#,"Perl, JavaScript",C#,C#,заказчиком,Нет,,,10 и больше,да
11/17/2010 10:05:10,PHP,,Java,"C/C++, PHP, Ruby, JavaScript",Java,Java,совместным решением,Нет,,,7,да
11/17/2010 10:05:20,PHP,,Java,"JavaScript, DBase-подобные",Java,,зависит от проекта,Нет,,,7,да
11/17/2010 10:21:07,Basic,,C#,,Java,,зависит от проекта,Да,,,7,да
11/17/2010 10:29:07,Java,,Java,JavaScript,Java,,исполнителем,Нет,,,3,да
11/17/2010 10:36:28,C#,,C#,Java,C#,"Java, C#",зависит от проекта,Нет,,,7,да
11/17/2010 10:37:21,Java,,Java,Flash,Java,Java,исполнителем,Нет,,,2,да
11/17/2010 10:53:53,C#,,PHP,"PHP, C#, JavaScript",C#,,заказчиком,Да,,,6,да
11/17/2010 10:57:17,Pascal/Delphi,,C/C++,"C/C++, Asm",C/C++,C/C++,моя организация разрабатывает только на этом языке,Нет,,,7,да
11/17/2010 11:02:49,PHP,,PHP,,PHP,PHP,заказчиком,Да,,,1,да
11/17/2010 11:04:45,PHP,,C/C++,C/C++,C#,,исполнителем,Нет,,,1,нет
11/17/2010 11:05:35,Pascal/Delphi,,PHP,"C/C++, PHP, C#, Python, JavaScript, Pascal/Delphi",C#,,зависит от проекта,Да,,,3,да
11/17/2010 11:11:16,(выберите из списка),,(выберите из списка),,(выберите из списка),,заказчиком,Да,,,0,да
11/17/2010 11:18:24,Java,,Java,JavaScript,Ruby,,моя организация разрабатывает только на этом языке,Нет,,,8,да
11/17/2010 11:19:24,Python,,Perl,"Java, PHP, Python",Python,,совместным решением,Да,,,3,да
11/17/2010 11:23:52,(выберите из списка),,Ruby,JavaScript,(выберите из списка),,исполнителем,Да,,,2,да
11/17/2010 11:31:27,PHP,,DBase-подобные,,C#,PHP,заказчиком,Нет,,,3,да
11/17/2010 11:32:08,Perl,,PHP,"Perl, JavaScript",PHP,,совместным решением,Нет,,,10 и больше,да
11/17/2010 11:33:30,Java,,Java,,C#,,исполнителем,Да,,,0,да
11/17/2010 11:34:43,Java,,Java,"Java, JavaScript, DBase-подобные, SQL",Java,"Java, JavaScript",исполнителем,Нет,,,2,да
11/17/2010 11:36:51,C/C++,,C/C++,"C#, Python",C#,,исполнителем,Нет,,,3,нет
11/17/2010 11:39:53,Asm,,DBase-подобные,C#,DBase-подобные,,заказчиком,Нет,,,4,да
11/17/2010 11:52:26,PHP,,Java,"Java, PHP, C#, JavaScript",C#,,совместным решением,Нет,,,10 и больше,да
11/17/2010 11:57:36,Pascal/Delphi,,C#,,Java,Java,зависит от проекта,Нет,,,3,нет
11/17/2010 12:14:20,PHP,,JavaScript,"PHP, Python, JavaScript",Python,"Python, JavaScript",заказчиком,Да,,,4,да
11/17/2010 12:21:51,Basic,,C#,"Java, PHP, C#",Java,"Java, PHP",заказчиком,Нет,,,7,нет
11/17/2010 12:22:15,PHP,,PHP,"Java, Python, JavaScript, Shell",Java,Java,зависит от проекта,Да,,,5,да
11/17/2010 12:32:55,C#,,C#,Basic ,C#,C#,моя организация разрабатывает только на этом языке,Нет,,,3,да
11/17/2010 12:42:37,C/C++,,C#,C#,C#,,исполнителем,Нет,,,1,да
11/17/2010 12:55:02,Perl,,Python,"PHP, Ruby, Lisp, Lua",Ruby,,совместным решением,Нет,,,5,нет
11/17/2010 12:57:05,C/C++,,Objective-C,"Java, C/C++, C#, Objective-C, JavaScript",C#,"Java, C/C++, Objective-C",зависит от проекта,Да,,,5,да
11/17/2010 12:57:30,Pascal/Delphi,,C#,,C#,,зависит от проекта,Нет,,,5,да
11/17/2010 13:06:17,Pascal/Delphi,,C#,"Java, Perl, JavaScript",Java,Java,заказчиком,Да,,,10 и больше,да
11/17/2010 13:10:42,Asm,,Asm,"C/C++, Python, Objective-C, Perl, Lisp",C/C++,,совместным решением,Нет,,,5,да
11/17/2010 13:12:21,Pascal/Delphi,,Java,"C/C++, JavaScript",Java,Java,исполнителем,Нет,,,4,да
11/17/2010 13:15:09,C#,,Java,Objective-C,C#,,заказчиком,Нет,,,5,да
11/17/2010 13:17:18,Pascal/Delphi,,Java,Groovy,Scala,Scala,заказчиком,Нет,,,5,да
11/17/2010 13:33:25,C#,,C#,"C#, JavaScript",C#,,совместным решением,Нет,,,0,да
11/17/2010 13:46:27,C/C++,,Java,"Objective-C, JavaScript",Java,Java,зависит от проекта,Нет,,,3,да
11/17/2010 13:49:14,C#,,PHP,"PHP, JavaScript",PHP,,заказчиком,Нет,,,2,да
11/17/2010 13:51:09,C/C++,,C/C++,Python,C#,C/C++,заказчиком,Нет,,,3,да
11/17/2010 14:13:31,Java,,Java,"Ruby, JavaScript",Java,,заказчиком,Да,,,4,да
11/17/2010 14:14:49,C/C++,,Java,"Python, JavaScript",Java,"Java, C/C++, PHP, Python, JavaScript",исполнителем,Нет,,,5,да
11/17/2010 14:17:39,C/C++,,C/C++,"Java, C/C++, Python, Objective-C, Perl, Ruby",Python,"Python, Haskell",моя организация разрабатывает только на этом языке,Нет,,,4,да
11/17/2010 14:24:48,C/C++,,Python,"Java, C/C++, Python, JavaScript",Java,"Java, C/C++, Python",исполнителем,Да,,,5,нет
11/17/2010 14:30:30,Pascal/Delphi,,Pascal/Delphi,C#,C#,,заказчиком,Нет,,,7,да
11/17/2010 14:44:20,Basic,,Java,"Java, Python, JavaScript",Python,"Java, Python",совместным решением,Нет,,,1,да
11/17/2010 14:52:00,C#,,Pascal/Delphi,"C/C++, C#",C#,C#,совместным решением,Нет,,,8,да
11/17/2010 15:04:08,Asm,,C/C++,Ruby,C/C++,,заказчиком,Нет,,,7,да
11/17/2010 15:06:12,Asm,,C/C++,"Ruby, Pascal/Delphi",C/C++,,заказчиком,Нет,,,7,да
11/17/2010 15:18:32,C/C++,,C/C++,C/C++,C/C++,C/C++,исполнителем,Нет,,,2,да,"ТОВ ""Планета Софт"""
11/17/2010 15:26:50,Pascal/Delphi,,Pascal/Delphi,"Java, JavaScript",Java,Java,совместным решением,Да,,,7,да
11/17/2010 15:28:06,C#,,другой,"C#, JavaScript",Java,"C#, JavaScript",моя организация разрабатывает только на этом языке,Да,,,4,да
11/17/2010 15:30:32,C/C++,,C#,,C/C++,C/C++,заказчиком,Нет,,,7,нет
11/17/2010 15:31:01,1C,,Python,"PHP, Python, JavaScript, Lua",Python,Python,совместным решением,Нет,,,8,да
11/17/2010 15:41:27,Java,,Java,Java,Java,,заказчиком,Нет,,,2,да
11/17/2010 15:48:59,1C,,C#,,C#,C#,моя организация разрабатывает только на этом языке,Нет,,,2,да
11/17/2010 15:57:51,Basic,,Java,"Java, PHP, Python, Perl, JavaScript",Java,"Java, PHP",заказчиком,Нет,,,10 и больше,да
11/17/2010 16:01:56,PHP,,PHP,"Java, JavaScript",Ruby,"Java, Ruby, JavaScript",исполнителем,Нет,,,7,да
11/17/2010 16:20:43,другой,,C#,"PHP, C#, JavaScript",C#,"PHP, C#, JavaScript",зависит от проекта,Нет,,,10 и больше,да
11/17/2010 16:35:27,C/C++,,PHP,Perl,(выберите из списка),,совместным решением,Да,,,4,да
11/17/2010 16:39:20,Java,,Java,JavaScript,Java,,зависит от проекта,Нет,,,4,да
11/17/2010 16:40:58,Pascal/Delphi,,C/C++,C#,C#,,заказчиком,Да,,,3,нет
11/17/2010 16:42:35,Java,,C/C++,"Java, PHP, Python, Perl, JavaScript, Asm",Python,C/C++,заказчиком,Нет,,,8,да
11/17/2010 16:45:38,C/C++,,PHP,"Java, C/C++, PHP",Java,,зависит от проекта,Да,,,1,да
11/17/2010 16:49:10,Basic,,PHP,"Ruby, JavaScript",Java,"PHP, Python, Ruby",моя организация разрабатывает только на этом языке,Нет,,,7,да
11/17/2010 16:58:42,C/C++,,Objective-C,"Java, C/C++",Objective-C,,совместным решением,Нет,,,1,да
11/17/2010 17:12:02,Java,,C/C++,PHP,C/C++,C/C++,исполнителем,Нет,,,4,да
11/17/2010 17:41:07,Pascal/Delphi,,C#,"Java, C/C++, JavaScript",C#,,зависит от проекта,Нет,,,3,да
11/17/2010 17:44:15,JavaScript,,PHP,"Java, Perl, JavaScript",PHP,,зависит от проекта,Нет,,,10 и больше,да
11/17/2010 18:18:51,C#,,PHP,JavaScript,PHP,"PHP, C#, JavaScript",зависит от проекта,Нет,,,3,да
11/17/2010 18:20:12,Pascal/Delphi,,C#,JavaScript,C#,,моя организация разрабатывает только на этом языке,Нет,,,3,да
11/17/2010 18:20:25,C#,,C#,"Java, Ruby",C#,C#,заказчиком,Нет,,,3,да
11/17/2010 18:23:48,C/C++,,C/C++,"C/C++, PHP, Python, JavaScript",Python,"C/C++, PHP, Python",зависит от проекта,Нет,,,10 и больше,да
11/17/2010 18:27:37,(выберите из списка),,(выберите из списка),"C#, JavaScript",C#,,зависит от проекта,Нет,,,3,да
11/17/2010 18:40:42,Perl,,Java,Perl,PHP,"Java, Perl",заказчиком,Нет,,,6,да,"Говорю о Java, просто потому, что с Microsoft технологиями (C#) не работал.

Если бы вы начинали сейчас коммерческий проект: коммерческие проекты бывают разные; если для банка, то Java.
"
11/17/2010 18:44:25,C/C++,,C#,"Java, C/C++, C#",Java,C#,исполнителем,Да,,,1,да
11/17/2010 18:59:21,Pascal/Delphi,,C#,"Java, C#, Pascal/Delphi",C#,,зависит от проекта,Нет,,,10 и больше,да
11/17/2010 19:10:00,Pascal/Delphi,,Perl,"Perl, Asm",Java,,исполнителем,Да,,,5,да
11/17/2010 19:23:07,другой,,Pascal/Delphi,,Pascal/Delphi,,исполнителем,Нет,,,4,да
11/17/2010 19:42:18,C/C++,,C/C++,Asm,C/C++,"C/C++, Python, Lua, Asm",зависит от проекта,Нет,,,10 и больше,да,"Embedded
RTOS
Linux
ANSI C"
11/17/2010 20:05:32,Perl,,Perl,,Perl,Perl,моя организация разрабатывает только на этом языке,Да,,,5,да
11/17/2010 20:10:22,C/C++,,C#,C#,C#,C#,заказчиком,Нет,,,3,да
11/17/2010 20:26:45,Java,,Java,JavaScript,Java,,заказчиком,Да,,,2,да
11/17/2010 20:29:37,Pascal/Delphi,,Python,C/C++,Python,,совместным решением,Нет,,,1,нет
11/17/2010 20:41:47,PHP,,PHP,Python,Python,Python,заказчиком,Нет,,,5,да
11/17/2010 20:50:32,Basic,,C#,,C#,"C#, Python, JavaScript",зависит от проекта,Нет,,,6,да
11/17/2010 21:09:13,C/C++,,Pascal/Delphi,,C#,C#,зависит от проекта,Да,,,5,да
11/17/2010 21:09:59,Java,,C#,C#,C#,C#,зависит от проекта,Нет,,,1,да
11/17/2010 21:57:02,Pascal/Delphi,,Pascal/Delphi,Perl,Pascal/Delphi,Pascal/Delphi,моя организация разрабатывает только на этом языке,Да,,,5,да
