Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
11/12/2020 09:12,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Full-stack,JavaScript,"Go, PHP, Python",,Web,,,,,,,,,,,,,,,,,,,"E-commerce, Fintech",Аутсорсингова,до 1000,10 і більше років,7 років,3-4,5000,0,"Ні, не отримую",
08/12/2020 19:51,"Так, працюю full-time",Київ,В офісі,Чоловік,35,Кандидат наук,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"PHP, TypeScript","Angular/Angular.js, Node.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 50,6 років,2 роки,3-4,3500,800,"Отримую бонус за гарні показники роботи, але нерегулярно",400
13/12/2020 10:29,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,31,Вища,ДНУЗТ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Back-end,PHP,"JavaScript, SQL",Magento,Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 200,9 років,2 роки,5-7,5000,500,Отримую бонус щокварталу,600
08/12/2020 22:37,"Так, працюю full-time",Київ,Віддалено,Чоловік,28,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,C#/.NET,"JavaScript, SQL, TypeScript",".NET Core, Angular/Angular.js, ASP.NET","Web, Desktop",,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 1000,6 років,4 роки,3-4,3500,0,Отримую бонус щороку,3500
08/12/2020 22:53,"Так, працюю full-time",Київ,Віддалено,Чоловік,36,Вища,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,Не використовую,"Hibernate, Spring",,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,понад 1000,5 років,Менше як 3 місяці,3-4,3500,900,"Отримую бонус за гарні показники роботи, але нерегулярно",
19/12/2020 02:48,"Так, працюю full-time",Одеса,Віддалено,Чоловік,30,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Front-end,TypeScript,"Java, JavaScript","Angular/Angular.js, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,ERP,Продуктова,до 200,10 і більше років,5 років,3-4,4400,700,"Ні, не отримую",
31/12/2020 15:12,"Так, працюю full-time",Київ,,Чоловік,40,Вища,,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,Java,"JavaScript, SQL","Hibernate, jQuery, Spring","Web, Desktop",,,,,,,,,,,,,,,,,,,Insurance,Аутсорсингова,до 50,10 і більше років,4 роки,3-4,2200,0,"Ні, не отримую",
08/12/2020 23:09,"Так, працюю full-time",Київ,В офісі,Чоловік,34,Вища,ДНУЗТ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,C#/.NET,C#/.NET,Unity 3D,Mobile cross-platform,,,,,,,,,,,,,,,,,,,GameDev,Продуктова,до 200,9 років,Пів року,5-7,3500,400,"Ні, не отримую",
31/12/2020 20:56,"Так, працюю full-time",Вінниця,"Частково віддалено, частково в офісі",Чоловік,29,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Java,Не використовую,Spring,"Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Gambling, GameDev",Продуктова,до 200,3 роки,Пів року,3-4,2200,500,Отримую бонус щокварталу,
09/12/2020 00:17,"Так, працюю full-time",Одеса,Віддалено,Чоловік,29,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,JavaScript,"jQuery, Symfony",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 1000,6 років,Менше як 3 місяці,5-7,3500,-200,"Ні, не отримую",
01/01/2021 19:25,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,33,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,Не використовую,"jQuery, Node.js, Vue.js","Web, Desktop, Chrome extension",,,,,,,,,,,,,,,,,,,Hardware,Продуктова,до 200,3 роки,1 рік,3-4,2200,400,"Ні, не отримую",
02/01/2021 21:02,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,24,Середня,НТУУ «КПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,JavaScript,TypeScript,"Cordova, React Native, Vue.js",Mobile cross-platform,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 1000,3 роки,1 рік,2,2200,200,"Отримую бонус за гарні показники роботи, але нерегулярно",300
03/01/2021 13:52,"Так, працюю full-time",Вінниця,"Частково віддалено, частково в офісі",Чоловік,22,Вища,ДонНУ ім. Василя Стуса,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Java,Не використовую,"Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,Cloud Computing,Аутсорсингова,понад 1000,2 роки,2 роки,1,2200,400,"Ні, не отримую",
03/01/2021 22:27,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,30,Середня,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,TypeScript,"Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Media,Продуктова,до 200,3 роки,1 рік,3-4,2200,0,"Ні, не отримую",0
19/12/2020 00:45,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Жінка,22,Ще студент,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,JavaScript,"Python, SQL",Node.js,Web,,,,,,,,,,,,,,,,,,,Logistics,Аутсорсингова,понад 1000,2 роки,1 рік,1,780,200,"Ні, не отримую",
04/01/2021 12:25,"Так, працюю full-time",Київ,Віддалено,Жінка,23,Вища,КНУ ім. Шевченка,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Scala,Java,,Web,,,,,,,,,,,,,,,,,,,Automotive,Аутстафінгова,понад 1000,3 роки,Пів року,3-4,2200,900,"Ні, не отримую",
07/12/2020 11:27,"Так, працюю full-time",Київ,Віддалено,Чоловік,24,Вища,НАУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,C#/.NET,"JavaScript, TypeScript",".NET, jQuery","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,3 роки,2 роки,3-4,2217,931,"Ні, не отримую",
09/12/2020 08:49,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,29,Вища,НАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,TypeScript,React.js,"Web, Desktop, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Media,Аутсорсингова,понад 1000,6 років,2 роки,3-4,3500,500,"Отримую бонус за гарні показники роботи, але нерегулярно",300
09/12/2020 11:15,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,27,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,TypeScript,"Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Security,Аутстафінгова,до 50,6 років,2 роки,5-7,3500,300,Отримую бонус щороку,1000
15/12/2020 20:02,"Так, працюю full-time",Київ,Віддалено,Чоловік,24,Вища,НАУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,C#/.NET,"C#/.NET, JavaScript, SQL",".NET, ASP.NET, WCF",Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems",Продуктова,до 50,1 рік,1 рік,1,785,140,"Ні, не отримую",
15/12/2020 16:23,"Так, працюю full-time",Луцьк,В офісі,Чоловік,20,Ще студент,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Full-stack,PHP,"C#/.NET, JavaScript, Python","Drupal, jQuery, React.js",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 50,2 роки,2 роки,1,2000,1400,"Ні, не отримую",
09/12/2020 13:43,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Дві вищих,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Kotlin,Java,,Mobile Android,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,понад 1000,7 років,3 роки,2,3500,200,"Ні, не отримую",
07/12/2020 10:41,"Так, працюю full-time",Івано-Франківськ,Віддалено,Чоловік,21,Ще студент,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Java,Не використовую,"Spring, Vert.x",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,2 роки,2 роки,1,790,400,"Ні, не отримую",
15/12/2020 16:33,"Так, працюю full-time",Київ,В офісі,Чоловік,32,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Back-end,PHP,"Go, JavaScript, SQL","Angular/Angular.js, Symfony",Web,,,,,,,,,,,,,,,,,,,"Fintech, Gambling",Продуктова,до 1000,10 і більше років,1 рік,8 і більше,4700,200,"Ні, не отримую",
22/12/2020 14:04,"Так, працюю full-time",Київ,Віддалено,Чоловік,25,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Full-stack,JavaScript,TypeScript,"Angular/Angular.js, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,понад 1000,8 років,2 роки,3-4,4400,450,"Отримую бонус за гарні показники роботи, але нерегулярно",1000
10/12/2020 15:57,"Так, працюю full-time",Львів,Віддалено,Чоловік,32,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,C#/.NET,"C#/.NET, Kotlin, SQL",".NET, .NET Core, ASP.NET","Web, Desktop",,,,,,,,,,,,,,,,,,,Fintech,Інша,до 200,10 і більше років,1 рік,2,3500,0,"Ні, не отримую",
07/12/2020 23:28,"Так, працюю full-time",Одеса,Віддалено,Чоловік,24,Вища,ОНПУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,"E-commerce, Logistics",Стартап,до 50,2 роки,3 місяці,3-4,2230,1630,Отримую бонус щороку,2230
07/12/2020 12:05,"Так, працюю full-time",Харків,В офісі,Чоловік,32,Дві вищих,НТУ «ХПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,C#/.NET,"JavaScript, SQL",".NET, ASP.NET, jQuery",Web,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,до 200,3 роки,3 місяці,2,2240,900,"Ні, не отримую",
28/12/2020 18:16,"Так, працюю full-time",Львів,Віддалено,Чоловік,35,Вища,НУ «Львівська політехніка»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Mobile,Kotlin,Java,,Mobile Android,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,понад 1000,10 і більше років,4 роки,3-4,4400,400,"Ні, не отримую",
10/12/2020 20:38,"Так, працюю full-time",Херсон,Віддалено,Чоловік,30,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,"JavaScript, SQL, TypeScript","Node.js, Symfony, Vue.js",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Insurance",Аутстафінгова,до 1000,8 років,Менше як 3 місяці,2,3500,1100,"Ні, не отримую",
12/12/2020 12:48,"Так, працюю full-time",Київ,В офісі,Чоловік,27,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,C++,JavaScript,"Qt, QML","Desktop, Mobile cross-platform, Microcontrollers/Embedded/IoT",,,,,,,,,,,,,,,,,,,"Embedded, Manufacturing, Telecom",Продуктова,до 50,1 рік,1 рік,1,790,-50,"Ні, не отримую",
08/12/2020 16:36,"Так, працюю full-time",Рівне,Віддалено,Чоловік,29,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,PHP,jQuery,Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 200,3 роки,Пів року,3-4,2240,+750,"Ні, не отримую",
11/12/2020 09:41,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,29,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,Не використовую,Spring,Web,,,,,,,,,,,,,,,,,,,Logistics,Аутсорсингова,понад 1000,8 років,1 рік,3-4,3500,0,"Ні, не отримую",
29/12/2020 15:56,"Так, працюю full-time",Київ,Віддалено,Чоловік,37,Вища,Інший виш,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,Java,"JavaScript, Python","Hibernate, Spring, Vue.js",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,понад 1000,10 і більше років,8 років,2,4400,300,"Отримую бонус за гарні показники роботи, але нерегулярно",500
11/12/2020 16:06,"Так, працюю full-time",Вінниця,Віддалено,Чоловік,35,Вища,ВНТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Swift,Не використовую,,Mobile iOS,,,,,,,,,,,,,,,,,,,"Mobile, Інша",Продуктова,до 200,7 років,Менше як 3 місяці,5-7,3500,400,"Ні, не отримую",
11/12/2020 17:43,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,27,Середня,,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,TypeScript,"React.js, React Native","Web, Mobile Android, Mobile iOS, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Fintech,Аутстафінгова,до 200,6 років,3 місяці,5-7,3500,300,"Ні, не отримую",
11/12/2020 18:43,"Так, працюю full-time",Тернопіль,"Частково віддалено, частково в офісі",Чоловік,33,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,PHP,JavaScript,"jQuery, Node.js, Magento",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 1000,6 років,4 роки,3-4,3500,800,"Ні, не отримую",
09/12/2020 12:50,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,23,Вища,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,"C#/.NET, SQL, TypeScript",".NET Core, Angular/Angular.js","Web, Desktop",,,,,,,,,,,,,,,,,,,Automotive,Аутсорсингова,понад 1000,2 роки,Пів року,2,2240,1042,"Отримую бонус за гарні показники роботи, але нерегулярно",200
15/12/2020 18:07,"Так, працюю full-time",Ужгород,В офісі,Чоловік,29,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Front-end,JavaScript,"Objective-C, Swift","React.js, React Native","Web, Mobile Android, Mobile iOS, Mobile cross-platform, Mobile other",,,,,,,,,,,,,,,,,,,Mobile,Продуктова,до 50,7 років,5 років,2,4000,400,Отримую бонус щороку,100000
26/12/2020 10:17,"Так, працюю full-time",Київ,Віддалено,Чоловік,33,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Back-end,Java,"Java, Kotlin, Python","Apache Spark, Spring",Web,,,,,,,,,,,,,,,,,,,"Big Data, Cloud Computing, High Load Systems",Аутсорсингова,понад 1000,10 і більше років,Менше як 3 місяці,8 і більше,5000,100,"Ні, не отримую",
20/12/2020 09:11,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,19,Ще студент,НУ «Львівська політехніка»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Java,Не використовую,"Spring, EJB JBoss","Web, Desktop, Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 50,Менше як 3 місяці,Менше як 3 місяці,1,790,+790,"Ні, не отримую",
11/12/2020 19:20,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,27,Вища,ЧНУ ім. Федьковича,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,"JavaScript, PHP, TypeScript","Angular/Angular.js, React Native, WordPress","Web, Mobile Android, Mobile iOS, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Mobile, Travel",Аутсорсингова,до 50,7 років,3 роки,3-4,3500,1000,Отримую бонус щороку,300
07/12/2020 10:55,"Так, працюю full-time",Київ,В офісі,Чоловік,28,Вища,ДонНТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,TypeScript,"Angular/Angular.js, React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,GameDev,Аутстафінгова,до 50,4 роки,2 роки,2,2250,250,"Ні, не отримую",
07/12/2020 11:45,"Так, працюю full-time",Харків,Віддалено,Чоловік,24,Вища,НТУ «ХПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,TypeScript,JavaScript,"Angular/Angular.js, Node.js, React.js","Web, Mobile cross-platform, Mobile other",,,,,,,,,,,,,,,,,,,"E-commerce, Internet of Things, Logistics",Аутсорсингова,до 50,4 роки,2 роки,3-4,2250,650,"Ні, не отримую",
01/01/2021 23:28,"Так, працюю full-time",Київ,Віддалено,Чоловік,36,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Back-end,Java,Python,"Hibernate, Spring","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 1000,10 і більше років,7 років,5-7,5000,0,"Ні, не отримую",
08/12/2020 15:52,"Так, працюю full-time",Кривий Ріг,Віддалено,Чоловік,25,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,"Go, JavaScript, Python","Symfony, Gin","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 50,5 років,4 роки,2,2250,500,"Ні, не отримую",
07/12/2020 10:06,"Так, працюю full-time",Київ,Віддалено,Чоловік,24,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Java,"JavaScript, TypeScript","Angular/Angular.js, Hibernate, Spring","Web, Desktop",,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 50,Пів року,3 місяці,2,800,200,"Ні, не отримую",
07/12/2020 10:39,"Так, працюю full-time",Харків,Віддалено,Чоловік,20,Ще студент,ХНУРЕ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,TypeScript,"C#/.NET, JavaScript","Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Adtech,Аутсорсингова,понад 1000,Пів року,Пів року,1,800,800,"Ні, не отримую",
08/12/2020 16:10,"Так, працюю full-time",Дніпро,Віддалено,Чоловік,27,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,Kotlin,"Dart, Java",Flutter,"Mobile Android, Mobile iOS, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"E-commerce, Fintech",Продуктова,понад 1000,4 роки,4 роки,2,2250,0,Отримую бонус щороку,
12/12/2020 08:08,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Чоловік,34,Кандидат наук,ДНУ ім. Гончара,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Python,C++,,Інша,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,до 1000,6 років,1 рік,2,3500,500,Отримую бонус щороку,200
07/12/2020 10:40,"Так, працюю full-time",Кропивницький,Віддалено,Чоловік,34,Дві вищих,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,Не використовую,"jQuery, React.js, React Native","Web, Desktop, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 200,1 рік,1 рік,1,800,450,"Ні, не отримую",
08/12/2020 20:06,"Так, працюю full-time",Ужгород,Віддалено,Чоловік,34,Середня,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,JavaScript,"jQuery, Symfony",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Інша",Аутсорсингова,до 50,7 років,4 роки,3-4,2250,400,"Ні, не отримую",
15/12/2020 19:34,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,27,Вища,ЗНТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",,Back-end,PHP,"JavaScript, PHP, SQL","jQuery, Laravel, Magento",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 50,6 років,4 роки,3-4,2400,300,"Ні, не отримую",
10/12/2020 17:49,"Так, працюю full-time",Київ,Віддалено,Чоловік,38,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Java,"JavaScript, Kotlin, SQL","Angular/Angular.js, Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,понад 1000,4 роки,2 роки,2,2250,300,Отримую бонус щороку,800
12/12/2020 10:51,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Чоловік,27,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,TypeScript,JavaScript,"Angular/Angular.js, React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 1000,5 років,2 роки,2,3500,500,"Ні, не отримую",
12/12/2020 11:38,"Так, працюю full-time",Львів,Віддалено,Жінка,31,Вища,ЛНУ ім. Франка,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"Python, R, Scala","Spring, Torch/PyTorch","Web, Desktop",,,,,,,,,,,,,,,,,,,"Data Science, Hardware, Machine Learning",Аутстафінгова,понад 1000,9 років,8 років,3-4,3500,100,"Ні, не отримую",
13/12/2020 21:58,"Так, працюю full-time",Львів,В офісі,Жінка,26,Вища,ЛНУ ім. Франка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,C#/.NET,SQL,.NET Core,Web,,,,,,,,,,,,,,,,,,,ERP,Аутсорсингова,понад 1000,5 років,3 роки,2,2250,200,"Отримую бонус за гарні показники роботи, але нерегулярно",
15/12/2020 19:58,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,30,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Mobile,Kotlin,"Java, Python",,"Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,"Internet of Things, Mobile",Продуктова,понад 1000,8 років,2 роки,3-4,4400,400,"Ні, не отримую",
07/12/2020 10:41,"Так, працюю full-time",Дніпро,В офісі,Чоловік,37,Вища,ДНУ ім. Гончара,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,TypeScript,"JavaScript, SQL","Express, Node.js",Web,,,,,,,,,,,,,,,,,,,Adtech,Продуктова,до 10 спеціалістів,2 роки,Пів року,3-4,800,200,"Ні, не отримую",
07/12/2020 11:01,"Так, я фрилансер",Вінниця,Віддалено,Чоловік,69,Вища,ВНТУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,PHP,Не використовую,"Angular/Angular.js, jQuery, React.js","Web, Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,"AR/VR, GameDev, Travel",Стартап,до 10 спеціалістів,1 рік,1 рік,8 і більше,800,-300,Отримую бонус щокварталу,45
28/12/2020 15:53,"Так, працюю full-time",Львів,Віддалено,Чоловік,23,Вища,НУ «Львівська політехніка»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,Java,"JavaScript, SQL","Hibernate, jQuery, Spring",Web,,,,,,,,,,,,,,,,,,,"Cloud Computing, High Load Systems, Security",Продуктова,до 50,3 роки,Пів року,3-4,2250,250,Отримую бонус щомісяця,50
07/12/2020 10:19,"Так, працюю full-time",Львів,Віддалено,Чоловік,47,Вища,ХНУРЕ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Back-end,Java,"Elixir, Groovy, SQL","Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,Cloud Computing,Аутсорсингова,понад 1000,10 і більше років,1 рік,5-7,4750,200,Отримую бонус щокварталу,300
