,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Пол,Возраст,Образование,Уровень английского,Дата заполнения,User-Agent
,Software Engineer,Ruby/Rails,,3,1,2000,0,Киев,до 200 человек,m,34,Высшее,выше среднего,21/05/2013 18:36:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Technical Lead,PHP,,10 и более лет,2,3000,0,Днепропетровск,до 1000 человек,m,32,Высшее,ниже среднего,21/05/2013 18:38:42,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,C++,,2.5,2.5,675,100,Харьков,до 200 человек,m,24,Незаконченное высшее,средний,21/05/2013 18:41:26,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior Software Engineer,SQL,,7,2.5,2800,0,Киев,свыше 1000 человек,m,30,Высшее,выше среднего,21/05/2013 18:44:02,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:6.0.2) Gecko/20100101 Firefox/6.0.2
,Software Engineer,PHP,,4,3,800,500,Луганск,до 10 человек,m,26,Высшее,элементарный,21/05/2013 18:46:57,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,C#/.NET,,10 и более лет,3,3000,0,Киев,до 10 человек,m,40,Высшее,выше среднего,21/05/2013 18:50:24,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Python,,4,4,700,100,Донецк,до 10 человек,m,26,Высшее,ниже среднего,21/05/2013 18:51:23,Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Senior Software Engineer,Java,,6,3,3000,200,Одесса,до 50 человек,m,31,Высшее,средний,21/05/2013 18:51:24,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.19 (KHTML, like Gecko) Ubuntu/11.10 Chromium/18.0.1025.168 Chrome/18.0.1025.168 Safari/535.19"
,Системный администратор,,,6,6,400,400,Донецк,до 10 человек,m,29,Высшее,средний,21/05/2013 18:51:27,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,C++,,1,1,900,400,Киев,свыше 1000 человек,m,23,Высшее,ниже среднего,21/05/2013 18:51:41,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C++,,7,5,2000,0,Харьков,до 50 человек,m,33,Высшее,ниже среднего,21/05/2013 18:51:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior QA engineer,,General QA,6,2,1800,0,Днепропетровск,свыше 1000 человек,m,26,Высшее,выше среднего,21/05/2013 18:54:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Director of Engineering / Program Director,,,7,2,3500,0,Киев,до 50 человек,m,30,Два высших,выше среднего,21/05/2013 18:57:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,C#/.NET,,2.5,0.5,2150,600,Киев,свыше 1000 человек,m,22,Незаконченное высшее,выше среднего,21/05/2013 18:59:05,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Team lead,,,5,2,2000,500,Киев,до 200 человек,m,25,Высшее,средний,21/05/2013 18:59:13,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
,Junior Software Engineer,PHP,,0.5,0.5,320,320,Львов,до 50 человек,m,22,Незаконченное высшее,средний,21/05/2013 19:01:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,5,0.5,550,100,Донецк,до 50 человек,m,28,Высшее,средний,21/05/2013 19:01:29,"Mozilla/5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B141"
,Senior Software Engineer,C++,,8,6,1500,300,Киев,до 10 человек,m,29,Кандидат,средний,21/05/2013 19:03:58,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Junior Software Engineer,Java,,1,1,515,0,Киев,до 50 человек,m,19,Незаконченное высшее,ниже среднего,21/05/2013 19:17:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.11 Safari/537.36"
,Software Engineer,C++,,10 и более лет,меньше 3 месяцев,3700,700,Харьков,до 10 человек,m,34,Высшее,выше среднего,21/05/2013 19:18:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C++,,1,1,1000,100,Киев,свыше 1000 человек,m,22,Высшее,продвинутый,21/05/2013 19:24:09,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Team lead,,,7.5,2.5,3400,500,Киев,до 200 человек,f,36,Высшее,ниже среднего,21/05/2013 19:26:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Flex/Flash/AIR,,5,0.25,3300,300,Киев,свыше 1000 человек,m,26,Высшее,выше среднего,21/05/2013 19:27:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Team lead,,,2,1,100,50,Киев,до 10 человек,m,25,Высшее,выше среднего,21/05/2013 19:30:11,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,PHP,,10 и более лет,3.5,3300,1000,Киев,до 10 человек,m,30,Высшее,ниже среднего,21/05/2013 19:30:11,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Дизайнер,,,5,0.75,1500,200,Киев,до 50 человек,m,28,Высшее,выше среднего,21/05/2013 19:31:04,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:20.0) Gecko/20100101 Firefox/20.0
,Senior Software Engineer,Java,,4,1.5,3100,400,Днепропетровск,свыше 1000 человек,m,25,Кандидат,выше среднего,21/05/2013 19:31:37,Opera/9.80 (Windows NT 6.2; WOW64) Presto/2.12.388 Version/12.15
,Software Engineer,C#/.NET,,4,4,500,0,Днепропетровск,до 10 человек,m,43,Незаконченное высшее,элементарный,21/05/2013 19:32:03,Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0
,Software Engineer,C++,,1,0.5,1000,500,Чернигов,до 10 человек,m,22,Незаконченное высшее,средний,21/05/2013 19:35:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,Java,,0.5,0.5,620,1,Днепропетровск,до 1000 человек,f,24,Незаконченное высшее,средний,21/05/2013 19:36:19,Mozilla/5.0 (Windows NT 6.0; rv:20.0) Gecko/20100101 Firefox/20.0
,HR,,,5,меньше 3 месяцев,500,500,Харьков,до 50 человек,m,27,Высшее,средний,21/05/2013 19:37:28,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1106.241 YaBrowser/1.5.1106.241 Safari/537.4"
,Senior Software Engineer,PHP,,2,2,2300,300,Днепропетровск,до 1000 человек,m,26,Высшее,средний,21/05/2013 19:38:41,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
,Software Engineer,Java,,2,2,1500,0,Харьков,до 50 человек,m,32,Два высших,выше среднего,21/05/2013 19:40:22,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,PHP,,2.5,0.5,1200,400,Львов,до 200 человек,m,29,Кандидат,средний,21/05/2013 19:43:41,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,QA engineer,,Automation QA,5,1,1500,500,Киев,до 10 человек,m,33,Высшее,продвинутый,21/05/2013 19:46:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C++,,10 и более лет,1.5,1500,0,Одесса,до 10 человек,m,28,Высшее,средний,21/05/2013 19:47:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,Java,,3,2.5,1330,300,Черновцы,свыше 1000 человек,m,24,Незаконченное высшее,средний,21/05/2013 19:49:35,Mozilla/5.0 (X11; Linux x86_64; rv:17.0) Gecko/17.0 Firefox/17.0
,Junior Software Engineer,Java,,0.75,0.75,340,34,Винница,до 1000 человек,m,22,Высшее,ниже среднего,21/05/2013 19:51:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.11 Safari/537.36"
,Senior Project Manager / Program Manager,,,4,3,3000,1000,Харьков,до 10 человек,m,35,Высшее,средний,21/05/2013 19:51:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,Java,,2,1,1200,400,Киев,до 1000 человек,m,21,Незаконченное высшее,выше среднего,21/05/2013 19:53:08,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,Python,,3,1.75,1600,400,Львов,до 50 человек,m,24,Высшее,выше среднего,21/05/2013 19:56:30,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,JavaScript,,10 и более лет,4,3500,500,Харьков,до 50 человек,m,40,Высшее,выше среднего,21/05/2013 19:57:08,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,PHP,,1.5,1.5,425,325,Ровно,до 50 человек,m,24,Высшее,средний,21/05/2013 19:57:42,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,Java,,0.5,0.5,560,185,Симферополь,до 10 человек,m,27,Высшее,ниже среднего,21/05/2013 19:58:42,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Senior Software Engineer,Java,,3,0.25,3000,1000,Киев,свыше 1000 человек,m,24,Высшее,выше среднего,21/05/2013 20:00:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,6,меньше 3 месяцев,500,-100,Запорожье,до 10 человек,m,29,Два высших,элементарный,21/05/2013 20:01:26,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,JavaScript,,0.25,0.25,800,0,Киев,до 10 человек,m,19,Незаконченное высшее,средний,21/05/2013 20:07:30,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.15
,Junior Software Engineer,Flex/Flash/AIR,,меньше 3 месяцев,меньше 3 месяцев,250,250,Чернигов,до 50 человек,m,24,Высшее,ниже среднего,21/05/2013 20:09:06,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Software Engineer,C++,,3,0.25,1800,500,Киев,свыше 1000 человек,m,25,Высшее,продвинутый,21/05/2013 20:11:19,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,C++,,6,1,2800,800,Киев,свыше 1000 человек,m,34,Высшее,выше среднего,21/05/2013 20:12:35,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior Software Engineer,Java,,9.5,1.75,3400,400,Харьков,до 200 человек,m,31,Высшее,средний,21/05/2013 20:14:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,QA engineer,,General QA,5,1,2100,-100,Киев,свыше 1000 человек,m,32,Высшее,средний,21/05/2013 20:15:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Delphi,,10 и более лет,10 и более лет,3000,0,Одесса,до 10 человек,m,39,Высшее,средний,21/05/2013 20:16:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,6,1.5,1500,200,Мариуполь,до 50 человек,m,23,Незаконченное высшее,средний,21/05/2013 20:16:46,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,QA engineer,,Manual QA,0.5,0.5,600,300,Киев,до 50 человек,m,25,Высшее,ниже среднего,21/05/2013 20:22:28,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Support,,,5,2,800,200,Днепропетровск,до 200 человек,m,26,Два высших,средний,21/05/2013 20:24:32,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Objective-C,,1.75,1.75,750,150,Харьков,до 200 человек,m,23,Незаконченное высшее,средний,21/05/2013 20:26:17,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java,,3,1,2000,400,Запорожье,до 10 человек,m,30,Высшее,средний,21/05/2013 20:26:18,Mozilla/5.0 (Android; Tablet; rv:21.0) Gecko/21.0 Firefox/21.0
,DBA / Администратор баз данных,,,3,3,500,0,Киев,до 10 человек,f,25,Высшее,элементарный,21/05/2013 20:29:08,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,Java,,1.75,1.25,1500,0,Киев,до 200 человек,m,24,Высшее,выше среднего,21/05/2013 20:29:40,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Верстальщик,,,3,2.5,200,50,Киев,до 10 человек,m,28,Высшее,средний,21/05/2013 20:30:43,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Objective-C,,1.5,0.75,900,200,Киев,до 200 человек,f,23,Высшее,средний,21/05/2013 20:32:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Системный администратор,,,3,1,322,-110,Житомир,до 10 человек,m,24,Незаконченное высшее,ниже среднего,21/05/2013 20:34:36,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Junior Software Engineer,C++,,0.75,0.75,800,0,Днепропетровск,до 10 человек,m,22,Незаконченное высшее,средний,21/05/2013 20:36:14,Opera/9.80 (Windows NT 6.2; Win64; x64) Presto/2.12.388 Version/12.15
,Software Engineer,PHP,,1,1,500,250,Симферополь,до 10 человек,m,21,Высшее,средний,21/05/2013 20:36:30,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,PHP,,1,1,300,120,Киев,до 10 человек,m,23,Незаконченное высшее,средний,21/05/2013 20:37:25,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Дизайнер,,,2,меньше 3 месяцев,1300,800,Днепропетровск,до 50 человек,m,23,Высшее,выше среднего,21/05/2013 20:39:16,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,PHP,,2,1,800,1000,Симферополь,до 10 человек,m,37,Высшее,средний,21/05/2013 20:40:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,PHP,,3,1,1000,0,Харьков,до 50 человек,m,26,Высшее,ниже среднего,21/05/2013 20:41:08,Opera/9.80 (X11; Linux x86_64) Presto/2.12.388 Version/12.15
,Senior Software Engineer,C#/.NET,,10 и более лет,6,770,770,Львов,до 10 человек,m,40,Высшее,продвинутый,21/05/2013 20:42:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Project manager,,,1.75,1.75,1200,400,Днепропетровск,до 1000 человек,m,26,Высшее,продвинутый,21/05/2013 20:44:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,C#/.NET,,2,1,1000,0,Киев,до 10 человек,m,28,Высшее,продвинутый,21/05/2013 20:45:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,C#/.NET,,0.5,0.5,1100,1100,Киев,до 200 человек,m,20,Незаконченное высшее,средний,21/05/2013 20:45:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Technical Lead,Java,,3,3,1000,400,Сумы,до 50 человек,m,25,Высшее,продвинутый,21/05/2013 20:47:40,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Верстальщик,,,0.5,0.5,500,250,Севастополь,до 10 человек,m,20,Среднее,элементарный,21/05/2013 20:52:57,Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,Python,,5,меньше 3 месяцев,2200,2000,Киев,до 10 человек,m,23,Незаконченное высшее,ниже среднего,21/05/2013 20:54:09,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Junior Software Engineer,C#/.NET,,1.5,1.5,1200,700,Одесса,до 50 человек,m,23,Высшее,средний,21/05/2013 20:54:35,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Scala,,6,2,3300,500,Киев,до 10 человек,m,28,Высшее,средний,21/05/2013 20:54:46,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Senior QA engineer,,Automation QA,7.5,1,2300,300,Харьков,до 200 человек,m,30,Высшее,средний,21/05/2013 20:55:51,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Верстальщик,,,5.5,3,1000,300,Киев,до 50 человек,m,26,Высшее,средний,21/05/2013 20:55:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,2.5,0.5,1500,600,Харьков,до 50 человек,m,24,Высшее,средний,21/05/2013 20:57:38,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,PHP,,6,0.75,2000,0,Киев,до 50 человек,m,31,Высшее,ниже среднего,21/05/2013 20:57:39,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Python,,4,1.75,1600,500,Днепропетровск,до 10 человек,m,28,Среднее,ниже среднего,21/05/2013 20:59:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Системный администратор,,,5,1,2000,800,Киев,до 50 человек,m,24,Высшее,элементарный,21/05/2013 21:00:08,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,меньше 3 месяцев,меньше 3 месяцев,300,300,Киев,до 10 человек,m,23,Незаконченное высшее,средний,21/05/2013 21:00:58,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,QA engineer,,Automation QA,2,0.5,1900,200,Киев,свыше 1000 человек,m,27,Высшее,средний,21/05/2013 21:01:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Системный администратор,,,9,9,900,0,Днепропетровск,до 200 человек,m,33,Высшее,средний,21/05/2013 21:02:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,1.5,0.5,2500,900,Одесса,до 50 человек,m,31,Высшее,средний,21/05/2013 21:03:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1106.241 YaBrowser/1.5.1106.241 Safari/537.4"
,Senior Software Engineer,C++,,10 и более лет,2.5,2800,200,Киев,до 200 человек,m,38,Высшее,выше среднего,21/05/2013 21:04:03,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
,Junior Software Engineer,C#/.NET,,1.5,1,500,0,Киев,до 200 человек,m,24,Два высших,выше среднего,21/05/2013 21:04:58,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,575,350,Киев,до 200 человек,m,23,Высшее,средний,21/05/2013 21:05:44,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Дизайнер,,,5,5,500,250,Черновцы,до 10 человек,m,22,Высшее,выше среднего,21/05/2013 21:05:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.29.13 (KHTML, like Gecko) Version/6.0.4 Safari/536.29.13"
,Software Engineer,PHP,,3,0.25,1300,100,Киев,до 10 человек,m,22,Высшее,элементарный,21/05/2013 21:06:09,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,1.75,1.75,800,400,Ужгород,до 50 человек,m,23,Высшее,средний,21/05/2013 21:06:37,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior Software Engineer,C,,2,2,750,250,Запорожье,до 1000 человек,m,43,Высшее,средний,21/05/2013 21:09:17,Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0 SeaMonkey/2.17.1
,Software Engineer,PHP,,2,2,580,0,Донецк,до 10 человек,m,27,Высшее,ниже среднего,21/05/2013 21:11:33,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,PHP,,4,3,300,0,Ровно,до 10 человек,m,26,Незаконченное высшее,средний,21/05/2013 21:11:58,Opera/9.80 (X11; Linux x86_64) Presto/2.12.388 Version/12.15
,QA engineer,,Automation QA,10 и более лет,меньше 3 месяцев,1500,1100,Харьков,до 50 человек,m,50,Высшее,ниже среднего,21/05/2013 21:12:11,"Mozilla/5.0 (X11; Linux i686 (x86_64)) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.97 Safari/537.22"
,Software Engineer,C#/.NET,,7,2,2000,0,Киев,до 10 человек,m,35,Высшее,ниже среднего,21/05/2013 21:13:21,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,DBA / Администратор баз данных,,,9.5,9,1400,0,Киев,до 10 человек,m,31,Высшее,элементарный,21/05/2013 21:14:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Technical Lead,JavaScript,,10 и более лет,10 и более лет,2900,0,Киев,до 50 человек,m,42,Высшее,ниже среднего,21/05/2013 21:14:22,Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Senior Software Engineer,Java,,10 и более лет,3.5,2800,500,Симферополь,до 200 человек,m,37,Высшее,выше среднего,21/05/2013 21:15:16,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Support,,,1.5,1.5,600,100,Ивано-Франковск,свыше 1000 человек,m,29,Высшее,выше среднего,21/05/2013 21:15:28,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
,Системный администратор,,,1,1,300,20,Киев,до 10 человек,m,24,Среднее,элементарный,21/05/2013 21:18:32,Opera/9.80 (Windows NT 6.1; Win64; x64; Edition Yx) Presto/2.12.388 Version/12.15
,Software Engineer,Java,,5,5,1000,200,Черкассы,до 50 человек,m,30,Незаконченное высшее,ниже среднего,21/05/2013 21:19:20,Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,C#/.NET,,2,2,1170,520,Харьков,до 1000 человек,m,23,Два высших,выше среднего,21/05/2013 21:20:01,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
