Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
HR,,,1,1,190,0,Харьков,до 1000 человек,Аутсорсинговая,f,23,Высшее,Другой вуз,False,выше среднего,Другое,14/06/2017 16:40:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Project manager,,,2,2,2280,200,Днепр,до 200 человек,Аутсорсинговая,m,35,Высшее,ДНУ им. Гончара,False,продвинутый,"iOS,Веб-разработка",14/06/2017 16:42:51,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0
Senior QA engineer,,General QA,4,4,1900,100,Днепр,до 200 человек,Продуктовая,f,24,Высшее,ДНУ им. Гончара,False,выше среднего,Другое,14/06/2017 16:45:12,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Python,,9,2,5400,600,Удаленно,до 10 человек,Продуктовая,m,34,Высшее,ЗНТУ,False,выше среднего,"Desktop Applications,Другое",14/06/2017 16:45:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,900,0,Одесса,до 10 человек,Стартап,m,24,Высшее,Другой вуз,False,элементарный,"Веб-разработка,Системное программирование",14/06/2017 16:47:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,2,1,2200,200,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,НТУУ «КПИ»,False,средний,"Android,Веб-разработка",14/06/2017 16:48:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36"
Data Scientist / Data Analyst,,,10 и более лет,0.5,400,0,Харьков,до 10 человек,Другая,m,39,Высшее,ДонНТУ,False,выше среднего,eCommerce,14/06/2017 16:52:13,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,10 и более лет,2,1800,0,Черкассы,до 50 человек,Продуктовая,m,32,Высшее,ХАИ,False,продвинутый,"Веб-разработка,Финансы и банки",14/06/2017 16:52:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Junior Software Engineer,JavaScript,,0.5,0.5,500,0,Удаленно,до 10 человек,Аутсорсинговая,m,19,Незаконченное высшее,НАУ,True,выше среднего,Веб-разработка,14/06/2017 16:53:21,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0
HR,,,1.5,1.5,700,0,Харьков,до 200 человек,Продуктовая,f,24,Высшее,НТУ «ХПИ»,False,средний,Другое,14/06/2017 16:58:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,JavaScript,,1,меньше 3 месяцев,700,500,Харьков,до 50 человек,Аутсорсинговая,m,23,Высшее,НТУ «ХПИ»,True,ниже среднего,Веб-разработка,14/06/2017 16:59:01,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Project manager,,,меньше 3 месяцев,меньше 3 месяцев,800,0,Львов,до 50 человек,Аутсорсинговая,f,34,Высшее,Львовская Политехника,False,выше среднего,"iOS,Веб-разработка",14/06/2017 16:59:40,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
Software Engineer,Java,,1,1,600,200,Другой,до 200 человек,Продуктовая,m,28,Высшее,Другой вуз,False,средний,Gamedev,14/06/2017 17:05:13,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Business analyst,,,2,меньше 3 месяцев,300,100,Киев,до 10 человек,Продуктовая,m,27,Высшее,НТУУ «КПИ»,False,средний,Другое,14/06/2017 17:05:56,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Java,,10 и более лет,5,3300,200,Одесса,до 200 человек,Продуктовая,m,31,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",14/06/2017 17:06:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Swift,,2,0.25,1300,700,Харьков,до 50 человек,Аутсорсинговая,m,23,Высшее,НТУ «ХПИ»,False,ниже среднего,iOS,14/06/2017 17:09:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30"
Software Engineer,JavaScript,,1.5,1,470,0,Днепр,до 10 человек,Аутсорсинговая,m,24,Высшее,ДНУ им. Гончара,False,средний,"Desktop Applications,Веб-разработка",14/06/2017 17:12:24,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
Product Manager,,,1.5,1,500,200,Киев,до 200 человек,Аутсорсинговая,f,23,Высшее,КНЭУ,False,выше среднего,Другое,14/06/2017 17:15:42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Manual QA,6,3,1300,100,Киев,до 200 человек,Продуктовая,m,27,Высшее,НАУ,False,средний,"Android,iOS",14/06/2017 17:19:18,"Mozilla/5.0 (Linux; Android 7.0; MI 5 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
QA engineer,,Automation QA,2,2,1000,0,Львов,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,ЛНУ им. Франко,False,средний,Системное программирование,14/06/2017 17:21:59,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,General QA,6,5,1865,0,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,НТУУ «КПИ»,False,средний,Embedded,14/06/2017 17:22:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C++,,3,1,2517,0,Днепр,свыше 1000 человек,Аутстаффинговая,m,24,Высшее,ДНУЖТ,False,средний,Финансы и банки,14/06/2017 17:23:21,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Product Manager,Delphi,,7,7,3000,500,Киев,до 50 человек,Продуктовая,m,35,Высшее,НТУУ «КПИ»,False,ниже среднего,"Desktop Applications,Веб-разработка",14/06/2017 17:23:27,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
DevOps,,,3,1.5,1500,700,Киев,до 50 человек,Продуктовая,m,26,Высшее,НТУУ «КПИ»,False,ниже среднего,Другое,14/06/2017 17:24:19,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14F89 Safari/602.1"
Senior QA engineer,,General QA,5,0.5,2800,800,Удаленно,до 50 человек,Продуктовая,f,28,Высшее,ОНУ им. Мечникова,False,выше среднего,Финансы и банки,14/06/2017 17:28:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,PHP,,10 и более лет,1.5,900,-50,Киев,до 10 человек,Другая,m,35,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Другое",14/06/2017 17:34:46,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0
Junior Software Engineer,JavaScript,,1,1,450,50,Львов,до 50 человек,Аутсорсинговая,m,18,Незаконченное высшее,Львовская Политехника,True,выше среднего,Веб-разработка,14/06/2017 17:37:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,4,1,1500,500,Харьков,до 50 человек,Аутсорсинговая,m,36,Среднее,,False,элементарный,Веб-разработка,14/06/2017 17:38:16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Java,,4,3,3000,1000,Киев,до 1000 человек,Аутстаффинговая,m,23,Высшее,НАУ,False,выше среднего,Веб-разработка,14/06/2017 17:39:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Project Manager / Program Manager,,,2,1.5,200,30,Киев,до 50 человек,Аутсорсинговая,m,31,Высшее,ДонНТУ,False,ниже среднего,"iOS,Веб-разработка",14/06/2017 17:39:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Software Engineer,C#/.NET,,1.5,1.5,1500,400,Львов,до 200 человек,Аутсорсинговая,f,20,Высшее,Львовская Политехника,False,средний,Веб-разработка,14/06/2017 17:42:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Project Manager / Program Manager,,,7,1.5,4500,0,Киев,до 1000 человек,Продуктовая,m,35,Два высших,ДонНУ,False,продвинутый,Gamedev,14/06/2017 17:42:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C,,3,3,850,0,Харьков,до 200 человек,Аутсорсинговая,m,33,Высшее,ХНУРЭ,False,ниже среднего,Телекоммуникации,14/06/2017 17:44:45,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,2,1,2000,0,Киев,до 1000 человек,Аутсорсинговая,m,28,Высшее,КНУ им. Шевченко,False,выше среднего,Android,14/06/2017 17:46:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Business analyst,,,3,меньше 3 месяцев,1500,500,Киев,до 50 человек,Аутстаффинговая,m,29,Два высших,НАУ,False,продвинутый,Другое,14/06/2017 17:50:03,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HR,,,2,0.5,400,100,Харьков,до 50 человек,Аутсорсинговая,f,24,Высшее,Другой вуз,False,средний,Другое,14/06/2017 17:50:17,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Manual QA,4,2,1300,100,Киев,до 50 человек,Продуктовая,f,28,Высшее,НАУ,False,средний,Веб-разработка,14/06/2017 17:55:08,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior QA engineer,,Manual QA,1,1,350,200,Херсон,до 200 человек,Продуктовая,m,29,Среднее,,False,ниже среднего,"Веб-разработка,eCommerce",14/06/2017 17:56:38,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior QA engineer,,Manual QA,0.5,меньше 3 месяцев,600,300,Киев,до 200 человек,Аутсорсинговая,m,29,Высшее,Другой вуз,False,выше среднего,eCommerce,14/06/2017 17:56:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
QA engineer,,Manual QA,1.5,1.5,1000,200,Киев,до 1000 человек,Продуктовая,f,23,Высшее,Другой вуз,False,продвинутый,"iOS,Desktop Applications",14/06/2017 17:58:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Senior QA engineer,,Manual QA,5,5,1757,100,Львов,свыше 1000 человек,Аутсорсинговая,f,29,Высшее,Другой вуз,False,продвинутый,eCommerce,14/06/2017 17:59:25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
DevOps,,,5,1.5,2500,0,Харьков,до 200 человек,Продуктовая,m,28,Высшее,ХНУРЭ,False,выше среднего,Системное программирование,14/06/2017 18:02:16,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0
Technical Lead,PHP,,10 и более лет,3,3600,500,Киев,до 200 человек,Продуктовая,m,32,Высшее,ДНУ им. Гончара,False,выше среднего,Веб-разработка,14/06/2017 18:04:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Software Engineer,Ruby/Rails,,2,меньше 3 месяцев,1800,1250,Харьков,до 200 человек,Аутстаффинговая,m,21,Высшее,НТУ «ХПИ»,True,средний,Веб-разработка,14/06/2017 18:05:07,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,C#/.NET,,3,0.25,575,195,Днепр,до 200 человек,Продуктовая,f,24,Высшее,ДонНУ,False,ниже среднего,Веб-разработка,14/06/2017 18:05:43,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,PHP,,2,0.5,1300,500,Киев,до 200 человек,Аутсорсинговая,m,21,Высшее,ВНУ им. Даля,False,средний,"Веб-разработка,eCommerce",14/06/2017 18:07:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Automation QA,10 и более лет,6,2200,0,Другой,до 200 человек,Аутсорсинговая,m,36,Высшее,НТУУ «КПИ»,False,продвинутый,Финансы и банки,14/06/2017 18:07:23,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:43.0) Gecko/20100101 Firefox/43.0
Junior QA engineer,,Automation QA,1,1,450,0,Харьков,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,ХНУ им. Каразина,False,ниже среднего,Корпоративные системы,14/06/2017 18:07:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Manual QA,1,0.5,1000,300,Львов,до 50 человек,Аутсорсинговая,m,25,Высшее,ЛНУ им. Франко,False,выше среднего,eCommerce,14/06/2017 18:13:09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,PHP,,0.5,меньше 3 месяцев,230,230,Киев,до 50 человек,Аутсорсинговая,m,22,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,14/06/2017 18:13:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Junior Software Engineer,C#/.NET,,1.5,1.5,450,150,Другой,до 200 человек,Продуктовая,m,23,Высшее,Другой вуз,True,выше среднего,"Android,iOS",14/06/2017 18:17:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,1,0.25,500,100,Винница,до 10 человек,Аутсорсинговая,m,24,Высшее,Другой вуз,False,средний,Android,14/06/2017 18:22:24,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,SQL,,10 и более лет,2,1000,80,Киев,до 50 человек,Продуктовая,m,38,Высшее,ДонНУ,False,ниже среднего,"Веб-разработка,Финансы и банки",14/06/2017 18:28:08,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Senior Software Engineer,Scala,,5,1,4800,500,Киев,до 1000 человек,Продуктовая,m,27,Высшее,НТУУ «КПИ»,False,средний,"eCommerce,Корпоративные системы",14/06/2017 18:28:53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
QA engineer,,Automation QA,6,1,2600,100,Киев,до 1000 человек,Аутсорсинговая,m,27,Высшее,НАУ,False,выше среднего,Финансы и банки,14/06/2017 18:30:02,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,General QA,6,меньше 3 месяцев,2100,-360,Киев,до 10 человек,Продуктовая,m,36,Высшее,КНУСА,False,продвинутый,eCommerce,14/06/2017 18:30:48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Software Engineer,Scala,,5,меньше 3 месяцев,2600,700,Киев,до 50 человек,Продуктовая,m,24,Высшее,НТУУ «КПИ»,False,продвинутый,"Веб-разработка,Другое",14/06/2017 18:33:06,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0
HTML coder,,,3,3,700,350,Хмельницкий,до 200 человек,Другая,m,22,Незаконченное высшее,ХНУ [г. Хмельницкий],True,ниже среднего,Веб-разработка,14/06/2017 18:33:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,C,,меньше 3 месяцев,меньше 3 месяцев,450,450,Киев,свыше 1000 человек,Аутсорсинговая,m,22,Высшее,НАУ,True,средний,"Embedded,Телекоммуникации",14/06/2017 18:36:57,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Business analyst,,,10 и более лет,0.25,3000,200,Харьков,до 50 человек,Продуктовая,f,40,Высшее,ХНУ им. Каразина,False,выше среднего,"Финансы и банки,Другое",14/06/2017 18:37:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Other,,3,0.25,1400,400,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,НТУУ «КПИ»,False,средний,Другое,14/06/2017 18:45:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior QA engineer,,Manual QA,0.5,0.5,600,300,Харьков,до 10 человек,Аутстаффинговая,m,35,Высшее,Другой вуз,False,средний,eCommerce,14/06/2017 18:50:16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
Software Engineer,JavaScript,,3,2,1200,200,Удаленно,до 50 человек,Аутсорсинговая,m,26,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,14/06/2017 18:51:48,"Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 3 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Junior QA engineer,,Manual QA,0.5,0.5,288,58,Киев,до 50 человек,Другая,f,24,Высшее,Другой вуз,False,средний,eCommerce,14/06/2017 18:56:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
Business analyst,,,7,5,3100,900,Киев,свыше 1000 человек,Аутсорсинговая,f,29,Два высших,НАУ,False,выше среднего,Финансы и банки,14/06/2017 18:56:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA Tech Lead,,Automation QA,5,3,4000,1000,Киев,свыше 1000 человек,Аутстаффинговая,m,30,Незаконченное высшее,НТУ «ХПИ»,False,выше среднего,"Android,iOS",14/06/2017 18:59:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50"
QA engineer,,General QA,1,0.5,600,0,Одесса,до 50 человек,Аутсорсинговая,m,31,Высшее,ОНПУ,False,ниже среднего,"Android,Веб-разработка",14/06/2017 18:59:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
Software Engineer,Java,,10 и более лет,0.5,2200,0,Николаев,до 10 человек,Продуктовая,m,32,Высшее,НУК,False,ниже среднего,"Финансы и банки,eCommerce",14/06/2017 19:02:15,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0
QA engineer,,Manual QA,1,1,307,77,Киев,до 50 человек,Продуктовая,m,26,Высшее,Другой вуз,False,ниже среднего,"Desktop Applications,Другое",14/06/2017 19:04:48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,6,4,2600,220,Львов,до 10 человек,Продуктовая,m,31,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,eCommerce",14/06/2017 19:07:02,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,1.5,1,1000,700,Запорожье,до 200 человек,Аутсорсинговая,m,27,Высшее,ЗНТУ,False,ниже среднего,Веб-разработка,14/06/2017 19:13:14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
Software Engineer,JavaScript,,1.5,меньше 3 месяцев,1300,400,Днепр,до 200 человек,Аутсорсинговая,m,21,Высшее,ДНУ им. Гончара,True,средний,Веб-разработка,14/06/2017 19:15:48,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,170,190,Сумы,свыше 1000 человек,Продуктовая,m,25,Высшее,СумГУ,False,элементарный,"Телекоммуникации,Корпоративные системы",14/06/2017 19:15:50,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Junior Software Engineer,C#/.NET,,1.5,1.5,700,200,Удаленно,до 10 человек,Стартап,m,26,Высшее,ХАИ,False,ниже среднего,"Android,iOS",14/06/2017 19:17:00,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Senior QA engineer,,Automation QA,7,4,2200,0,Днепр,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,НГУ [Днепропетровск],False,выше среднего,"Веб-разработка,eCommerce",14/06/2017 19:27:38,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
HR,,,3,1.5,800,300,Киев,до 50 человек,Аутстаффинговая,f,26,Высшее,НАУ,False,выше среднего,Другое,14/06/2017 19:28:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Director of Engineering / Program Director,,,10 и более лет,0.5,1900,830,Киев,до 10 человек,Другая,m,39,Два высших,Другой вуз,False,средний,Другое,14/06/2017 19:31:59,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,JavaScript,,7,0.5,3700,300,Киев,до 10 человек,Аутстаффинговая,f,27,Высшее,ХНУРЭ,False,средний,"iOS,Веб-разработка",14/06/2017 19:36:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Designer,,,5,5,300,50,Другой,до 200 человек,Другая,f,32,Высшее,Другой вуз,False,элементарный,"Android,iOS",14/06/2017 19:38:11,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Manual QA,5,5,2750,0,Киев,до 1000 человек,Аутсорсинговая,m,29,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",14/06/2017 19:38:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,Java,,3,0.25,2700,1000,Киев,до 50 человек,Продуктовая,m,26,Высшее,ДонНТУ,False,средний,"Android,Финансы и банки",14/06/2017 19:39:07,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 6P Build/N2G47O) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
QA engineer,,Manual QA,2,меньше 3 месяцев,900,200,Винница,до 200 человек,Продуктовая,m,21,Незаконченное высшее,ХНУРЭ,True,средний,Desktop Applications,14/06/2017 19:43:50,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
