Submitted at,Ваша основна зайнятість в ІТ зараз...,"ЗАРПЛАТА / СУМАРНИЙ ДОХІД в IT у $$$ за місяць, лише ставка 
ЧИСТИМИ - після сплати податків",Всі бонуси (на місяць),Тайтл,Категорія,Почніть вводити і оберіть вашу ОСНОВНУ посаду зі списку,"У якій сфері проєкт, в якому ви зараз працюєте?",Вкажіть вашу основну спеціалізацію,Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?,Основна мова програмування,"Основний напрям роботи компанії, в якій працюєте",Кількість спеціалістів у вашій компанії в Україні,Загальний стаж роботи за нинішньою ІТ-спеціальністю,Знання англійської мови,Де ви зараз живете?,За яким напрямом ви навчалися / навчаєтеся у виші?,Ваш вік
2025-06-09 14:57:17,Працюю в IT-компанії / ІТ-департаменті,2300,0,Middle,Analyst,Business Analyst (BA),Fintech / Banking / Capital Management,,"Ні, не використовую",,Продуктова,до 1000,2,Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",32
2025-06-09 14:57:22,Працюю в IT-компанії / ІТ-департаменті,1200,0,Middle,HR,HR Manager / HR specialist,"Media / Entertainment, Miltech",,"Ні, не використовую",,Продуктова,до 200,3,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",28
2025-06-09 15:18:19,Працюю в IT-компанії / ІТ-департаменті,7000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,TypeScript,Продуктова,до 200,6,Advanced,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",24
2025-06-09 15:31:29,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,QA,Manual QA,Automotive,,"Так, використовую",C# / .NET,Сервісна (аутсорсингова),до 200,4,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",32
2025-06-09 15:35:31,Працюю в IT-компанії / ІТ-департаменті,5500,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Insurance,Back-end розробка,,Java,Сервісна (аутсорсингова),понад 1000,13,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",35
2025-06-09 16:11:08,Працюю в IT-компанії / ІТ-департаменті,3500,0,Lead / Team Lead,DevOps,DevOps Engineer,"AI / ML, E-commerce, Fintech / Banking / Capital Management",,"Так, використовую",Bash / Shell,Сервісна (аутсорсингова),до 50,4,Pre-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",37
2025-06-09 16:16:51,Працюю в IT-компанії / ІТ-департаменті,4000,0,Lead / Team Lead,QA,QA Lead,Domains / Hosting,,"Ні, не використовую",,Продуктова,понад 1000,10,Upper-Intermediate,В Україні,Не вступав у виш,37
2025-06-09 16:19:15,Працюю в IT-компанії / ІТ-департаменті,6800,2500,Manager,Other Mgmt,Engineering Manager,Mobile,,"Так, використовую",Kotlin,Продуктова,до 1000,5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",31
2025-06-09 16:28:41,Працюю в IT-компанії / ІТ-департаменті,1780,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",GameDev,,,C++,Сервісна (аутсорсингова),до 10 спеціалістів,2,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",20
2025-06-09 16:39:10,Працюю в IT-компанії / ІТ-департаменті,4000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Adtech / Advertising / Marketing,Back-end розробка,,TypeScript,Аутстафінгова,до 50,8,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",32
2025-06-09 16:40:23,Працюю в IT-компанії / ІТ-департаменті,2450,41.6666666666667,Senior,Analyst,Business Analyst (BA),Fintech / Banking / Capital Management,,"Ні, не використовую",,Сервісна (аутсорсингова),понад 1000,5,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",32
2025-06-09 16:40:27,Працюю в IT-компанії / ІТ-департаменті,2500,0,Middle,QA,Manual QA,"E-commerce, Logistics / Supply Chain",,"Ні, не використовую",,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 50,5,Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",27
2025-06-09 16:46:59,Працюю в IT-компанії / ІТ-департаменті,2300,0,Lead / Team Lead,Other Mgmt,Game Producer,"Gambling, GameDev",,"Ні, не використовую",,Продуктова,до 1000,5,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",29
2025-06-09 16:55:02,Працюю в IT-компанії / ІТ-департаменті,9000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Front-end розробка,,TypeScript,Продуктова,до 50,6,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",24
2025-06-09 16:58:51,Працюю в IT-компанії / ІТ-департаменті,3100,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Logistics / Supply Chain, E-commerce",Back-end розробка,,PHP,Продуктова,до 200,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",37
2025-06-09 17:02:03,Працюю в IT-компанії / ІТ-департаменті,2250,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Edtech / Education,Back-end розробка,,Python,Сервісна (аутсорсингова),понад 1000,4,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,31
2025-06-09 17:12:36,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),700,0,Junior,QA,Manual QA,Gambling,,"Ні, не використовую",,Продуктова,до 50,1,Intermediate,В Україні,Дснс,33
2025-06-09 17:13:25,Працюю в IT-компанії / ІТ-департаменті,1000,0,Junior,Product Mgmt,Product Manager,Wellbeing / Sports,,"Ні, не використовую",,Продуктова,до 1000,0.25,Advanced,В Україні,"Суспільно-економічні науки (економіка, соціологія)",24
2025-06-09 17:14:23,Працюю в IT-компанії / ІТ-департаменті,5000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Embedded,Back-end розробка,,Rust,Сервісна (аутсорсингова),до 50,14,Advanced,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",37
2025-06-09 17:15:59,Працюю в IT-компанії / ІТ-департаменті,2300,0,Middle,Project Mgmt,Project Manager (PM),Security,,"Ні, не використовую",,Продуктова,понад 1000,2,Pre-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",28
2025-06-09 17:18:56,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),4000,0,Manager,Finance,Finance Manager / Financial Manager / Financial controller,"Різнопланові проєкти, немає одного основного (HR etc)",,"Ні, не використовую",,Сервісна (аутсорсингова),понад 1000,20,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",49
2025-06-09 17:19:54,Працюю в IT-компанії / ІТ-департаменті,6500,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Business Intelligence / Data Warehouse, High Load Systems, Big Data",Back-end розробка,,Java,Продуктова,до 200,7,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-06-09 17:20:49,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),4000,66.6666666666667,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Enterprise,Full Stack розробка,,TypeScript,Сервісна (аутсорсингова),до 200,4,Advanced,"За кордоном, але планую повернутися",Інші гуманітарні та суспільні науки,26
2025-06-09 17:20:55,Працюю в IT-компанії / ІТ-департаменті,1950,0,Middle,Analyst,Business Analyst (BA),Energy / Oil / Gas,,"Так, використовую","Мови розробки БД (PL/SQL, Transact-SQL)",Продуктова,до 200,5,Pre-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",40
2025-06-09 17:22:52,Працюю в IT-компанії / ІТ-департаменті,630,0,Intern/Trainee,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Telecom,Embedded,,C++,Сервісна (аутсорсингова),понад 1000,1,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,23
2025-06-09 17:23:42,Працюю в IT-компанії / ІТ-департаменті,1080,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Різнопланові проєкти, немає одного основного (HR etc)",Back-end розробка,,C# / .NET,Сервісна (аутсорсингова),до 200,1.5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-06-09 17:25:35,Працюю в IT-компанії / ІТ-департаменті,1600,95.8333333333333,Middle,QA,Manual QA,"Mobile, Wellbeing / Sports",,"Ні, не використовую",,Продуктова,до 200,2,Intermediate,В Україні,М?ясний технолог,36
2025-06-09 17:28:32,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),10650,1166.66666666667,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Fintech / Banking / Capital Management, High Load Systems, Retail / marketplace",Back-end розробка,,Scala,Продуктова,"працюю на іноземного роботодавця, в Україні він не має сформованої команди",5,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-06-09 17:29:42,Працюю в IT-компанії / ІТ-департаменті,2700,0,Senior,QA,Manual QA,Gambling,,"Ні, не використовую",,Продуктова,до 1000,7,Upper-Intermediate,"За кордоном, але планую повернутися","Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",32
2025-06-09 17:31:19,Працюю в IT-компанії / ІТ-департаменті,4100,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Insurance,Back-end розробка,,C# / .NET,Сервісна (аутсорсингова),понад 1000,8,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",29
2025-06-09 17:31:35,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,QA,Manual QA,Adtech / Advertising / Marketing,,"Ні, не використовую",,Продуктова,до 1000,3,Intermediate,В Україні,Інші гуманітарні та суспільні науки,31
2025-06-09 17:32:37,Працюю в IT-компанії / ІТ-департаменті,3900,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Geospatial, Telecom",Full Stack розробка,,Java,Сервісна (аутсорсингова),понад 1000,2,Intermediate,В Україні,"Точні науки (математика, інформатика)",31
2025-06-09 17:34:39,Працюю в IT-компанії / ІТ-департаменті,523,55.3333333333333,Немає тайтлу,Technical Support,Technical Support,Fintech / Banking / Capital Management,,"Ні, не використовую",,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",понад 1000,10,Pre-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",30
2025-06-09 17:35:03,Працюю в IT-компанії / ІТ-департаменті,3300,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,Java,Сервісна (аутсорсингова),до 200,4,Intermediate,В Україні,Не вступав у виш,32
2025-06-09 17:37:55,Працюю в IT-компанії / ІТ-департаменті,4500,83.3333333333333,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Business Intelligence / Data Warehouse, Big Data",Back-end розробка,,Java,Сервісна (аутсорсингова),понад 1000,18,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",50
2025-06-09 17:44:41,Працюю в IT-компанії / ІТ-департаменті,1400,125,Middle,Rcrt,Recruiter / Recruitment Specialist / Technical Recruiter,"Різнопланові проєкти, немає одного основного (HR etc)",,"Ні, не використовую",,Сервісна (аутсорсингова),до 200,3,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",21
2025-06-09 17:45:23,Працюю в IT-компанії / ІТ-департаменті,3800,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Mobile розробка,,Dart,Продуктова,понад 1000,9,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",32
2025-06-09 17:45:42,Працюю в IT-компанії / ІТ-департаменті,1550,0,Middle,Project Mgmt,Project Manager (PM),SaaS,,"Ні, не використовую",,Продуктова,до 200,2,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",21
2025-06-09 17:47:59,Працюю в IT-компанії / ІТ-департаменті,1200,100,Lead / Team Lead,Project Mgmt,Project Manager (PM),Adtech / Advertising / Marketing,,"Так, використовую",SQL,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 50,4,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",34
2025-06-09 17:48:08,Працюю в IT-компанії / ІТ-департаменті,2200,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",E-commerce,Front-end розробка,,TypeScript,Продуктова,понад 1000,1.5,Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",27
2025-06-09 17:48:41,Працюю в IT-компанії / ІТ-департаменті,400,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","E-commerce, Retail / marketplace",Front-end розробка,,TypeScript,Сервісна (аутсорсингова),понад 1000,1,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",22
2025-06-09 17:54:11,Працюю в IT-компанії / ІТ-департаменті,3000,0,Middle,"UI/UX, Product Design",UI/UX Designer,SaaS,,"Ні, не використовую",,Продуктова,до 200,3,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,27
2025-06-09 17:56:20,Працюю в IT-компанії / ІТ-департаменті,10000,83.3333333333333,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Other,Back-end розробка,,Go,Продуктова,понад 1000,8,Advanced,В Україні,Інші гуманітарні та суспільні науки,36
2025-06-09 18:00:37,Працюю в IT-компанії / ІТ-департаменті,3000,0,Middle,Agile Mgmt,Scrum Master,E-commerce,,"Ні, не використовую",,Сервісна (аутсорсингова),понад 1000,4,Advanced,В Україні,"Точні науки (математика, інформатика)",25
2025-06-09 18:01:29,Працюю в IT-компанії / ІТ-департаменті,5500,0,Senior,DS,Data Engineer / Big Data Engineer,"Big Data, Business Intelligence / Data Warehouse",,"Так, використовую",Python,Продуктова,до 1000,1,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",29
2025-06-09 18:01:29,Працюю в IT-компанії / ІТ-департаменті,1560,0,Немає тайтлу,SysAdmin,System engineer,Medtech / Healthcare,,"Так, використовую",Bash / Shell,Продуктова,до 10 спеціалістів,20,Pre-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",59
2025-06-09 18:08:37,Працюю в IT-компанії / ІТ-департаменті,3500,0,Senior,QA,General QA,E-commerce,,"Так, використовую",Swift,Сервісна (аутсорсингова),понад 1000,10,Upper-Intermediate,"За кордоном, але планую повернутися","Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",34
2025-06-09 18:09:42,Працюю в IT-компанії / ІТ-департаменті,1300,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Edtech / Education,Full Stack розробка,,Python,Сервісна (аутсорсингова),до 10 спеціалістів,2,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",31
2025-06-09 18:12:03,Працюю в IT-компанії / ІТ-департаменті,1700,0,Middle,Brand,Employer Brand Manager,GameDev,,"Ні, не використовую",,Продуктова,до 1000,5,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",28
2025-06-09 18:12:41,Працюю в IT-компанії / ІТ-департаменті,1850,0,Middle,Analyst,Product Analyst,Dating,,"Так, використовую",SQL,Продуктова,до 1000,2,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",22
2025-06-09 18:15:13,Працюю в IT-компанії / ІТ-департаменті,700,83.3333333333333,Senior,Brand,Communications Specialist,Edtech / Education,,"Ні, не використовую",,Продуктова,до 1000,2,Advanced,В Україні,Інші гуманітарні та суспільні науки,22
2025-06-09 18:17:33,Працюю в IT-компанії / ІТ-департаменті,600,0,Intern/Trainee,Security,SOC Automation Engineer,Security,,"Так, використовую",Python,Сервісна (аутсорсингова),до 200,0.5,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",19
2025-06-09 18:21:31,Працюю в IT-компанії / ІТ-департаменті,3800,100,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Gambling, Security, Healthcare","Платформна / BI / low-code розробка (Salesforce, SAP, 1С тощо)","Так, використовую",Groovy,Сервісна (аутсорсингова),понад 1000,3,Upper-Intermediate,В Україні,Міжнародні економічні відносини,22
2025-06-09 18:22:13,Працюю в IT-компанії / ІТ-департаменті,3000,500,Lead / Team Lead,DevOps,DevOps Engineer,Fintech / Banking / Capital Management,,"Так, використовую",Python,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",понад 1000,6,Pre-Intermediate,В Україні,"Точні науки (математика, інформатика)",47
2025-06-09 18:23:46,Працюю в IT-компанії / ІТ-департаменті,4000,0,Lead / Team Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Gambling, GameDev",,,TypeScript,Продуктова,до 1000,3,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",24
2025-06-09 18:33:44,Працюю в IT-компанії / ІТ-департаменті,4000,20.8333333333333,Tech Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Other,Desktop,,C++,Аутстафінгова,понад 1000,12,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",32
2025-06-09 18:36:13,Працюю в IT-компанії / ІТ-департаменті,6000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Full Stack розробка,,TypeScript,Сервісна (аутсорсингова),понад 1000,10,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",33
2025-06-09 18:41:57,Працюю в IT-компанії / ІТ-департаменті,1400,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Logistics / Supply Chain,Front-end розробка,,TypeScript,Сервісна (аутсорсингова),понад 1000,4,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",23
2025-06-09 18:44:23,Втратив(-ла) роботу / звільнився(-лася) і шукаю нову,4700,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Enterprise,Back-end розробка,,C# / .NET,Продуктова,до 200,20,Advanced,В Україні,"Точні науки (математика, інформатика)",47
2025-06-09 18:53:12,Працюю в IT-компанії / ІТ-департаменті,5000,0,Head,Tech Leadership,Head of Development,"ERP, Enterprise",,"Так, використовую",C# / .NET,Продуктова,до 1000,1,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",41
2025-06-09 19:01:09,Працюю в IT-компанії / ІТ-департаменті,3550,0,Senior,QA,Manual QA,Fintech / Banking / Capital Management,,"Так, використовую",JavaScript,Аутстафінгова,до 1000,7,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",28
2025-06-09 19:21:16,Працюю в IT-компанії / ІТ-департаменті,750,250,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Big Data, E-commerce, Public services / Government",Back-end розробка,,Java,Продуктова,до 50,2,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",21
2025-06-09 19:25:48,Працюю в IT-компанії / ІТ-департаменті,326,50,Junior,Analyst,Data Analyst,Fintech / Banking / Capital Management,,"Так, використовую",SQL,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 1000,0.5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-06-09 19:28:49,Працюю в IT-компанії / ІТ-департаменті,2800,250,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","High Load Systems, E-commerce",Back-end розробка,,PHP,Сервісна (аутсорсингова),до 50,9,Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",27
2025-06-09 19:31:07,Працюю в IT-компанії / ІТ-департаменті,4600,0,Lead / Team Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Telecom,Front-end розробка,,TypeScript,Продуктова,до 1000,3,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,24
2025-06-09 19:41:55,Працюю в IT-компанії / ІТ-департаменті,2000,0,Manager,Project Mgmt,Project Manager (PM),AI / ML,,"Ні, не використовую",,Сервісна (аутсорсингова),до 1000,5,Advanced,В Україні,Інші гуманітарні та суспільні науки,33
2025-06-09 19:42:59,Працюю в IT-компанії / ІТ-департаменті,2200,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Medtech / Healthcare,Front-end розробка,,TypeScript,Сервісна (аутсорсингова),понад 1000,4,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",37
2025-06-09 19:57:00,Працюю в IT-компанії / ІТ-департаменті,3000,0,Senior,QA,Manual QA,Enterprise,,"Так, використовую",SQL,Сервісна (аутсорсингова),до 1000,12,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",38
2025-06-09 20:08:20,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),6000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","High Load Systems, SaaS",Back-end розробка,,Ruby,Продуктова,до 10 спеціалістів,12,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",41
2025-06-09 20:10:59,Працюю в IT-компанії / ІТ-департаменті,4000,166.666666666667,Lead / Team Lead,Analyst,Head of Analytics,"Business Intelligence / Data Warehouse, Telecom",,"Так, використовую",SQL,Продуктова,до 200,5,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",38
2025-06-09 20:18:40,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Medtech / Healthcare,Back-end розробка,,Python,Сервісна (аутсорсингова),понад 1000,3,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,25
2025-06-09 20:30:41,Працюю в IT-компанії / ІТ-департаменті,2600,195.833333333333,Head,Marketing,Marketing Director,"Gambling, GameDev, Media / Entertainment",,"Ні, не використовую",,Сервісна (аутсорсингова),понад 1000,5,Upper-Intermediate,В Україні,Engineering science,32
2025-06-09 20:31:14,Працюю в IT-компанії / ІТ-департаменті,5400,0,Lead / Team Lead,SE,Engineering Lead,Automotive,,"Так, використовую",Scala,Сервісна (аутсорсингова),понад 1000,1.5,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-06-09 20:31:30,Працюю в IT-компанії / ІТ-департаменті,5000,0,Senior,Game design,Technical Game Designer,Mobile,,"Так, використовую",Other,Продуктова,понад 1000,5,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,37
2025-06-09 20:32:42,Працюю в IT-компанії / ІТ-департаменті,6350,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Internet of Things, SaaS",Full Stack розробка,,TypeScript,Продуктова,до 50,3,Upper-Intermediate,В Україні,Не вступав у виш,22
2025-06-09 20:35:17,Працюю в IT-компанії / ІТ-департаменті,1800,0,Junior,Analyst,Data Analyst,Adtech / Advertising / Marketing,,"Так, використовую",Python,Продуктова,до 200,1.5,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",23
2025-06-09 20:35:35,Працюю в IT-компанії / ІТ-департаменті,3000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,C# / .NET,Продуктова,понад 1000,4,Intermediate,"За кордоном, але планую повернутися","Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-06-09 20:40:51,Працюю в IT-компанії / ІТ-департаменті,2770,0,Senior,QA,Manual QA,"Adtech / Advertising / Marketing, Big Data",,"Ні, не використовую",,Продуктова,до 200,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",33
2025-06-09 20:46:12,Працюю в IT-компанії / ІТ-департаменті,2600,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","E-commerce, Fintech / Banking / Capital Management",Mobile розробка,,Dart,Сервісна (аутсорсингова),до 200,4,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",28
2025-06-09 20:48:29,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),3750,0,Senior,QA,Manual QA,Automotive,,"Ні, не використовую",,Аутстафінгова,понад 1000,8,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",40
2025-06-09 20:57:12,Працюю в IT-компанії / ІТ-департаменті,2800,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Edtech / Education, E-commerce, Adtech / Advertising / Marketing",Back-end розробка,,PHP,Продуктова,до 200,5,Pre-Intermediate,В Україні,Не вступав у виш,28
2025-06-09 21:14:54,Працюю в IT-компанії / ІТ-департаменті,2500,0,Middle,Marketing,Product Marketing Manager,Mobile,,"Ні, не використовую",,Продуктова,до 200,4,Upper-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",34
2025-06-09 21:35:19,Працюю в IT-компанії / ІТ-департаменті,3750,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Media / Entertainment, Adtech / Advertising / Marketing",Front-end розробка,,TypeScript,Продуктова,до 50,7,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",31
2025-06-09 21:38:51,Працюю в IT-компанії / ІТ-департаменті,3500,100,Senior,Analyst,Data Analyst,"Gambling, Adtech / Advertising / Marketing",,"Так, використовую",SQL,Продуктова,до 1000,6,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",40
2025-06-09 21:51:17,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,QA,Manual QA,"Різнопланові проєкти, немає одного основного (HR etc)",,"Ні, не використовую",,Сервісна (аутсорсингова),до 200,3,Upper-Intermediate,В Україні,Медицина,37
