"N","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","salary","Валюта","cls"
"5588","DevOps","","","10 и более лет","1.5",3500,500,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",28,"Высшее","ВНТУ","False","выше среднего","Веб-разработка","20/06/2017 17:16:47","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",10,1.5,3500,NA,"ADM"
"5589","Software Engineer","C#/.NET","","4","3",1600,0,"Киев","до 10 человек","Продуктовая","мужской",25,"Высшее","НТУУ «КПИ»","False","средний","Gamedev","20/06/2017 17:17:17","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.0.255225845 (Edition EXP157.1)",4,3,1600,NA,"DEV"
"5590","QA engineer","","Manual QA","3","1.5",1000,500,"Харьков","до 50 человек","Продуктовая","женский",30,"Высшее","КНУСА","False","средний","Финансы и банки","20/06/2017 17:17:37","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,1.5,1000,NA,"QA"
"5591","Junior Software Engineer","C#/.NET","","1.5","меньше 3 месяцев",550,200,"Киев","до 1000 человек","Продуктовая","мужской",20,"Незаконченное высшее","Другой вуз","True","ниже среднего","Desktop Applications","20/06/2017 17:17:42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0,550,NA,"DEV"
"5592","Software Engineer","Java","","4","0.5",3000,400,"Одесса","до 200 человек","Продуктовая","мужской",28,"Высшее","Другой вуз","False","средний","Другое","20/06/2017 17:18:18","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4,0.5,3000,NA,"DEV"
"5593","ERP / CRM","","","4","4",1200,100,"Днепр","до 200 человек","Другая","мужской",28,"Незаконченное высшее","ДНУ им. Гончара","False","элементарный","Корпоративные системы","20/06/2017 17:18:30","Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Mobile Safari/537.36 Edge/14.14393",4,4,1200,NA,""
"5594","Business analyst","","","3","0.5",1400,100,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","КНУ им. Шевченко","False","выше среднего","Корпоративные системы","20/06/2017 17:18:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,0.5,1400,NA,""
"5595","HR","","","5","1.5",1000,300,"Харьков","до 1000 человек","Аутсорсинговая","женский",28,"Высшее","Другой вуз","False","ниже среднего","Другое","20/06/2017 17:18:50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5,1.5,1000,NA,""
"5596","Software Engineer","JavaScript","","4","0.25",1710,810,"Харьков","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","ХНУРЭ","False","средний","Веб-разработка","20/06/2017 17:18:55","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4,0.25,1710,NA,"DEV"
"5597","System Architect","C#/.NET","","10 и более лет","7",4500,300,"Харьков","свыше 1000 человек","Аутстаффинговая","мужской",33,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка,Корпоративные системы","20/06/2017 17:19:43","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:54.0) Gecko/20100101 Firefox/54.0",10,7,4500,NA,"SDEV"
"5598","QA engineer","","General QA","4","1",1800,0,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","Львовская Политехника","False","средний","eCommerce","20/06/2017 17:19:54","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4,1,1800,NA,"QA"
"5599","Team lead","","","5","2",2300,250,"Киев","до 200 человек","Стартап","мужской",30,"Высшее","НТУУ «КПИ»","False","продвинутый","Веб-разработка,Системное программирование","20/06/2017 17:20:38","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5,2,2300,NA,"PM"
"5600","QA engineer","","General QA","1.5","1.5",920,850,"Харьков","до 1000 человек","Продуктовая","мужской",27,"Высшее","Другой вуз","False","средний","Веб-разработка","20/06/2017 17:20:47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,920,NA,"QA"
"5601","Business analyst","","","меньше 3 месяцев","1",300,100,"Днепр","до 200 человек","Продуктовая","мужской",26,"Высшее","ДНУ им. Гончара","False","средний","Финансы и банки","20/06/2017 17:20:47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0,1,300,NA,""
"5602","Sysadmin","","","7","3",1000,500,"Днепр","до 200 человек","Продуктовая","мужской",26,"Высшее","ДНУ им. Гончара","False","средний","Корпоративные системы","20/06/2017 17:21:04","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36",7,3,1000,NA,""
"5603","Software Engineer","Java","","4","4",1000,100,"Киев","до 1000 человек","Продуктовая","мужской",39,"Высшее","СумГУ","False","ниже среднего","Телекоммуникации","20/06/2017 17:21:09","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4,4,1000,NA,"DEV"
"5604","QA engineer","","Automation QA","1.5","0.5",800,200,"Киев","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка","20/06/2017 17:21:09","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0",1.5,0.5,800,NA,"QA"
"5605","Software Engineer","1С","","10 и более лет","6",920,265,"Полтава","до 50 человек","Другая","мужской",33,"Высшее","Другой вуз","False","ниже среднего","Корпоративные системы","20/06/2017 17:21:15","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",10,6,920,NA,"DEV"
"5606","Software Engineer","C#/.NET","","2","2",1200,310,"Львов","до 1000 человек","Продуктовая","мужской",23,"Высшее","ЛНУ им. Франко","False","средний","Desktop Applications,Веб-разработка","20/06/2017 17:21:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3115.0 Safari/537.36",2,2,1200,NA,"DEV"
"5607","Software Engineer","JavaScript","","5","1",2000,0,"Киев","до 1000 человек","Другая","мужской",27,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка,Gamedev","20/06/2017 17:21:58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5,1,2000,NA,"DEV"
"5608","Senior Software Engineer","Java","","10 и более лет","8",2100,200,"Запорожье","до 50 человек","Продуктовая","мужской",37,"Высшее","Другой вуз","False","средний","eCommerce,Другое","20/06/2017 17:22:01","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10,8,2100,NA,"DEV"
"5609","Senior Software Engineer","1С","","10 и более лет","3",1500,500,"Киев","до 200 человек","Другая","мужской",36,"Высшее","Другой вуз","False","ниже среднего","Корпоративные системы","20/06/2017 17:22:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",10,3,1500,NA,"DEV"
"5610","Software Engineer","JavaScript","","1","1",2375,2375,"Киев","до 1000 человек","Продуктовая","мужской",33,"Незаконченное высшее","Другой вуз","False","средний","Веб-разработка,Корпоративные системы","20/06/2017 17:22:40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,1,2375,NA,"DEV"
"5611","Software Engineer","PHP","","2","3",720,80,"Запорожье","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","ЗНТУ","False","средний","Веб-разработка","20/06/2017 17:22:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",2,3,720,NA,"DEV"
"5612","Data Scientist / Data Analyst","","","2","0.25",800,300,"Киев","до 10 человек","Продуктовая","мужской",22,"Незаконченное высшее","НТУУ «КПИ»","True","выше среднего","eCommerce","20/06/2017 17:23:18","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,0.25,800,NA,""
"5613","Team lead","","","5","2",2200,200,"Киев","до 50 человек","Аутсорсинговая","мужской",29,"Высшее","НУК","True","выше среднего","Веб-разработка","20/06/2017 17:23:47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",5,2,2200,NA,"PM"
"5614","Software Engineer","C#/.NET","","3","меньше 3 месяцев",2400,300,"Другой","до 200 человек","Продуктовая","мужской",30,"Среднее","","False","выше среднего","Корпоративные системы","20/06/2017 17:24:12","Mozilla/5.0 (Linux; Android 7.0; EVA-L09 Build/HUAWEIEVA-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3,0,2400,NA,"DEV"
"5615","Software Engineer","PHP","","3","0.5",1200,200,"Киев","до 50 человек","Продуктовая","мужской",23,"Высшее","НаУКМА","True","выше среднего","Веб-разработка","20/06/2017 17:24:24","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,0.5,1200,NA,"DEV"
"5616","Project manager","","","2","6",2350,500,"Ивано-Франковск","до 200 человек","Аутсорсинговая","женский",31,"Высшее","Другой вуз","False","продвинутый","Веб-разработка,Финансы и банки","20/06/2017 17:24:39","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0",2,6,2350,NA,"PM"
"5617","Project manager","","","6","2",2300,200,"Львов","до 50 человек","Продуктовая","женский",30,"Высшее","ЛНУ им. Франко","False","продвинутый","Веб-разработка,Финансы и банки","20/06/2017 17:25:01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6,2,2300,NA,"PM"
"5618","HR","","","5","4",1250,75,"Киев","до 200 человек","Аутсорсинговая","женский",27,"Высшее","Другой вуз","False","средний","Другое","20/06/2017 17:25:20","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0",5,4,1250,NA,""
"5619","Junior Software Engineer","JavaScript","","1","меньше 3 месяцев",500,200,"Киев","до 10 человек","Стартап","женский",29,"Высшее","ЗНТУ","False","средний","Веб-разработка","20/06/2017 17:25:28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,0,500,NA,"DEV"
"5620","QA engineer","","Manual QA","2","меньше 3 месяцев",1400,1000,"Киев","до 50 человек","Продуктовая","женский",24,"Высшее","СумГУ","False","средний","Веб-разработка","20/06/2017 17:25:39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,0,1400,NA,"QA"
"5621","Junior Software Engineer","Java","","1.5","2",1300,500,"Киев","до 1000 человек","Продуктовая","мужской",30,"Высшее","НТУУ «КПИ»","False","выше среднего","Gamedev","20/06/2017 17:25:52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",1.5,2,1300,NA,"DEV"
"5622","HTML coder","","","1","0.25",300,0,"Киев","до 10 человек","Аутсорсинговая","мужской",28,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка","20/06/2017 17:25:52","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,0.25,300,NA,""
"5623","Business analyst","","","1","1",2000,200,"Львов","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","Львовская Политехника","False","выше среднего","Корпоративные системы","20/06/2017 17:25:56","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,1,2000,NA,""
"5624","Junior Software Engineer","Java","","1","1",500,0,"Полтава","до 10 человек","Аутсорсинговая","мужской",33,"Высшее","Другой вуз","False","элементарный","Android","20/06/2017 17:26:30","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0",1,1,500,NA,"DEV"
"5625","QA engineer","","Manual QA","6","меньше 3 месяцев",2200,1000,"Львов","до 50 человек","Продуктовая","женский",30,"Высшее","Другой вуз","False","выше среднего","Desktop Applications,Веб-разработка","20/06/2017 17:26:32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",6,0,2200,NA,"QA"
"5626","Business analyst","","","2","0.5",1000,0,"Киев","до 200 человек","Продуктовая","мужской",31,"Высшее","Другой вуз","False","выше среднего","Веб-разработка,eCommerce","20/06/2017 17:26:53","Mozilla/5.0 (Linux; Android 6.0.1; MI 5s Build/MXB48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2,0.5,1000,NA,""
"5627","Junior QA engineer","","Manual QA","1.5","1.5",950,300,"Харьков","до 1000 человек","Аутсорсинговая","женский",29,"Высшее","ХНЭУ","False","средний","Android,iOS","20/06/2017 17:27:21","Mozilla/5.0 (Linux; Android 5.0.2; LG-D618 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,950,NA,"QA"
"5628","Software Engineer","JavaScript","","2","1.5",1000,0,"Харьков","до 50 человек","Продуктовая","мужской",27,"Высшее","ОНАС","False","выше среднего","Веб-разработка","20/06/2017 17:27:24","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,1.5,1000,NA,"DEV"
"5629","QA Tech Lead","","Manual QA","5","1.5",2200,200,"Удаленно","до 200 человек","Продуктовая","женский",29,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка,Финансы и банки","20/06/2017 17:28:01","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5,1.5,2200,NA,"QA"
"5630","HR","","","1.5","1.5",430,0,"Днепр","свыше 1000 человек","Аутсорсинговая","мужской",31,"Техникум / Колледж","","False","средний","Desktop Applications,Веб-разработка","20/06/2017 17:28:47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,430,NA,""
"5631","Junior Software Engineer","PHP","","1.5","0.25",700,400,"Львов","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка","20/06/2017 17:29:12","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0",1.5,0.25,700,NA,"DEV"
"5632","Software Engineer","C","","10 и более лет","10 и более лет",1500,400,"Киев","до 50 человек","Другая","мужской",50,"Высшее","НТУУ «КПИ»","False","ниже среднего","Embedded,Другое","20/06/2017 17:29:23","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0",10,10,1500,NA,"DEV"
"5633","Sysadmin","","","3","2",300,20,"Киев","до 10 человек","Продуктовая","мужской",22,"Незаконченное высшее","Другой вуз","False","ниже среднего","Другое","20/06/2017 17:29:24","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,2,300,NA,""
"5634","Technical writer","","","3","1",1500,200,"Киев","до 200 человек","Продуктовая","мужской",26,"Высшее","Другой вуз","False","продвинутый","Другое","20/06/2017 17:29:48","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,1,1500,NA,""
"5635","Software Engineer","Java","","2","2",1300,700,"Львов","до 1000 человек","Другая","мужской",22,"Высшее","Львовская Политехника","False","средний","Android","20/06/2017 17:29:58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2,2,1300,NA,"DEV"
"5636","Project manager","","","1","1",1500,0,"Киев","до 10 человек","Продуктовая","мужской",31,"Два высших","НТУУ «КПИ»","False","выше среднего","Android,iOS","20/06/2017 17:30:11","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.898",1,1,1500,NA,"PM"
"5637","QA engineer","","Manual QA","1.5","1.5",600,300,"Харьков","до 1000 человек","Продуктовая","мужской",26,"Высшее","ХАИ","False","средний","Gamedev","20/06/2017 17:30:11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,600,NA,"QA"
"5638","Software Engineer","PHP","","7","6",1200,0,"Хмельницкий","до 10 человек","Аутсорсинговая","мужской",30,"Высшее","ХНУ [г. Хмельницкий]","False","выше среднего","Веб-разработка","20/06/2017 17:31:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7,6,1200,NA,"DEV"
"5639","Software Engineer","C#/.NET","","1","меньше 3 месяцев",1200,300,"Киев","до 50 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","НТУУ «КПИ»","True","средний","Веб-разработка","20/06/2017 17:32:21","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,0,1200,NA,"DEV"
"5640","Product Manager","","","10 и более лет","4",1500,200,"Харьков","до 200 человек","Продуктовая","мужской",34,"Высшее","ХНУРЭ","False","выше среднего","Desktop Applications","20/06/2017 17:32:26","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.1.2924.82 FreeU/56.1.2924.82 MRCHROME SOC Safari/537.36",10,4,1500,NA,""
"5641","Senior QA engineer","","Manual QA","5","5",2000,350,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","НАУ","False","продвинутый","Embedded,Другое","20/06/2017 17:32:41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3135.0 Safari/537.36",5,5,2000,NA,"QA"
"5642","Sales manager","","","5","1.5",800,0,"Харьков","до 200 человек","Аутсорсинговая","женский",29,"Высшее","Другой вуз","False","продвинутый","iOS,Веб-разработка","20/06/2017 17:33:39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5,1.5,800,NA,""
"5643","DevOps","","","2","0.5",1000,400,"Харьков","до 50 человек","Продуктовая","мужской",27,"Высшее","ХНУРЭ","False","средний","Корпоративные системы,Другое","20/06/2017 17:34:02","Mozilla/5.0 (Linux; Android 6.0.1; SM-J710F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2,0.5,1000,NA,"ADM"
"5644","Senior Software Engineer","Python","","8","6",2300,200,"Удаленно","до 10 человек","Продуктовая","мужской",28,"Высшее","Другой вуз","False","средний","Веб-разработка","20/06/2017 17:34:05","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",8,6,2300,NA,"DEV"
"5645","Software Engineer","JavaScript","","3","0.5",400,0,"Удаленно","до 200 человек","Аутсорсинговая","женский",21,"Незаконченное высшее","ОНПУ","True","средний","Веб-разработка","20/06/2017 17:34:29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,0.5,400,NA,"DEV"
"5646","DevOps","","","10 и более лет","0.5",1300,700,"Киев","до 200 человек","Аутстаффинговая","мужской",32,"Техникум / Колледж","","False","выше среднего","Другое","20/06/2017 17:34:58","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",10,0.5,1300,NA,"ADM"
"5647","QA engineer","","Automation QA","3","1",1420,400,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","Львовская Политехника","False","продвинутый","Веб-разработка","20/06/2017 17:35:05","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,1,1420,NA,"QA"
"5648","DevOps","","","3","1",1500,300,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",33,"Кандидат","ЗНТУ","False","средний","Другое","20/06/2017 17:35:52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3,1,1500,NA,"ADM"
"5649","Project manager","","","2","0.5",460,210,"Киев","до 10 человек","Аутсорсинговая","женский",26,"Высшее","Другой вуз","False","средний","Веб-разработка","20/06/2017 17:36:04","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2,0.5,460,NA,"PM"
"5650","Senior Software Engineer","PHP","","2","1",2640,250,"Луцк","до 50 человек","Аутстаффинговая","мужской",27,"Незаконченное высшее","Львовская Политехника","False","выше среднего","Веб-разработка,Корпоративные системы","20/06/2017 17:36:28","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",2,1,2640,NA,"DEV"
"5651","Junior Software Engineer","C#/.NET","","1","1",950,950,"Одесса","до 200 человек","Аутстаффинговая","мужской",22,"Незаконченное высшее","Другой вуз","True","продвинутый","Desktop Applications,Корпоративные системы","20/06/2017 17:36:28","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1,1,950,NA,"DEV"
"5652","Senior Software Engineer","Java","","9","0.25",5000,1000,"Киев","до 200 человек","Продуктовая","мужской",31,"Высшее","НТУУ «КПИ»","False","средний","Другое","20/06/2017 17:36:55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",9,0.25,5000,NA,"DEV"
"5653","Technical Lead","JavaScript","","6","0.5",5000,800,"Киев","до 10 человек","Продуктовая","мужской",28,"Два высших","КНУ им. Шевченко","False","выше среднего","Веб-разработка,Корпоративные системы","20/06/2017 17:37:09","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0",6,0.5,5000,NA,"SDEV"
"5654","Project manager","","","10 и более лет","1.5",3500,150,"Харьков","свыше 1000 человек","Другая","мужской",35,"Незаконченное высшее","НАУ","False","выше среднего","Desktop Applications,Веб-разработка","20/06/2017 17:37:26","Mozilla/5.0 (Linux; Android 7.0; SM-G935F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10,1.5,3500,NA,"PM"
"5655","Software Engineer","Java","","0.5","0.5",800,400,"Днепр","свыше 1000 человек","Аутсорсинговая","мужской",34,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка,Корпоративные системы","20/06/2017 17:37:54","Mozilla/5.0 (Linux; Android 5.0; ASUS_T00J Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,800,NA,"DEV"
"5656","Project manager","","","3","меньше 3 месяцев",1500,1000,"Киев","до 50 человек","Продуктовая","мужской",29,"Два высших","НТУУ «КПИ»","False","выше среднего","Android,iOS","20/06/2017 17:38:16","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",3,0,1500,NA,"PM"
"5657","Sales manager","","","5","1",1300,600,"Киев","до 50 человек","Продуктовая","мужской",28,"Высшее","Другой вуз","False","выше среднего","Веб-разработка,eCommerce","20/06/2017 17:39:08","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",5,1,1300,NA,""
"5658","Senior QA engineer","","General QA","10 и более лет","7",2850,150,"Киев","до 50 человек","Продуктовая","женский",35,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка","20/06/2017 17:39:23","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0",10,7,2850,NA,"QA"
"5659","Senior Software Engineer","C++","","5","4",3500,500,"Одесса","свыше 1000 человек","Аутстаффинговая","мужской",34,"Незаконченное высшее","ОНАС","False","ниже среднего","Embedded,Телекоммуникации","20/06/2017 17:39:54","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5,4,3500,NA,"DEV"
"5660","Software Engineer","Objective-C","","2","меньше 3 месяцев",1500,700,"Львов","до 1000 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","Другой вуз","False","выше среднего","iOS","20/06/2017 17:40:11","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2,0,1500,NA,"DEV"
