,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Junior QA engineer,,Manual QA,1,1,420,40,Львов,до 200 человек,Продуктовая,m,45,Высшее,Другой вуз,False,средний,Финансы и банки,22/12/2016 14:39:36,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,C#/.NET,,4,3,1300,300,Львов,до 10 человек,Продуктовая,m,26,Высшее,НАУ,False,средний,Desktop Applications,22/12/2016 14:41:22,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Designer,,,5,1,2500,0,Киев,до 50 человек,Продуктовая,m,27,Высшее,КНУ им. Шевченко,False,выше среднего,"Веб-разработка,eCommerce",22/12/2016 14:41:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Software Engineer,PHP,,5,1,3000,500,Киев,до 200 человек,Аутстаффинговая,m,31,Высшее,Другой вуз,False,средний,"Веб-разработка,eCommerce",22/12/2016 14:43:06,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0
,Software Engineer,Other,,1.5,0.5,1800,1200,Киев,до 50 человек,Аутстаффинговая,m,22,Незаконченное высшее,КНЭУ,True,выше среднего,"Веб-разработка,Корпоративные системы",22/12/2016 14:44:15,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Junior Software Engineer,JavaScript,,0.25,0.25,300,300,Харьков,до 200 человек,Аутсорсинговая,m,19,Незаконченное высшее,ХНУ им. Каразина,True,средний,"Desktop Applications,Веб-разработка",22/12/2016 14:46:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior QA engineer,,General QA,5,4,2300,400,Днепр,до 200 человек,Аутсорсинговая,m,29,Высшее,Другой вуз,False,выше среднего,"Android,iOS",22/12/2016 14:47:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12"
,Software Engineer,Swift,,2,меньше 3 месяцев,1600,1000,Киев,до 200 человек,Продуктовая,m,25,Высшее,НТУУ «КПИ»,False,выше среднего,iOS,22/12/2016 14:47:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12"
,Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,400,0,Львов,до 50 человек,Аутсорсинговая,m,27,Высшее,Львовская Политехника,False,средний,"Android,iOS",22/12/2016 14:53:02,"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36"
,HR,,,1.5,меньше 3 месяцев,500,0,Киев,до 200 человек,Продуктовая,m,24,Высшее,Другой вуз,False,средний,"Веб-разработка,eCommerce",22/12/2016 14:53:13,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,3,3,1300,100,Харьков,до 50 человек,Продуктовая,m,24,Высшее,ХНУРЭ,False,ниже среднего,Веб-разработка,22/12/2016 14:56:48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"
,Junior QA engineer,,Manual QA,1,0.25,300,0,Киев,до 200 человек,Продуктовая,f,22,Незаконченное высшее,Другой вуз,True,средний,"Финансы и банки,Корпоративные системы",22/12/2016 14:59:21,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior QA engineer,,Automation QA,3,0.5,2500,1000,Киев,до 50 человек,Продуктовая,f,26,Два высших,НТУУ «КПИ»,False,средний,Веб-разработка,22/12/2016 15:04:24,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
,Software Engineer,Ruby/Rails,,2,меньше 3 месяцев,2200,1000,Киев,до 50 человек,Аутсорсинговая,m,26,Высшее,ДонНТУ,False,выше среднего,Веб-разработка,22/12/2016 15:05:11,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36"
,Software Engineer,Python,,7,0.5,2000,500,Киев,до 200 человек,Аутсорсинговая,m,27,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,22/12/2016 15:05:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,PHP,,6,1,3200,550,Киев,до 200 человек,Продуктовая,m,34,Высшее,Другой вуз,False,продвинутый,Веб-разработка,22/12/2016 15:07:21,"Mozilla/5.0 (Linux; Android 5.0; ASUS_T00J Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Software Engineer,JavaScript,,1,1,800,500,Львов,до 50 человек,Аутсорсинговая,m,21,Незаконченное высшее,ЛНУ им. Франко,True,выше среднего,Веб-разработка,22/12/2016 15:07:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36"
,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,500,500,Харьков,до 50 человек,Аутсорсинговая,m,28,Высшее,ХАИ,True,ниже среднего,Финансы и банки,22/12/2016 15:13:54,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,HTML coder,,,меньше 3 месяцев,меньше 3 месяцев,150,0,Мариуполь,до 10 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,22/12/2016 15:15:19,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,6,1,1800,500,Харьков,до 10 человек,Продуктовая,m,30,Высшее,ХНУРЭ,False,средний,"Веб-разработка,eCommerce",22/12/2016 15:18:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
,Marketing,,,меньше 3 месяцев,меньше 3 месяцев,200,200,Днепр,до 50 человек,Аутсорсинговая,m,21,Высшее,ДНУ им. Гончара,True,средний,Веб-разработка,22/12/2016 15:19:44,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Sales manager,,,0.5,0.5,480,0,Киев,до 50 человек,Аутсорсинговая,f,24,Два высших,НТУУ «КПИ»,False,продвинутый,,22/12/2016 15:25:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Security Specialist,,,6,0.5,500,0,Киев,до 50 человек,Продуктовая,m,35,Высшее,НАУ,False,ниже среднего,"eCommerce,Другое",22/12/2016 15:25:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,Senior QA engineer,,Automation QA,4,2,2600,300,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,НТУУ «КПИ»,False,выше среднего,"eCommerce,Корпоративные системы",22/12/2016 15:26:23,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Senior Software Engineer,SQL,,10 и более лет,5,5000,1000,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,Другой вуз,False,выше среднего,"Финансы и банки,Корпоративные системы",22/12/2016 15:26:44,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Other,,6,1,2000,200,Львов,свыше 1000 человек,Аутсорсинговая,m,35,Высшее,ЛНУ им. Франко,False,средний,Корпоративные системы,22/12/2016 15:28:19,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Java,,4,4,2500,500,Львов,до 1000 человек,Аутсорсинговая,m,27,Высшее,Львовская Политехника,False,выше среднего,Корпоративные системы,22/12/2016 15:31:37,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Marketing,,,6,6,800,800,Харьков,до 50 человек,Аутстаффинговая,m,28,Высшее,ХНУРЭ,False,ниже среднего,Другое,22/12/2016 15:31:41,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,меньше 3 месяцев,меньше 3 месяцев,300,-50,Львов,до 200 человек,Аутсорсинговая,f,22,Высшее,ЛНУ им. Франко,False,ниже среднего,"Embedded,Системное программирование",22/12/2016 15:35:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C++,,5,1.5,3000,0,Киев,до 50 человек,Аутсорсинговая,m,26,Высшее,КНУ им. Шевченко,False,выше среднего,Desktop Applications,22/12/2016 15:37:55,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,C++,,10 и более лет,меньше 3 месяцев,3500,1000,Харьков,до 200 человек,Продуктовая,m,33,Среднее,,False,выше среднего,"Desktop Applications,Корпоративные системы",22/12/2016 15:47:52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,Java,,5,1.5,2850,200,Киев,свыше 1000 человек,Аутстаффинговая,m,30,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Корпоративные системы",22/12/2016 15:50:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,QA engineer,,General QA,5,2,1300,350,Харьков,до 50 человек,Продуктовая,f,30,Высшее,ХАИ,False,средний,Другое,22/12/2016 15:50:52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,HR,,,4,1,2000,300,Киев,до 200 человек,Продуктовая,f,26,Высшее,НАУ,False,средний,,22/12/2016 15:51:05,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Java,,3,меньше 3 месяцев,3200,300,Киев,до 50 человек,Аутстаффинговая,m,35,Два высших,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",22/12/2016 15:51:43,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J700H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36"
,Senior QA engineer,,Manual QA,3,3,2000,500,Одесса,свыше 1000 человек,Аутсорсинговая,m,24,Среднее,,False,средний,"Корпоративные системы,Мультимедиа",22/12/2016 15:51:47,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36 OPR/42.0.2393.85"
,Technical writer,,,5,1.5,1500,300,Киев,до 50 человек,Продуктовая,f,33,Два высших,Другой вуз,False,продвинутый,Веб-разработка,22/12/2016 15:59:57,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Delphi,,8,0.25,800,300,Львов,до 200 человек,Аутсорсинговая,m,27,Высшее,НметАУ,False,продвинутый,Desktop Applications,22/12/2016 16:01:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Ruby/Rails,,2,1,1500,600,Днепр,до 50 человек,Аутстаффинговая,m,23,Среднее,,False,ниже среднего,Веб-разработка,22/12/2016 16:10:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Director of Engineering / Program Director,,,10 и более лет,0.5,5600,1000,Киев,до 200 человек,Продуктовая,m,48,Высшее,Другой вуз,False,продвинутый,Корпоративные системы,22/12/2016 16:11:47,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,3,0.5,900,0,Тернополь,до 50 человек,Аутсорсинговая,f,25,Высшее,ЛНУ им. Франко,False,средний,,22/12/2016 16:12:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,10 и более лет,2,1600,140,Киев,до 200 человек,Продуктовая,f,48,Высшее,Другой вуз,False,продвинутый,Desktop Applications,22/12/2016 16:16:01,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60"
,Software Engineer,PHP,,3,3,900,150,Киев,до 50 человек,Другая,m,28,Высшее,НАУ,False,элементарный,eCommerce,22/12/2016 16:22:41,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,PHP,,1,1,1000,750,Полтава,до 50 человек,Продуктовая,m,30,Высшее,ХНУРЭ,False,средний,Веб-разработка,22/12/2016 16:22:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
,QA engineer,,Manual QA,2,1.5,630,330,Днепр,до 200 человек,Аутсорсинговая,m,28,Высшее,ДНУ им. Гончара,False,выше среднего,,22/12/2016 16:24:56,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,QA engineer,,Manual QA,3,1.5,1400,600,Киев,до 50 человек,Продуктовая,f,25,Высшее,НУПТ,False,средний,Desktop Applications,22/12/2016 16:27:27,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,2,1.5,1400,400,Харьков,до 200 человек,Аутсорсинговая,m,30,Кандидат,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",22/12/2016 16:28:04,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,JavaScript,,1,меньше 3 месяцев,1800,1800,Киев,до 10 человек,Продуктовая,m,26,Высшее,КНЭУ,False,продвинутый,Веб-разработка,22/12/2016 16:31:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,JavaScript,,4,0.5,1700,0,Киев,до 50 человек,Аутсорсинговая,m,31,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",22/12/2016 16:33:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36"
,Senior Software Engineer,Other,,10 и более лет,6,1525,150,Житомир,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,ЖГТУ,False,средний,Другое,22/12/2016 16:37:22,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Junior QA engineer,,Manual QA,0.5,0.5,500,0,Киев,до 1000 человек,Аутсорсинговая,f,21,Высшее,Другой вуз,False,выше среднего,Веб-разработка,22/12/2016 16:39:15,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior QA engineer,,General QA,1.5,0.5,620,320,Львов,свыше 1000 человек,Аутсорсинговая,m,22,Высшее,ЛНУ им. Франко,False,выше среднего,Корпоративные системы,22/12/2016 16:40:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,4,1,400,0,Харьков,до 50 человек,Аутсорсинговая,f,23,Высшее,ХНУРЭ,False,средний,"Android,iOS",22/12/2016 16:42:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36"
,Senior Software Engineer,C#/.NET,,7,меньше 3 месяцев,3150,-250,Днепр,до 10 человек,Продуктовая,m,28,Высшее,ДНУ им. Гончара,False,выше среднего,"Телекоммуникации,Корпоративные системы",22/12/2016 16:45:57,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36 OPR/42.0.2393.85"
,Business analyst,,,3,меньше 3 месяцев,1500,800,Харьков,свыше 1000 человек,Аутсорсинговая,m,34,Высшее,ХНУРЭ,False,средний,"Финансы и банки,Корпоративные системы",22/12/2016 16:48:56,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,QA engineer,,Manual QA,3,3,1200,200,Харьков,до 200 человек,Аутсорсинговая,m,24,Высшее,ХНЭУ,False,средний,"Веб-разработка,Корпоративные системы",22/12/2016 16:50:25,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Support,,,1,1,530,150,Николаев,до 1000 человек,Аутсорсинговая,m,21,Высшее,ЧГУ им. Петра Могилы,False,продвинутый,"Веб-разработка,Другое",22/12/2016 16:52:32,Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,PHP,,4,1.5,1800,300,Харьков,до 1000 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,средний,eCommerce,22/12/2016 16:53:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,Swift,,4,2,3550,250,Киев,до 50 человек,Аутсорсинговая,m,25,Два высших,Другой вуз,True,выше среднего,iOS,22/12/2016 16:56:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
,Junior Software Engineer,PHP,,1,0.25,500,200,Киев,до 200 человек,Продуктовая,m,26,Кандидат,НТУУ «КПИ»,False,средний,Веб-разработка,22/12/2016 16:59:51,"Mozilla/5.0 (Linux; Android 5.0.2; Lenovo A6000 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Software Engineer,SQL,,2,1,1000,150,Киев,до 10 человек,Другая,m,26,Высшее,ДонНТУ,False,средний,Другое,22/12/2016 17:03:40,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,DevOps,,,2,1,300,0,Тернополь,до 10 человек,Аутсорсинговая,m,31,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",22/12/2016 17:04:27,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Product Manager,,,6,3,2440,440,Киев,до 200 человек,Продуктовая,f,25,Незаконченное высшее,Другой вуз,False,выше среднего,Мультимедиа,22/12/2016 17:08:14,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Team lead,,,6,1,900,150,Киев,до 1000 человек,Продуктовая,m,29,Высшее,НТУУ «КПИ»,False,средний,"Системное программирование,Телекоммуникации",22/12/2016 17:11:21,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Project manager,,,2,0.5,300,100,Луцк,до 10 человек,Стартап,m,22,Два высших,Другой вуз,True,выше среднего,"Веб-разработка,eCommerce",22/12/2016 17:12:12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Java,,2,1,500,0,Киев,до 10 человек,Продуктовая,m,26,Незаконченное высшее,НТУУ «КПИ»,False,средний,Веб-разработка,22/12/2016 17:17:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,JavaScript,,3,1.5,3300,600,Киев,до 1000 человек,Аутсорсинговая,m,24,Высшее,КНУ им. Шевченко,False,средний,"Веб-разработка,Корпоративные системы",22/12/2016 17:19:57,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior QA engineer,,Manual QA,6,1,2500,300,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,СумГУ,False,средний,Финансы и банки,22/12/2016 17:21:01,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Software Engineer,Scala,,4,1.5,2800,300,Киев,до 200 человек,Продуктовая,m,41,Высшее,НТУУ «КПИ»,False,средний,"eCommerce,Корпоративные системы",22/12/2016 17:21:05,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,Senior Software Engineer,Scala,,5,0.5,4500,500,Киев,до 1000 человек,Продуктовая,m,26,Высшее,НТУУ «КПИ»,False,выше среднего,"Корпоративные системы,Другое",22/12/2016 17:29:28,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Marketing,,,2,2,450,30,Харьков,до 200 человек,Другая,m,25,Высшее,ХНУРЭ,False,средний,eCommerce,22/12/2016 17:32:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,7,1.5,1550,0,Киев,до 1000 человек,Аутсорсинговая,f,30,Высшее,ДНУ им. Гончара,False,выше среднего,Другое,22/12/2016 17:36:13,"Mozilla/5.0 (Linux; Android 5.0.2; HTC One dual sim Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Technical writer,,,3,1,1100,100,Киев,до 200 человек,Продуктовая,f,24,Высшее,ДНУ им. Гончара,False,выше среднего,Desktop Applications,22/12/2016 17:40:12,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Senior Software Engineer,SQL,,10 и более лет,4,3000,0,Киев,до 200 человек,Продуктовая,m,35,Высшее,НТУУ «КПИ»,False,ниже среднего,"Финансы и банки,Корпоративные системы",22/12/2016 17:40:24,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Software Engineer,PHP,,3,1,1470,1450,Киев,до 10 человек,Продуктовая,m,23,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,eCommerce",22/12/2016 17:44:18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,6,6,1100,300,Запорожье,до 50 человек,Другая,m,28,Высшее,Другой вуз,False,средний,"Системное программирование,Корпоративные системы",22/12/2016 17:50:09,"Mozilla/5.0 (Windows NT 10.0.10586; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2950.4 Safari/537.36"
,HR,,,3,1,920,420,Одесса,до 200 человек,Аутстаффинговая,f,25,Высшее,Другой вуз,False,выше среднего,Другое,22/12/2016 17:51:20,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA Tech Lead,,Manual QA,8,3,2400,0,Киев,до 50 человек,Аутстаффинговая,m,32,Высшее,НТУУ «КПИ»,False,продвинутый,Веб-разработка,22/12/2016 17:56:10,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,Business analyst,,,1,1,650,-200,Киев,до 200 человек,Аутстаффинговая,m,27,Высшее,ЗНТУ,False,средний,,22/12/2016 17:59:17,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior QA engineer,,General QA,10 и более лет,5,2200,200,Харьков,до 50 человек,Продуктовая,m,33,Высшее,ХНУРЭ,False,выше среднего,"Desktop Applications,Веб-разработка",22/12/2016 18:00:54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,ERP / CRM,,,3,3,410,150,Киев,до 200 человек,Другая,m,26,Высшее,НТУУ «КПИ»,False,ниже среднего,"Финансы и банки,eCommerce",22/12/2016 18:13:24,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Automation QA,2,2,1050,0,Харьков,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,ХНУРЭ,False,средний,Веб-разработка,22/12/2016 18:13:47,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,DevOps,,,0.25,меньше 3 месяцев,300,0,Киев,до 10 человек,Стартап,f,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,Системное программирование",22/12/2016 18:16:19,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
