"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"2773",NA,"Системный администратор","","","7","1.25",2100,0,"Киев","до 50 человек","Аутстаффинговая","мужской",27,"Высшее","False","выше среднего","Веб-разработка","24/12/2013 16:44:07","Mozilla/5.0 (Linux; U; Android 4.1.2; en-gb; GT-I9300 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",7,1.25,"Киев",2100,NA,"ADM"
"2774",NA,"Senior Software Engineer","C#/.NET","","6.5","2.5",2850,400,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Веб-разработка","24/12/2013 16:44:49","Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/20100101 Firefox/17.0",6.5,2.5,"Харьков",2850,NA,"DEV"
"2775",NA,"Senior Software Engineer","PHP","","5.5","3",1850,100,"Харьков","до 50 человек","Аутсорсинговая","мужской",30,"Высшее","False","ниже среднего","Веб-разработка","24/12/2013 16:45:51","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5.5,3,"Харьков",1850,NA,"DEV"
"2777",NA,"QA engineer","","General QA","3","0.5",1300,500,"Харьков","до 200 человек","Продуктовая","мужской",26,"Высшее","False","средний","Веб-разработка,Телекоммуникации","24/12/2013 16:46:26","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.71 Safari/537.36",3,0.5,"Харьков",1300,NA,"QA"
"2778",NA,"Software Engineer","C++","","9","6",2500,500,"Киев","до 10 человек","Продуктовая","мужской",28,"Высшее","False","выше среднего","Системное программирование,Корпоративные системы","24/12/2013 16:47:37","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",9,6,"Киев",2500,NA,"DEV"
"2779",NA,"Software Engineer","Java","","3","2",2000,500,"Одесса","до 200 человек","Аутсорсинговая","мужской",30,"Высшее","False","средний","Веб-разработка,Корпоративные системы","24/12/2013 16:47:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,2,"Одесса",2000,NA,"DEV"
"2780",NA,"HR","","","1","меньше 3 месяцев",600,100,"Харьков","до 50 человек","Аутсорсинговая","женский",33,"Два высших","False","ниже среднего","","24/12/2013 16:47:56","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",1,0,"Харьков",600,NA,""
"2781",NA,"QA engineer","","General QA","3","1.5",1900,300,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",29,"Высшее","False","выше среднего","iOS,Веб-разработка","24/12/2013 16:49:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36",3,1.5,"Киев",1900,NA,"QA"
"2782",NA,"Software Engineer","Ruby/Rails","","2","0.5",1700,200,"Киев","до 10 человек","Стартап","женский",27,"Высшее","False","выше среднего","Веб-разработка","24/12/2013 16:50:10","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,0.5,"Киев",1700,NA,"DEV"
"2783",NA,"Project manager","","","8","3",3000,0,"Одесса","до 200 человек","Аутсорсинговая","женский",29,"Высшее","False","продвинутый","iOS,Веб-разработка","24/12/2013 16:50:41","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",8,3,"Одесса",3000,NA,"PM"
"2784",NA,"System Architect / Системный архитектор","C#/.NET","","3","0.5",3300,300,"Харьков","до 1000 человек","Аутстаффинговая","мужской",30,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","24/12/2013 16:51:40","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,0.5,"Харьков",3300,NA,""
"2785",NA,"DBA / Администратор баз данных","","","10 и более лет","5.5",3500,0,"Донецк","до 1000 человек","Аутстаффинговая","мужской",32,"Высшее","False","выше среднего","Корпоративные системы","24/12/2013 16:54:18","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",10,5.5,"other",3500,NA,"ADM"
"2786",NA,"Senior QA engineer","","Manual QA","5","3",2050,150,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",35,"Незаконченное высшее","False","выше среднего","Desktop Applications,Корпоративные системы","24/12/2013 16:55:18","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36 OPR/18.0.1284.68",5,3,"Киев",2050,NA,"QA"
"2787",NA,"HR","","","1","1",600,0,"Харьков","до 50 человек","Аутсорсинговая","мужской",28,"Высшее","False","средний","Android,iOS","24/12/2013 16:55:40","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1,1,"Харьков",600,NA,""
"2788",NA,"QA engineer","","Manual QA","2","1",1200,600,"Днепр.","до 200 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Android,iOS","24/12/2013 16:55:41","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11",2,1,"Днепр.",1200,NA,"QA"
"2789",NA,"Software Engineer","Java","","1","1",2000,400,"Днепр.","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Android","24/12/2013 16:57:28","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31",1,1,"Днепр.",2000,NA,"DEV"
"2790",NA,"Верстальщик","","","1.5","0.5",1100,0,"Киев","до 10 человек","Продуктовая","женский",27,"Высшее","False","средний","Веб-разработка","24/12/2013 16:58:15","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",1.5,0.5,"Киев",1100,NA,""
"2791",NA,"Software Engineer","Objective-C","","5.5","1.5",2640,140,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","iOS","24/12/2013 16:58:41","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5.5,1.5,"Киев",2640,NA,"DEV"
"2792",NA,"Project manager","","","0.5","0.5",1000,400,"Киев","до 50 человек","Продуктовая","женский",26,"Высшее","False","выше среднего","Gamedev","24/12/2013 16:59:42","Opera/9.80 (Windows NT 6.2; WOW64) Presto/2.12.388 Version/12.16",0.5,0.5,"Киев",1000,NA,"PM"
"2793",NA,"Technical Lead","Flex/Flash/AIR","","5","3.5",2300,300,"Киев","до 1000 человек","Продуктовая","мужской",29,"Незаконченное высшее","False","выше среднего","iOS,Gamedev","24/12/2013 17:00:30","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,3.5,"Киев",2300,NA,"SDEV"
"2794",NA,"Верстальщик","","","5","1",2000,0,"Киев","до 50 человек","Стартап","женский",27,"Высшее","False","выше среднего","Веб-разработка","24/12/2013 17:00:45","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,1,"Киев",2000,NA,""
"2795",NA,"Software Engineer","SQL","","меньше 3 месяцев","2.5",2300,1000,"Львов","до 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Другое","24/12/2013 17:03:06","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0,2.5,"Львов",2300,NA,"DEV"
"2796",NA,"Junior QA engineer","","Manual QA","2","0.5",950,125,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Другое","24/12/2013 17:03:07","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,0.5,"Киев",950,NA,"QA"
"2797",NA,"Junior QA engineer","","Manual QA","0.75","0.75",500,350,"Харьков","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Веб-разработка","24/12/2013 17:03:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0.75,0.75,"Харьков",500,NA,"QA"
"2798",NA,"Support","","","7","2",2200,300,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",31,"Высшее","False","выше среднего","Другое","24/12/2013 17:03:36","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",7,2,"Киев",2200,NA,""
"2799",NA,"Senior Software Engineer","Ruby/Rails","","8","5",2400,2400,"Харьков","до 50 человек","Аутсорсинговая","мужской",34,"Высшее","False","средний","Веб-разработка","24/12/2013 17:05:10","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",8,5,"Харьков",2400,NA,"DEV"
"2800",NA,"Software Engineer","PHP","","2.5","0.5",1500,700,"Другой","до 10 человек","Стартап","мужской",27,"Высшее","False","ниже среднего","Веб-разработка,eCommerce","24/12/2013 17:05:19","Opera/9.80 (Windows NT 6.1; MRA 6.1 (build 6673)) Presto/2.12.388 Version/12.16",2.5,0.5,"other",1500,NA,"DEV"
"2801",NA,"Software Engineer","PHP","","1.5","0.25",1500,500,"Киев","до 50 человек","Аутстаффинговая","мужской",24,"Высшее","False","средний","Веб-разработка,Корпоративные системы","24/12/2013 17:06:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.5,0.25,"Киев",1500,NA,"DEV"
"2802",NA,"Team lead","","","10 и более лет","5",3650,250,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",33,"Высшее","False","продвинутый","Финансы и банки","24/12/2013 17:10:33","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",10,5,"Киев",3650,NA,"PM"
"2803",NA,"Senior QA engineer","","Manual QA","3","0.5",1300,0,"Харьков","до 50 человек","Продуктовая","женский",28,"Высшее","False","продвинутый","Desktop Applications,Веб-разработка","24/12/2013 17:10:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,0.5,"Харьков",1300,NA,"QA"
"2804",NA,"Software Engineer","PHP","","6","1",2900,150,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","24/12/2013 17:10:38","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6,1,"Киев",2900,NA,"DEV"
"2805",NA,"Sales manager","","","4.5","2",2000,400,"Одесса","до 50 человек","Стартап","женский",28,"Высшее","False","продвинутый","Gamedev","24/12/2013 17:12:22","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",4.5,2,"Одесса",2000,NA,""
"2806",NA,"Junior QA engineer","","Manual QA","0.25","0.25",300,0,"Львов","свыше 1000 человек","Другая","мужской",28,"Незаконченное высшее","True","продвинутый","Desktop Applications","24/12/2013 17:12:46","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",0.25,0.25,"Львов",300,NA,"QA"
"2807",NA,"Technical Lead","SQL","","9","меньше 3 месяцев",2800,600,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",34,"Высшее","False","ниже среднего","Финансы и банки","24/12/2013 17:13:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",9,0,"Киев",2800,NA,"SDEV"
"2808",NA,"System Architect / Системный архитектор","Java","","10 и более лет","1.5",4275,0,"Киев","до 10 человек","Аутсорсинговая","мужской",32,"Высшее","False","продвинутый","Корпоративные системы","24/12/2013 17:14:56","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",10,1.5,"Киев",4275,NA,""
"2809",NA,"Team lead","","","2.5","1.75",1000,250,"Харьков","до 200 человек","Аутсорсинговая","женский",28,"Высшее","False","ниже среднего","Веб-разработка,eCommerce","24/12/2013 17:15:18","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,1.75,"Харьков",1000,NA,"PM"
"2810",NA,"Software Engineer","PHP","","2","1",2000,2000,"Киев","до 10 человек","Стартап","мужской",28,"Высшее","False","средний","Веб-разработка","24/12/2013 17:15:31","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,1,"Киев",2000,NA,"DEV"
"2811",NA,"Senior Software Engineer","C#/.NET","","4","1.75",2500,500,"Киев","до 50 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","24/12/2013 17:17:15","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko",4,1.75,"Киев",2500,NA,"DEV"
"2812",NA,"Project manager","","","2","0.5",2600,100,"Харьков","до 50 человек","Аутсорсинговая","мужской",28,"Два высших","False","продвинутый","Веб-разработка,Другое","24/12/2013 17:17:44","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,0.5,"Харьков",2600,NA,"PM"
"2813",NA,"QA engineer","","General QA","3.5","3.5",1600,500,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",26,"Незаконченное высшее","False","выше среднего","Веб-разработка","24/12/2013 17:18:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3.5,3.5,"Львов",1600,NA,"QA"
"2814",NA,"Project manager","","","10 и более лет","10 и более лет",3000,300,"Винница","до 1000 человек","Продуктовая","мужской",35,"Высшее","False","выше среднего","Gamedev,Корпоративные системы","24/12/2013 17:18:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",10,10,"other",3000,NA,"PM"
"2815",NA,"Верстальщик","","","3","3",1150,250,"Харьков","до 50 человек","Другая","мужской",26,"Высшее","False","элементарный","Веб-разработка,eCommerce","24/12/2013 17:19:01","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,3,"Харьков",1150,NA,""
"2816",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","2",3200,500,"Харьков","до 50 человек","Продуктовая","мужской",34,"Два высших","False","выше среднего","Desktop Applications,Веб-разработка","24/12/2013 17:19:26","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",10,2,"Харьков",3200,NA,"DEV"
"2818",NA,"Project manager","","","0.5","0.5",500,100,"Николаев","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","продвинутый","Веб-разработка","24/12/2013 17:20:46","Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0",0.5,0.5,"other",500,NA,"PM"
"2819",NA,"Верстальщик","","","4","0.5",2500,0,"Киев","до 50 человек","Продуктовая","мужской",23,"Высшее","False","средний","Веб-разработка,eCommerce","24/12/2013 17:20:56","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,0.5,"Киев",2500,NA,""
"2820",NA,"Системный администратор","","","5","1.25",1800,400,"Киев","до 200 человек","Продуктовая","мужской",27,"Высшее","False","выше среднего","Веб-разработка,eCommerce","24/12/2013 17:21:55","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",5,1.25,"Киев",1800,NA,"ADM"
"2821",NA,"Junior Software Engineer","PHP","","1","0.25",300,0,"Харьков","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Веб-разработка,Gamedev","24/12/2013 17:23:20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/26.0",1,0.25,"Харьков",300,NA,"DEV"
"2822",NA,"Software Engineer","C#/.NET","","5","0.75",1950,550,"Львов","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Веб-разработка,eCommerce","24/12/2013 17:24:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,0.75,"Львов",1950,NA,"DEV"
"2823",NA,"Software Engineer","PHP","","3.5","3",900,200,"Николаев","до 50 человек","Аутсорсинговая","женский",25,"Высшее","False","средний","Веб-разработка","24/12/2013 17:26:08","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:26.0) Gecko/20100101 Firefox/26.0",3.5,3,"other",900,NA,"DEV"
"2824",NA,"Junior Software Engineer","C++","","0.75","0.75",900,400,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Мультимедиа","24/12/2013 17:27:48","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0.75,0.75,"Киев",900,NA,"DEV"
"2825",NA,"Бизнес-аналитик","","","9.5","4",4000,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",33,"Высшее","False","продвинутый","Финансы и банки","24/12/2013 17:28:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",9.5,4,"Киев",4000,NA,""
"2826",NA,"Junior QA engineer","","Manual QA","0.5","0.5",380,100,"Львов","до 200 человек","Аутстаффинговая","мужской",25,"Высшее","False","продвинутый","","24/12/2013 17:29:45","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0.5,0.5,"Львов",380,NA,"QA"
"2827",NA,"Technical Lead","C#/.NET","","4","3.5",2100,400,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","продвинутый","Мультимедиа","24/12/2013 17:30:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36",4,3.5,"Киев",2100,NA,"SDEV"
"2828",NA,"Системный администратор","","","6","1",800,0,"Киев","до 10 человек","Продуктовая","мужской",28,"Высшее","False","выше среднего","iOS,Desktop Applications","24/12/2013 17:30:54","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6,1,"Киев",800,NA,"ADM"
"2829",NA,"Верстальщик","","","2","1",730,300,"Харьков","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","False","ниже среднего","Веб-разработка","24/12/2013 17:31:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,1,"Харьков",730,NA,""
"2830",NA,"Senior Software Engineer","JavaScript","","6.5","5",3600,400,"Киев","до 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","выше среднего","Веб-разработка","24/12/2013 17:32:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6.5,5,"Киев",3600,NA,"DEV"
"2831",NA,"QA engineer","","Manual QA","2","2",1000,500,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","False","выше среднего","","24/12/2013 17:33:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,2,"Львов",1000,NA,"QA"
"2832",NA,"Technical Lead","Java","","7","2",3800,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",28,"Два высших","False","продвинутый","Веб-разработка,Телекоммуникации","24/12/2013 17:34:42","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",7,2,"Харьков",3800,NA,"SDEV"
"2833",NA,"Team lead","","","5.5","1.5",3200,200,"Харьков","до 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","24/12/2013 17:35:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5.5,1.5,"Харьков",3200,NA,"PM"
"2834",NA,"Software Engineer","JavaScript","","1.5","меньше 3 месяцев",1500,900,"Житомир","до 50 человек","Аутсорсинговая","мужской",25,"Незаконченное высшее","False","выше среднего","Веб-разработка","24/12/2013 17:35:20","Opera/9.80 (Windows NT 6.2; Win64; x64) Presto/2.12.388 Version/12.16",1.5,0,"other",1500,NA,"DEV"
"2835",NA,"Junior QA engineer","","Manual QA","0.5","0.5",460,0,"Киев","до 50 человек","Продуктовая","мужской",25,"Высшее","False","средний","Веб-разработка","24/12/2013 17:35:22","mozilla",0.5,0.5,"Киев",460,NA,"QA"
"2836",NA,"Senior QA engineer","","Automation QA","5","2",2300,200,"Харьков","до 50 человек","Продуктовая","мужской",30,"Высшее","False","ниже среднего","Desktop Applications,Корпоративные системы","24/12/2013 17:36:06","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",5,2,"Харьков",2300,NA,"QA"
"2837",NA,"Junior Software Engineer","C#/.NET","","0.5","0.25",530,0,"Харьков","до 1000 человек","Аутсорсинговая","мужской",34,"Высшее","False","ниже среднего","Desktop Applications,Веб-разработка","24/12/2013 17:36:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0.5,0.25,"Харьков",530,NA,"DEV"
"2838",NA,"QA Tech Lead","","Manual QA","2.5","2.5",2100,1100,"Киев","до 50 человек","Аутстаффинговая","мужской",24,"Высшее","False","средний","Desktop Applications,Телекоммуникации","24/12/2013 17:37:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,2.5,"Киев",2100,NA,"QA"
"2839",NA,"QA engineer","","Manual QA","1","1",1140,640,"Киев","свыше 1000 человек","Аутстаффинговая","женский",24,"Высшее","False","выше среднего","Веб-разработка","24/12/2013 17:38:01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1,1,"Киев",1140,NA,"QA"
"2840",NA,"Бизнес-аналитик","","","1","1",800,0,"Киев","до 10 человек","Стартап","мужской",34,"Два высших","False","ниже среднего","","24/12/2013 17:38:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1,1,"Киев",800,NA,""
"2841",NA,"Junior Software Engineer","C#/.NET","","1.75","0.5",900,100,"Киев","до 50 человек","Другая","мужской",26,"Два высших","False","элементарный","Веб-разработка","24/12/2013 17:41:04","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MASMJS; rv:11.0) like Gecko",1.75,0.5,"Киев",900,NA,"DEV"
"2842",NA,"Software Engineer","C#/.NET","","меньше 3 месяцев","меньше 3 месяцев",1750,0,"Киев","до 10 человек","Другая","мужской",22,"Незаконченное высшее","False","средний","Веб-разработка","24/12/2013 17:41:54","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.41 Safari/537.36",0,0,"Киев",1750,NA,"DEV"
"2843",NA,"Senior Software Engineer","C#/.NET","","4","1.5",3200,200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Финансы и банки,Корпоративные системы","24/12/2013 17:44:11","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,1.5,"Киев",3200,NA,"DEV"
"2844",NA,"HR","","","8","2",1600,300,"Одесса","до 200 человек","Аутсорсинговая","женский",32,"Высшее","False","средний","","24/12/2013 17:46:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",8,2,"Одесса",1600,NA,""
"2845",NA,"Системный администратор","","","10 и более лет","меньше 3 месяцев",1140,0,"Житомир","до 200 человек","Продуктовая","мужской",37,"Высшее","False","средний","Веб-разработка,Корпоративные системы","24/12/2013 17:48:02","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",10,0,"other",1140,NA,"ADM"
"2846",NA,"Team lead","","","5","2",1800,0,"Днепр.","до 10 человек","Продуктовая","мужской",27,"Среднее","False","элементарный","Веб-разработка","24/12/2013 17:48:14","Mozilla/5.0 (Windows NT 5.1; rv:26.0) Gecko/20100101 Firefox/26.0",5,2,"Днепр.",1800,NA,"PM"
"2847",NA,"QA engineer","","General QA","3","0.25",2000,200,"Киев","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","iOS,Gamedev","24/12/2013 17:49:09","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,0.25,"Киев",2000,NA,"QA"
"2848",NA,"QA engineer","","Manual QA","1.75","1.75",1300,700,"Одесса","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Android,iOS","24/12/2013 17:51:25","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",1.75,1.75,"Одесса",1300,NA,"QA"
"2849",NA,"Junior Software Engineer","C++","","1.5","1.5",1425,500,"Харьков","до 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Desktop Applications,Веб-разработка","24/12/2013 17:53:02","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",1.5,1.5,"Харьков",1425,NA,"DEV"
