,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Director of Engineering / Program Director,,,8,1,2000,-150,Харьков,до 200 человек,Аутсорсинговая,m,26,Высшее,False,средний,"Desktop Applications,Gamedev",24/12/2013 07:39:41,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16
,Senior Software Engineer,Scala,,9,меньше 3 месяцев,4000,500,Днепропетровск,до 50 человек,Стартап,m,29,Высшее,False,ниже среднего,"Android,iOS",24/12/2013 07:54:48,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53"
,Бизнес-аналитик,,,3.5,2,2400,900,Киев,до 200 человек,Другая,m,27,Высшее,False,выше среднего,"Телекоммуникации,Корпоративные системы",24/12/2013 07:57:31,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,PHP,,4.5,3.5,2600,1200,Харьков,до 200 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,Веб-разработка,24/12/2013 08:24:13,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,PHP,,4,1.5,600,300,Тернополь,до 50 человек,Стартап,m,28,Высшее,False,ниже среднего,Веб-разработка,24/12/2013 08:39:17,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,250,0,Харьков,до 50 человек,Аутсорсинговая,m,25,Высшее,False,ниже среднего,Системное программирование,24/12/2013 08:39:56,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,C#/.NET,,1,1,650,650,Харьков,свыше 1000 человек,Аутсорсинговая,m,19,Незаконченное высшее,True,средний,Веб-разработка,24/12/2013 08:45:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.41 Safari/537.36"
,Junior Software Engineer,C#/.NET,,меньше 3 месяцев,1.5,1300,0,Киев,до 10 человек,Продуктовая,m,22,Незаконченное высшее,True,выше среднего,"Desktop Applications,Финансы и банки",24/12/2013 09:09:44,Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,JavaScript,,1.5,0.25,1000,500,Черновцы,до 50 человек,Аутсорсинговая,m,28,Высшее,False,средний,"Веб-разработка,eCommerce",24/12/2013 09:09:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,PHP,,3.5,1.5,2000,200,Донецк,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,False,средний,"iOS,Веб-разработка",24/12/2013 09:19:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Other,,3,3,1700,200,Одесса,до 1000 человек,Аутсорсинговая,m,30,Высшее,False,ниже среднего,"Финансы и банки,Другое",24/12/2013 09:23:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.41 Safari/537.36"
,QA engineer,,Automation QA,1,0.75,1500,800,Киев,до 200 человек,Аутсорсинговая,m,26,Два высших,False,средний,"Корпоративные системы,Другое",24/12/2013 09:26:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,HR,,,2,меньше 3 месяцев,900,0,Симферополь,до 200 человек,Продуктовая,f,29,Высшее,False,продвинутый,Gamedev,24/12/2013 09:33:41,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,2.5,2.5,1300,500,Львов,до 10 человек,Аутсорсинговая,m,24,Высшее,False,средний,Desktop Applications,24/12/2013 09:38:44,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior Software Engineer,PHP,,3,3,2000,0,Киев,до 50 человек,Продуктовая,m,22,Высшее,True,средний,"Веб-разработка,eCommerce",24/12/2013 09:41:20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,1.25,1.25,1000,400,Донецк,до 10 человек,Аутсорсинговая,f,22,Высшее,False,ниже среднего,Android,24/12/2013 09:43:30,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,0.5,0.5,900,300,Киев,свыше 1000 человек,Продуктовая,m,22,Высшее,False,средний,"Android,Телекоммуникации",24/12/2013 09:44:06,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0
,QA engineer,,General QA,2,1.5,1300,600,Киев,до 50 человек,Продуктовая,m,29,Незаконченное высшее,True,ниже среднего,Веб-разработка,24/12/2013 09:50:42,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,2.5,2.5,1500,700,Львов,до 200 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",24/12/2013 09:51:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C++,,6.5,0.25,3500,650,Киев,до 1000 человек,Продуктовая,m,27,Высшее,False,выше среднего,"Desktop Applications,Системное программирование",24/12/2013 09:51:18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,HR,,,5,5,1200,200,Львов,до 200 человек,Аутсорсинговая,m,28,Два высших,False,средний,"Телекоммуникации,Корпоративные системы",24/12/2013 09:51:35,Mozilla/5.0 (Windows NT 6.1; rv:10.0) Gecko/20100101 Firefox/10.0
,Junior Software Engineer,JavaScript,,1.25,1,600,200,Львов,до 200 человек,Аутсорсинговая,f,22,Высшее,False,средний,"iOS,Веб-разработка",24/12/2013 09:55:38,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Junior QA engineer,,Manual QA,1.5,1.5,900,0,Львов,до 200 человек,Аутстаффинговая,f,29,Высшее,False,продвинутый,Веб-разработка,24/12/2013 09:57:33,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,1.5,0.5,650,0,Одесса,до 200 человек,Продуктовая,m,21,Незаконченное высшее,False,средний,"Веб-разработка,Системное программирование",24/12/2013 09:57:47,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Scala,,1.75,1.75,1625,875,Киев,до 50 человек,Продуктовая,m,23,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",24/12/2013 10:09:31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,4,2,2300,500,Одесса,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Desktop Applications,24/12/2013 10:09:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA Tech Lead,,General QA,4,1.75,2400,400,Киев,до 200 человек,Аутсорсинговая,f,26,Высшее,False,выше среднего,"Веб-разработка,Embedded",24/12/2013 10:10:07,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,Java,,10 и более лет,2,3800,600,Киев,до 50 человек,Продуктовая,m,30,Высшее,False,продвинутый,"Веб-разработка,Системное программирование",24/12/2013 10:11:21,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
,Системный администратор,,,10 и более лет,0.5,1700,0,Киев,до 50 человек,Продуктовая,m,33,Незаконченное высшее,False,средний,"Веб-разработка,Корпоративные системы",24/12/2013 10:20:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,650,0,Киев,до 50 человек,Продуктовая,m,25,Высшее,False,ниже среднего,Финансы и банки,24/12/2013 10:21:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.172 YaBrowser/1.7.1364.22076 Safari/537.22"
,Software Engineer,C++,,4.5,1.25,1700,300,Киев,до 50 человек,Продуктовая,m,28,Высшее,False,ниже среднего,"iOS,Gamedev",24/12/2013 10:23:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Software Engineer,C#/.NET,,3,1,2100,0,Харьков,до 200 человек,Аутсорсинговая,m,30,Высшее,False,средний,Desktop Applications,24/12/2013 10:23:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior QA engineer,,Manual QA,2,0.5,3000,700,Другой,до 50 человек,Продуктовая,m,25,Высшее,False,продвинутый,"Desktop Applications,Веб-разработка",24/12/2013 10:33:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,2,0.75,1300,100,Одесса,до 1000 человек,Аутстаффинговая,m,22,Высшее,False,выше среднего,Корпоративные системы,24/12/2013 10:33:57,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
,Sales manager,,,3.5,1,300,0,Харьков,до 10 человек,Аутсорсинговая,m,29,Высшее,False,средний,"Веб-разработка,eCommerce",24/12/2013 10:36:51,Mozilla/5.0 (Windows NT 5.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,Java,,1,0.25,1500,300,Киев,до 50 человек,Продуктовая,m,27,Высшее,False,средний,Корпоративные системы,24/12/2013 10:38:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,4,1.25,1200,100,Ивано-Франковск,до 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,Веб-разработка,24/12/2013 10:43:49,Opera/9.80 (Windows NT 6.1; WOW64; U; en) Presto/2.10.289 Version/12.02
,Junior Software Engineer,Python,,3,1,1000,0,Киев,до 10 человек,Продуктовая,m,28,Высшее,False,ниже среднего,Веб-разработка,24/12/2013 10:44:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
,Senior Software Engineer,C#/.NET,,8,1.5,2150,150,Киев,до 1000 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,Телекоммуникации,24/12/2013 10:45:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.24 (KHTML, like Gecko) Chrome/26.0.1371.0 Safari/537.24"
,Senior Software Engineer,C#/.NET,,4,2,1500,0,Киев,до 50 человек,Аутсорсинговая,m,25,Высшее,False,средний,Финансы и банки,24/12/2013 10:47:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.24 (KHTML, like Gecko) Chrome/26.0.1371.0 Safari/537.24"
,QA engineer,,General QA,2,2,1200,200,Одесса,до 1000 человек,Аутсорсинговая,m,30,Высшее,False,средний,Desktop Applications,24/12/2013 10:47:27,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,Manual QA,0.25,0.25,625,0,Киев,до 50 человек,Другая,m,24,Высшее,False,элементарный,Другое,24/12/2013 10:51:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Objective-C,,2,1.5,1700,950,Киев,до 1000 человек,Аутстаффинговая,m,26,Высшее,False,выше среднего,iOS,24/12/2013 10:52:15,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,5,0.5,1300,1500,Харьков,до 10 человек,Аутсорсинговая,m,27,Два высших,False,элементарный,Веб-разработка,24/12/2013 10:52:17,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/28.0.1500.71 Chrome/28.0.1500.71 Safari/537.36"
,Software Engineer,Python,,4.5,3,2500,500,Киев,до 200 человек,Продуктовая,m,27,Высшее,False,выше среднего,Gamedev,24/12/2013 10:54:27,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,562,0,Киев,до 1000 человек,Продуктовая,m,23,Высшее,False,продвинутый,Телекоммуникации,24/12/2013 11:05:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Perl,,0.5,меньше 3 месяцев,1000,0,Одесса,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,Веб-разработка,24/12/2013 11:05:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,5,4,1500,300,Запорожье,до 50 человек,Аутсорсинговая,m,30,Высшее,False,ниже среднего,Веб-разработка,24/12/2013 11:06:01,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Team lead,,,10 и более лет,0.5,5100,400,Киев,до 200 человек,Аутстаффинговая,m,30,Высшее,False,выше среднего,eCommerce,24/12/2013 11:07:38,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/30.0.1599.114 Chrome/30.0.1599.114 Safari/537.36"
,Software Engineer,PHP,,3,2,1650,120,Львов,до 10 человек,Аутсорсинговая,m,26,Высшее,False,средний,Веб-разработка,24/12/2013 11:12:31,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior QA engineer,,General QA,10 и более лет,меньше 3 месяцев,2300,200,Киев,до 50 человек,Продуктовая,f,31,Два высших,False,выше среднего,"Финансы и банки,Корпоративные системы",24/12/2013 11:13:23,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko
,Senior Software Engineer,C#/.NET,,5.5,3,2400,350,Киев,до 50 человек,Продуктовая,m,28,Высшее,False,средний,"Корпоративные системы,Другое",24/12/2013 11:14:07,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,C#/.NET,,5,1.5,1500,400,Киев,до 1000 человек,Продуктовая,m,26,Высшее,False,средний,"Веб-разработка,Корпоративные системы",24/12/2013 11:16:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,5.5,4,1800,0,Киев,до 50 человек,Продуктовая,m,29,Высшее,False,средний,Финансы и банки,24/12/2013 11:16:45,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
,Senior Software Engineer,Perl,,10 и более лет,1.75,3150,150,Киев,до 1000 человек,Аутстаффинговая,m,32,Высшее,False,средний,"Веб-разработка,Другое",24/12/2013 11:17:49,Mozilla/5.0 (X11; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior QA engineer,,General QA,2,2,1700,200,Киев,до 200 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Desktop Applications,Веб-разработка",24/12/2013 11:19:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Other,,2,2,1000,200,Киев,до 50 человек,Продуктовая,m,26,Высшее,False,средний,"Системное программирование,Финансы и банки",24/12/2013 11:22:23,Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.16
,Software Engineer,Java,,2,2,2000,500,Киев,до 50 человек,Другая,m,28,Высшее,False,средний,"Финансы и банки,Корпоративные системы",24/12/2013 11:29:50,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36"
,Junior Software Engineer,Flex/Flash/AIR,,0.25,0.25,800,600,Киев,до 10 человек,Продуктовая,f,23,Незаконченное высшее,True,средний,Веб-разработка,24/12/2013 11:30:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,0.75,0.75,500,100,Запорожье,до 50 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,Веб-разработка,24/12/2013 11:36:46,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0
,QA engineer,,Manual QA,1.5,меньше 3 месяцев,1240,580,Харьков,свыше 1000 человек,Аутсорсинговая,f,22,Незаконченное высшее,True,выше среднего,eCommerce,24/12/2013 11:46:06,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Delphi,,0.75,0.75,800,150,Киев,до 50 человек,Продуктовая,m,24,Высшее,False,средний,Корпоративные системы,24/12/2013 11:49:31,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.97 Safari/537.22"
,Junior Software Engineer,PHP,,2,0.75,600,100,Львов,до 50 человек,Аутсорсинговая,m,22,Высшее,False,средний,Веб-разработка,24/12/2013 11:50:12,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,3,3,1300,400,Львов,до 1000 человек,Аутсорсинговая,m,29,Высшее,False,ниже среднего,Веб-разработка,24/12/2013 11:52:41,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,1.5,1.5,1000,500,Луганск,до 50 человек,Аутсорсинговая,m,23,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",24/12/2013 11:54:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Ruby/Rails,,5,10 и более лет,3400,100,Киев,до 50 человек,Аутсорсинговая,m,33,Высшее,False,продвинутый,"Веб-разработка,Корпоративные системы",24/12/2013 11:54:33,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,Manual QA,меньше 3 месяцев,2,900,0,Киев,до 200 человек,Аутстаффинговая,f,26,Два высших,False,выше среднего,Корпоративные системы,24/12/2013 11:55:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,JavaScript,,1,0.5,1500,1100,Днепропетровск,до 1000 человек,Продуктовая,f,24,Высшее,False,выше среднего,Веб-разработка,24/12/2013 11:58:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Бизнес-аналитик,,,1,1,1100,60,Киев,свыше 1000 человек,Аутсорсинговая,f,27,Высшее,False,выше среднего,Телекоммуникации,24/12/2013 12:01:02,Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,Python,,5.5,3,2000,400,Киев,до 200 человек,Продуктовая,m,25,Высшее,False,средний,Веб-разработка,24/12/2013 12:04:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Системный администратор,,,8,8,3000,2500,Винница,до 10 человек,Аутсорсинговая,m,35,Высшее,False,выше среднего,,24/12/2013 12:05:24,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior Software Engineer,Java,,8,1,3700,0,Киев,свыше 1000 человек,Аутстаффинговая,m,27,Высшее,False,средний,"Финансы и банки,Корпоративные системы",24/12/2013 12:14:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,PHP,,2,2,600,0,Киев,до 10 человек,Другая,m,28,Высшее,False,средний,Веб-разработка,24/12/2013 12:16:18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,352,64,Тернополь,до 1000 человек,Аутсорсинговая,m,23,Высшее,False,ниже среднего,"Desktop Applications,Веб-разработка",24/12/2013 12:24:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,1.5,меньше 3 месяцев,1500,500,Днепропетровск,свыше 1000 человек,Аутстаффинговая,m,30,Высшее,False,выше среднего,"Веб-разработка,eCommerce",24/12/2013 12:25:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,3.5,1.5,1900,800,Львов,до 50 человек,Аутсорсинговая,m,24,Среднее,False,продвинутый,"Веб-разработка,Финансы и банки",24/12/2013 12:30:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,Python,,8,2,3500,500,Харьков,до 200 человек,Аутсорсинговая,m,31,Высшее,False,средний,"Веб-разработка,Другое",24/12/2013 12:30:37,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Project manager,,,3,3,1500,0,Полтава,до 10 человек,Другая,m,30,Незаконченное высшее,False,средний,Другое,24/12/2013 12:31:57,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Objective-C,,1.75,0.25,1200,400,Днепропетровск,до 200 человек,Продуктовая,m,23,Незаконченное высшее,False,ниже среднего,iOS,24/12/2013 12:35:18,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,C#/.NET,,3.5,2.5,2000,400,Львов,до 200 человек,Аутстаффинговая,m,23,Высшее,False,выше среднего,"Desktop Applications,Веб-разработка",24/12/2013 12:36:10,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Верстальщик,,,5,2,800,700,Киев,до 10 человек,Аутсорсинговая,m,28,Высшее,False,средний,Веб-разработка,24/12/2013 12:37:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Other,,4.5,0.5,3500,1000,Киев,до 10 человек,Стартап,m,26,Высшее,False,выше среднего,Веб-разработка,24/12/2013 12:41:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,4,1,3300,1100,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Windows Phone,24/12/2013 12:41:38,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,PHP,,9,5.5,2705,380,Харьков,до 50 человек,Аутстаффинговая,m,28,Высшее,False,выше среднего,Веб-разработка,24/12/2013 12:45:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,JavaScript,,10 и более лет,1,2800,-200,Харьков,до 50 человек,Аутстаффинговая,m,32,Два высших,False,средний,"Финансы и банки,Корпоративные системы",24/12/2013 12:46:44,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior Software Engineer,JavaScript,,4,1.5,2500,500,Харьков,до 50 человек,Стартап,m,28,Высшее,False,средний,Веб-разработка,24/12/2013 12:47:09,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1150.1  Iron/20.0.1150.1 Safari/536.11"
,Senior Software Engineer,C++,,5,4,2000,500,Донецк,до 200 человек,Продуктовая,m,26,Высшее,False,средний,Другое,24/12/2013 12:48:15,Mozilla/5.0 (Windows NT 5.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,JavaScript,,3,1.75,1900,800,Киев,до 1000 человек,Продуктовая,m,31,Высшее,False,выше среднего,eCommerce,24/12/2013 12:50:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,1.5,1.5,1800,300,Харьков,свыше 1000 человек,Аутсорсинговая,m,28,Два высших,False,выше среднего,"Веб-разработка,Финансы и банки",24/12/2013 12:52:02,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
