Город,Общий стаж работы по специальности,Стаж на текущем месте работы,Специализация,Зарплата за последний месяц,Прибавка к зарплате,Размер компании,Стаж,Стаж на текущем месте работы,ЗП,,,,,
Харьков,4.5,1.5,C#/.NET,1500,1000,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,10,1.5,PHP,1500,1000,10 - 50 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
Киев,3,1.7,Project manager,1500,300,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,2,2,Java,1500,500,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,2,2,Java,1500,400,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,2.5,2,C#/.NET,1500,500,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,3,2,Project manager,1500,500,меньше 10 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,3,2,C++,1500,500,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3,2,C#/.NET,1500,200,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,4,2,C#/.NET,1500,500,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,4,2,Embedded,1500,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,4.5,2,Python,1500,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,5,2,C#/.NET,1500,500,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,5,2,Java,1500,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,6,2,HTML/CSS/JavaScript,1500,500,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,6,2,PHP,1500,1500,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,6,2,Ruby/Rails,1500,200,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,6,2,QA/Testing,1500,400,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,7,2,Project manager,1500,500,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,8,2,PHP,1500,700,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,8,2,C#/.NET,1500,500,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,9,2,PHP,1500,1000,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,10,2,Embedded,1500,1000,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,14,2,Ruby/Rails,1500,500,меньше 10 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,20,2,Flex/Flash/AIR,1500,0,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Харьков,4,2.5,C#/.NET,1500,500,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,3,3,Java,1500,500,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,3,3,Java,1500,1000,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3,3,Java,1500,100,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,3,3,C#/.NET,1500,750,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,4,3,Oracle,1500,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,5,3,C++,1500,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,5,3,Gamedev,1500,1000,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,5,3,Objective-C,1500,500,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,6,3,PHP,1500,500,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,10,3,Python,1500,400,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,15,3,Project manager,1500,2000,меньше 10 человек,> 7,"(1.5, 3]",1250-1800,,,,,
другой,4,4,C++,1500,500,10 - 50 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,8,4,PHP,1500,500,10 - 50 человек,> 7,> 3,1250-1800,,,,,
другой,12,4,C#/.NET,1500,1500,меньше 10 человек,> 7,> 3,1250-1800,,,,,
Киев,4.5,4.5,C#/.NET,1500,500,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Харьков,6,4.5,C#/.NET,1500,400,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Львов,5,5,Java,1500,400,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,5,5,Mobile,1500,500,меньше 10 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,5,5,Java,1500,200,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,8,5,Java,1500,300,больше 200 человек,> 7,> 3,1250-1800,,,,,
другой,8,5,C++,1500,1500,10 - 50 человек,> 7,> 3,1250-1800,,,,,
Львов,5.5,5.5,QA/Testing,1500,500,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,10,6,C#/.NET,1500,500,больше 200 человек,> 7,> 3,1250-1800,,,,,
Киев,18,6,PHP,1500,500,меньше 10 человек,> 7,> 3,1250-1800,,,,,
Львов,7,7,Java,1500,500,10 - 50 человек,> 7,> 3,1250-1800,,,,,
Киев,4,12,QA/Testing,1500,500,10 - 50 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,4,0.9,C++,1550,800,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Харьков,12,11,C#/.NET,1550,1000,больше 200 человек,> 7,> 3,1250-1800,,,,,
Киев,6,0.3,PHP,1600,200,10 - 50 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,3,0.4,C#/.NET,1600,1000,больше 200 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Львов,3,0.5,QA/Testing,1600,500,меньше 10 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Киев,4,0.5,PHP,1600,200,10 - 50 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Харьков,6,0.5,C++,1600,200,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,1,1,C++,1600,400,50 - 200 человек,≤ 1,"(0.5, 1.5]",1250-1800,,,,,
другой,2,1,C++,1600,1000,50 - 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,3,1,Flex/Flash/AIR,1600,1000,10 - 50 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1,Java,1600,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1,C++,1600,600,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1,Ruby/Rails,1600,600,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,7,1,PHP,1600,1000,меньше 10 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
Киев,8,1,Project manager,1600,900,меньше 10 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
Киев,10,1,C++,1600,800,50 - 200 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
другой,4,1.2,C#/.NET,1600,400,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1.5,C#/.NET,1600,400,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,2.5,2,C#/.NET,1600,1000,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3,2,C#/.NET,1600,1400,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,4,2,C#/.NET,1600,300,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,4,2,Objective-C,1600,800,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,7,2,HTML/CSS/JavaScript,1600,400,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,4,2.5,QA/Testing,1600,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,3,3,C#/.NET,1600,600,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,6,3,Project manager,1600,1600,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,7,3,QA/Testing,1600,1000,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,6,3.5,Java,1600,900,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,8,4,Java,1600,500,больше 200 человек,> 7,> 3,1250-1800,,,,,
другой,5,4.5,PHP,1600,400,10 - 50 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,5,5,Gamedev,1600,500,меньше 10 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,5,5,C++,1600,160,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,11,2.2,Mobile,1625,250,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,3,0.5,C#/.NET,1650,400,10 - 50 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Киев,2,2,Java,1650,500,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,2.5,2,Java,1650,850,10 - 50 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,4,2,Ruby/Rails,1650,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,5,2,Python,1650,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,3,2.5,C#/.NET,1650,250,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,5,5,Ruby/Rails,1650,1320,10 - 50 человек,"(3, 7]",> 3,1250-1800,,,,,
Львов,5,1,C#/.NET,1690,900,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
другой,7,0.4,Python,1692,1000,10 - 50 человек,> 7,≤ 0.5,1250-1800,,,,,
Киев,6,0.2,C#/.NET,1700,1000,10 - 50 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,3,0.4,Java,1700,700,меньше 10 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Киев,8,0.5,PHP,1700,,50 - 200 человек,> 7,≤ 0.5,1250-1800,,,,,
Харьков,8,0.5,Java,1700,500,10 - 50 человек,> 7,≤ 0.5,1250-1800,,,,,
Киев,3,1,Flex/Flash/AIR,1700,300,10 - 50 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,3,1,Mobile,1700,,50 - 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,3,1,Java,1700,800,меньше 10 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Харьков,3,1,C#/.NET,1700,300,10 - 50 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1,PHP,1700,700,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1,Java,1700,400,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Харьков,6,1,Project manager,1700,300,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Харьков,6,1,C#/.NET,1700,300,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Харьков,9,1,QA/Testing,1700,400,50 - 200 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
другой,4,1.2,Java,1700,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1.5,Java,1700,1700,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
другой,8,1.8,Java,1700,,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,3,2,QA/Testing,1700,400,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3,2,C#/.NET,1700,500,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3,2,Java,1700,500,меньше 10 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Харьков,4,2.5,Project manager,1700,700,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,3,3,PHP,1700,500,50 - 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,3,3,Java,1700,400,50 - 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
другой,4,3,Java,1700,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,5,3,C++,1700,700,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,5,3,C#/.NET,1700,1000,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,7,3,Java,1700,200,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,4,4,QA/Testing,1700,500,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,5,4,QA/Testing,1700,1000,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Киев,10,5,Embedded,1700,1000,10 - 50 человек,> 7,> 3,1250-1800,,,,,
Львов,10,5,Project manager,1700,800,50 - 200 человек,> 7,> 3,1250-1800,,,,,
Киев,7,1.5,C#/.NET,1725,750,больше 200 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
Киев,5,0.6,Project manager,1750,600,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,10,0.8,PHP,1750,250,10 - 50 человек,> 7,"(0.5, 1.5]",1250-1800,,,,,
Киев,6,1.5,Oracle,1750,625,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,7,2,C#/.NET,1750,250,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,12,2,Oracle,1750,400,больше 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,7,5,Oracle,1750,300,меньше 10 человек,> 7,> 3,1250-1800,,,,,
Киев,4,0,C#/.NET,1800,,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,5,0.1,C#/.NET,1800,500,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,10,0.1,PHP,1800,700,10 - 50 человек,> 7,≤ 0.5,1250-1800,,,,,
другой,3.5,0.2,Java,1800,700,10 - 50 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Львов,3,0.25,Flex/Flash/AIR,1800,0,50 - 200 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Харьков,4,0.25,Java,1800,500,меньше 10 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
другой,2,0.3,PHP,1800,500,10 - 50 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Харьков,14,0.4,C++,1800,500,больше 200 человек,> 7,≤ 0.5,1250-1800,,,,,
Харьков,3,0.5,C#/.NET,1800,700,10 - 50 человек,"(1, 3]",≤ 0.5,1250-1800,,,,,
Киев,4,0.5,C++,1800,300,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,6,0.5,Flex/Flash/AIR,1800,500,больше 200 человек,"(3, 7]",≤ 0.5,1250-1800,,,,,
Киев,7,0.5,Flex/Flash/AIR,1800,200,10 - 50 человек,> 7,≤ 0.5,1250-1800,,,,,
Киев,3,0.6,Python,1800,1000,меньше 10 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,6,0.7,C#/.NET,1800,300,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,0.8,PHP,1800,400,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,4.5,0.9,C#/.NET,1800,600,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Львов,3,1,Flex/Flash/AIR,1800,1000,меньше 10 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1,QA/Testing,1800,500,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1,PHP,1800,700,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1,C#/.NET,1800,1200,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
другой,5,1,PHP,1800,600,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1,C#/.NET,1800,400,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Киев,5,1,C#/.NET,1800,300,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Харьков,5,1,C#/.NET,1800,300,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
другой,3,1.5,Java,1800,600,больше 200 человек,"(1, 3]","(0.5, 1.5]",1250-1800,,,,,
Киев,4,1.5,Flex/Flash/AIR,1800,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1250-1800,,,,,
Львов,7,1.6,C#/.NET,1800,500,10 - 50 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,1.5,2,Java,1800,500,50 - 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Львов,4,2,QA/Testing,1800,700,меньше 10 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,4,2,C#/.NET,1800,500,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,10,2,PHP,1800,1000,меньше 10 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Киев,2.5,2.5,C#/.NET,1800,800,больше 200 человек,"(1, 3]","(1.5, 3]",1250-1800,,,,,
Киев,3.5,3,Embedded,1800,400,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Харьков,4,3,C#/.NET,1800,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Львов,4,3,QA/Testing,1800,500,больше 200 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,5,3,PHP,1800,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
другой,5,3,PHP,1800,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",1250-1800,,,,,
Киев,7,3,C#/.NET,1800,700,50 - 200 человек,> 7,"(1.5, 3]",1250-1800,,,,,
Львов,10,3.5,C#/.NET,1800,300,больше 200 человек,> 7,> 3,1250-1800,,,,,
Киев,4,4,QA/Testing,1800,500,50 - 200 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,6,4,Java,1800,1000,10 - 50 человек,"(3, 7]",> 3,1250-1800,,,,,
другой,7,4,C++,1800,700,50 - 200 человек,> 7,> 3,1250-1800,,,,,
Киев,7,4,PHP,1800,500,меньше 10 человек,> 7,> 3,1250-1800,,,,,
Харьков,5,5,C#/.NET,1800,300,больше 200 человек,"(3, 7]",> 3,1250-1800,,,,,
Харьков,7,5,QA/Testing,1800,600,больше 200 человек,> 7,> 3,1250-1800,,,,,
другой,10,5,C#/.NET,1800,1000,50 - 200 человек,> 7,> 3,1250-1800,,,,,
Львов,12,5,Oracle,1800,,больше 200 человек,> 7,> 3,1250-1800,,,,,
Львов,15,6,C++,1800,1200,50 - 200 человек,> 7,> 3,1250-1800,,,,,
другой,19,10,Oracle,1800,700,10 - 50 человек,> 7,> 3,1250-1800,,,,,
Харьков,13,13,C#/.NET,1800,900,больше 200 человек,> 7,> 3,1250-1800,,,,,
Киев,12,1.7,Oracle,1857.5,625,50 - 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,3.5,1.5,Project manager,1875,750,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,11,3,Oracle,1875,625,50 - 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,2.5,0.2,Java,1900,1000,больше 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,9,0.2,C#/.NET,1900,600,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,3,0.25,C#/.NET,1900,1100,10 - 50 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Харьков,4,0.25,C#/.NET,1900,500,50 - 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4.5,0.5,C#/.NET,1900,700,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Харьков,10,0.5,C#/.NET,1900,700,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,4,1,Java,1900,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,Java,1900,600,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Львов,4,1,C#/.NET,1900,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,5,1,Mobile,1900,400,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,7,1,C#/.NET,1900,500,10 - 50 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Львов,8,2,Oracle,1900,500,больше 200 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Харьков,10,2,C#/.NET,1900,400,10 - 50 человек,> 7,"(1.5, 3]",1850-2500,,,,,
Киев,2.5,2.5,HTML/CSS/JavaScript,1900,500,больше 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,3,3,Java,1900,600,больше 200 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,5,3,C++,1900,500,50 - 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
другой,5,4,C#/.NET,1900,500,больше 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Киев,5,5,QA/Testing,1900,500,50 - 200 человек,"(3, 7]",> 3,1850-2500,,,,,
Львов,7,5,Embedded,1900,400,50 - 200 человек,> 7,> 3,1850-2500,,,,,
Харьков,8,5,C#/.NET,1900,400,больше 200 человек,> 7,> 3,1850-2500,,,,,
Киев,10,0.25,Embedded,1950,1950,10 - 50 человек,> 7,≤ 0.5,1850-2500,,,,,
Львов,8,1,Flex/Flash/AIR,1950,300,50 - 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
другой,10,1.25,C#/.NET,1950,1000,меньше 10 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Харьков,3,0,C#/.NET,2000,500,больше 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,3,0.1,C#/.NET,2000,,50 - 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,9,0.1,Embedded,2000,600,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Львов,6,0.2,Java,2000,400,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,2,0.25,Java,2000,700,10 - 50 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Киев,4,0.25,PHP,2000,400,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,4,0.3,Java,2000,500,больше 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,9,0.3,C#/.NET,2000,400,меньше 10 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,4,0.4,Objective-C,2000,500,50 - 200 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,8,0.4,C#/.NET,2000,,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,2,0.5,Objective-C,2000,1000,50 - 200 человек,"(1, 3]",≤ 0.5,1850-2500,,,,,
Харьков,5,0.5,C#/.NET,2000,2000,10 - 50 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,6,0.5,Project manager,2000,1000,меньше 10 человек,"(3, 7]",≤ 0.5,1850-2500,,,,,
Киев,8,0.5,Oracle,2000,500,меньше 10 человек,> 7,≤ 0.5,1850-2500,,,,,
Харьков,10,0.5,C#/.NET,2000,1000,больше 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,12,0.5,PHP,2000,700,10 - 50 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,13,0.5,Java,2000,1000,50 - 200 человек,> 7,≤ 0.5,1850-2500,,,,,
Киев,3,0.9,PHP,2000,500,меньше 10 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Киев,2,1,Java,2000,1000,больше 200 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Харьков,3,1,Python,2000,1000,10 - 50 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Харьков,3,1,Project manager,2000,500,50 - 200 человек,"(1, 3]","(0.5, 1.5]",1850-2500,,,,,
Львов,4,1,C++,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,Java,2000,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4,1,C#/.NET,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,4,1,PHP,2000,4000,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,5,1,PHP,2000,30,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,5,1,QA/Testing,2000,700,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,5,1,C#/.NET,2000,500,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Львов,5,1,HTML/CSS/JavaScript,2000,500,50 - 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,6,1,Project manager,2000,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,6,1,QA/Testing,2000,1000,больше 200 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,7,1,PHP,2000,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,8,1,PHP,2000,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,10,1,Java,2000,500,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,12,1,Embedded,2000,400,больше 200 человек,> 7,"(0.5, 1.5]",1850-2500,,,,,
Киев,5,1.2,Mobile,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
другой,4,1.5,PHP,2000,2000,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,4.5,1.5,C++,2000,2000,меньше 10 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Харьков,5,1.5,C#/.NET,2000,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",1850-2500,,,,,
Киев,2,2,Objective-C,2000,500,меньше 10 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,2,2,PHP,2000,600,10 - 50 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,3,2,QA/Testing,2000,500,10 - 50 человек,"(1, 3]","(1.5, 3]",1850-2500,,,,,
Киев,4,2,Mobile,2000,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,4.5,2,Python,2000,500,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Киев,5,2,C++,2000,1000,меньше 10 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Львов,5,2,Java,2000,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
Харьков,5,2,C#/.NET,2000,800,больше 200 человек,"(3, 7]","(1.5, 3]",1850-2500,,,,,
